country_name;iso_code;country_name_short;project_id;country_area_km2;timesync_n;weight;val_forest_n;val_noforest_n;val_n;cal_forest_n;cal_noforest_n;cal_n
Albania;AL;albania;1;28786.07;500;0.005006774;12;;;488;;
Austria;AT;austria;2;83988.21;1828;0.014608108;34;;;1794;;
Belarus;BY;belarus;3;207575.27;500;0.036103662;84;;;416;;
Belgium;BE;belgium;4;30587.77;500;0.005320145;12;;;488;;
Bosnia and Herzegovina;BA;bosniaherzegovina;5;51030.41;500;0.008875743;21;;;479;;
Bulgaria;BG;bulgaria;6;110953.91;500;0.019298264;45;;;455;;
Croatia;HR;croatia;7;57017.2;500;0.009917028;23;;;477;;
Czech Republic;CZ;czechia;8;78842.74;1424;0.013713154;32;;;1392;;
Denmark;DK;denmark;9;43501.59;500;0.007566251;18;;;482;;
Estonia;EE;estonia;10;45405.32;500;0.007897368;18;;;482;;
Finland;FI;finland;11;338434;500;0.058863981;138;;;362;;
France;FR;france;12;549006.24;500;0.095488907;223;;;277;;
Germany;DE;germany;13;357454.99;1236;0.06217231;145;;;1091;;
Greece;GR;greece;14;124885.96;500;0.021721472;51;;;449;;
Hungary;HU;hungary;15;93001.36;500;0.016175769;38;;;462;;
Ireland;IE;ireland;16;70243.37;500;0.012217462;29;;;471;;
Italy;IT;italy;17;300887.48;500;0.052333497;122;;;378;;
Latvia;LV;latvia;18;64549.9;500;0.011227194;26;;;474;;
Lithuania;LT;lithuania;19;64941.46;500;0.011295298;26;;;474;;
Moldova;MD;moldova;20;33847.27;500;0.005887071;14;;;486;;
Montenegro;ME;montenegro;21;13764.39;500;0.002394047;6;;;494;;
Netherlands;NL;netherlands;22;35162.75;500;0.006115873;14;;;486;;
Norway;NO;norway;23;311654.47;500;0.054206205;127;;;373;;
Poland;PL;poland;24;311759.97;1385;0.054224554;127;;;1258;;
Portugal;PT;portugal;25;88700.69;500;0.015427752;36;;;464;;
Romania;RO;romania;26;238289.83;500;0.041445859;97;;;403;;
Serbia;RS;serbia;28;88372.28;500;0.015370631;36;;;464;;
Slovakia;SK;slovakia;29;49036.66;1872;0.008528969;20;;;1852;;
Slovenia;SI;slovenia;30;20221.19;500;0.003517081;8;;;492;;
Spain;ES;spain;31;498518.52;500;0.086707555;203;;;297;;
Sweden;SE;sweden;32;450040.79;500;0.078275801;183;;;317;;
Switzerland;CH;switzerland;33;41239.21;1138;0.007172755;17;;;1121;;
The Former Yugoslav Republic of Macedonia;MK;macedonia;34;25438.31;500;0.004424497;10;;;490;;
Ukraine;UA;ukraine;35;597120.26;500;0.1038574;243;;;257;;
United Kingdom;GB;unitedkingdom;36;245164.44;500;0.042641563;100;;;400;;
