x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5176471.13716065,2106222.46953535,1991,229,2,241,114,5,0,0,0,0,0,0,2011,118,10,341,11,1,2013,1065,1,4165,1065,5,1996,290,2,1638,145,2,2019,165,2,833,82,2,2013,155,1,684,155,5,1996,432,9,3333,48,1,2013,1100,1,2997,1100,8,1997,412,24,-741,17,3,1,Forest
5236081.13716065,1999572.46953535,2016,117,1,245,117,2,2007,62,14,457,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,235,1,1523,235,1,1994,80,27,703,2,1,0,0,0,0,0,0,1996,499,1,2785,499,2,0,0,0,0,0,0,1996,160,7,-741,22,2,2,Forest
5160541.13716065,2005092.46953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,452,1,3122,452,3,1993,73,28,1318,2,0,0,0,0,0,0,0,1992,73,1,628,73,2,1997,86,24,2762,3,0,0,0,0,0,0,0,1993,281,1,-491,281,3,3,Forest
5114011.13716065,2201322.46953535,2011,83,1,421,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,397,26,989,15,2,1985,196,36,668,5,1,2000,174,2,450,87,3,1985,392,36,1840,10,1,0,0,0,0,0,0,1985,337,36,-543,9,1,4,Forest
5191651.13716065,2179122.46953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,372,36,3066,10,1,1985,114,36,2478,3,0,1985,35,36,1452,0,0,2013,221,1,367,221,5,0,0,0,0,0,0,1985,416,9,1516,46,2,1985,307,36,-1570,8,2,5,Forest
5190151.13716065,2093802.4695353499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,34,19,2532,1,0,1990,452,31,1239,14,3,0,0,0,0,0,0,0,0,0,0,0,0,1990,447,31,2517,14,3,0,0,0,0,0,0,1990,273,2,-533,136,2,6,Forest
5181991.13716065,1993332.46953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,350,11,2236,31,2,1985,544,8,989,68,3,1985,298,6,565,49,5,1985,132,36,3625,3,0,0,0,0,0,0,0,1985,561,11,-1227,51,2,7,Forest
5194501.13716065,2174622.46953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,246,32,1096,7,1,2000,183,1,489,183,2,2000,91,1,601,91,1,1985,254,36,2086,7,1,0,0,0,0,0,0,1990,174,31,-561,5,1,8,Forest
5221111.13716065,2017692.46953535,0,0,0,0,0,0,0,0,0,0,0,0,1992,112,4,1003,28,1,0,0,0,0,0,0,1985,36,11,3075,3,0,0,0,0,0,0,0,1992,149,3,318,49,3,0,0,0,0,0,0,2000,21,2,1846,10,0,1990,530,5,-1962,106,3,9,Forest
5128981.13716065,2187252.46953535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1090,2,3828,545,4,1997,598,1,1604,598,3,1985,226,36,1048,6,1,1985,45,36,487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,561,27,-952,20,3,10,Forest
