x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
4472396.462840432,2716509.955069411,1989,59,32,130,1,0,0,0,0,0,0,0,1992,82,29,120,2,0,1985,652,1,1979,652,4,2000,230,21,449,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,292,1,165,292,5,1,Forest
4760347.16633193,2659598.5652422467,1999,48,22,234,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,718,1,2880,718,3,1998,216,23,860,9,3,1985,77,36,351,2,2,1988,53,1,777,53,2,1992,268,29,2048,9,1,1988,650,1,1893,650,4,1985,226,36,-212,6,4,2,Forest
4785460.502217555,2847850.8798841382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1166,36,3141,32,3,2006,165,15,705,11,1,0,0,0,0,0,0,1997,79,10,825,7,3,0,0,0,0,0,0,1985,672,36,1975,18,2,1998,412,4,17,103,6,3,Forest
4624896.092860002,2650433.7333114995,2000,107,1,332,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,539,1,2370,539,2,1985,83,36,1054,2,0,1985,47,29,583,1,0,2008,466,1,3696,466,1,0,0,0,0,0,0,1985,170,36,-1222,4,0,4,Forest
4606009.8940040795,2658581.61172353,1985,45,36,283,1,0,2015,203,6,378,33,2,1985,142,36,262,3,1,0,0,0,0,0,0,2015,755,6,949,125,3,2015,603,6,405,100,3,1985,87,36,638,2,0,2016,1045,5,1869,209,3,0,0,0,0,0,0,2016,659,5,-403,131,3,5,Forest
4703409.769778674,2782119.7999900025,2015,142,1,161,142,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,229,1,902,229,3,1985,39,26,390,1,0,0,0,0,0,0,0,1985,386,1,2107,386,2,0,0,0,0,0,0,1985,174,5,-229,34,4,6,Forest
4604808.776019567,2642303.241846687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,624,36,2566,17,3,1990,674,1,668,674,6,1990,363,1,286,363,5,1985,100,7,797,14,1,0,0,0,0,0,0,1985,298,36,1593,8,2,1990,641,1,-102,641,9,7,Forest
4748730.952574694,2707399.5561378924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,768,12,3575,64,2,0,0,0,0,0,0,2001,241,2,664,120,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,661,8,2213,82,3,1992,169,29,-692,5,1,8,Forest
4608306.675863624,2836018.545610158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,596,1,2505,596,5,1990,119,31,883,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,344,25,1788,13,2,1988,371,3,1434,123,3,2020,124,1,-294,124,2,9,Forest
4607003.508415427,2781926.3672479177,0,0,0,0,0,0,0,0,0,0,0,0,1985,151,11,308,13,2,2001,299,20,3969,14,0,1985,574,36,1201,15,2,1992,245,1,448,245,4,1992,147,1,719,147,4,1985,1257,20,2109,62,4,2001,212,20,2698,10,0,1992,395,1,-445,395,4,10,Forest
4456593.44897026,2699847.4799497393,2011,96,10,200,9,1,1998,23,23,297,1,0,0,0,0,0,0,0,1985,530,30,2165,17,3,1998,127,23,676,5,2,1995,69,26,273,2,1,2000,105,9,775,11,3,1998,237,23,1545,10,2,1985,272,29,1303,9,2,1985,127,36,-158,3,2,11,Forest
4694838.253785587,2649926.3926699418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,974,5,442,194,8,1997,355,2,187,177,8,1997,98,1,757,98,4,1996,1464,9,1224,162,5,0,0,0,0,0,0,1997,457,2,-151,228,6,12,Forest
4780676.147950472,2823485.9481940824,0,0,0,0,0,0,1992,206,29,344,7,1,1992,543,1,67,543,3,0,0,0,0,0,0,1998,234,23,1367,10,1,0,0,0,0,0,0,1991,62,30,701,2,0,1990,1,31,2964,0,0,1990,359,13,2365,27,1,0,0,0,0,0,0,13,Forest
4676139.986464667,2804662.3260739343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,701,14,3148,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,251,36,1840,6,1,0,0,0,0,0,0,14,Forest
4735884.137003179,2742191.532490594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,313,1,371,313,2,0,0,0,0,0,0,2013,119,1,795,119,4,0,0,0,0,0,0,0,0,0,0,0,0,1989,94,32,-102,2,1,15,Forest
4680981.814120415,2747188.6735832784,2018,105,3,394,35,2,2015,150,6,555,25,3,2015,142,6,484,23,2,1985,508,36,3224,14,2,1991,99,30,1954,3,1,1985,113,36,1028,3,1,1985,118,36,521,3,2,2015,279,6,3025,46,2,1990,696,3,2244,232,6,1985,216,36,-1144,6,1,16,Forest
4612059.198958899,2717687.7315552775,1999,57,1,195,57,2,0,0,0,0,0,0,0,0,0,0,0,0,2011,465,2,2023,232,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,139,2,-629,69,1,17,Forest
