x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5352800.39972337,3318780.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,264,1,1057,264,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Forest
5386100.39972337,3690540.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,353,6,2239,58,2,1991,155,30,749,5,1,2001,107,20,292,5,1,2002,97,7,755,13,2,1991,407,2,1561,203,2,0,0,0,0,0,0,2004,260,5,-125,52,3,3,Forest
5274350.39972337,3505770.83462041,0,0,0,0,0,0,1985,513,1,700,513,8,1985,382,1,599,382,6,0,0,0,0,0,0,1985,118,12,2044,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest
5402570.39972337,3665460.83462041,2007,80,14,241,5,1,2017,189,4,341,47,3,2020,449,1,253,449,8,0,0,0,0,0,0,2020,1109,1,988,1109,12,2020,740,1,380,740,13,2020,375,1,673,375,9,2020,783,1,2033,783,6,2019,295,2,1261,147,3,2020,1055,1,-378,1055,13,5,Forest
5214230.39972337,3507930.83462041,1996,170,25,153,6,1,1996,46,25,385,1,0,2017,173,4,183,43,2,1985,1355,2,5180,677,3,0,0,0,0,0,0,1995,15,26,496,0,0,2002,36,3,725,12,1,2005,573,1,2343,573,1,1985,1045,20,2868,52,4,0,0,0,0,0,0,6,Forest
5459450.39972337,3782820.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,570,36,3067,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1999,100,1,682,100,3,0,0,0,0,0,0,1985,304,27,1854,11,1,1985,166,1,-639,166,3,7,Forest
5556110.39972337,3366480.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,205,36,2385,5,1,2006,27,15,1220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest
5370650.39972337,3736950.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,249,36,2429,6,1,1985,106,4,903,26,1,0,0,0,0,0,0,2002,29,2,729,14,1,0,0,0,0,0,0,1991,409,2,1530,204,4,1985,74,36,-286,2,1,9,Forest
5633030.39972337,3609690.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,591,15,3155,39,2,2000,110,21,1006,5,1,1985,46,3,442,15,1,1987,45,1,773,45,1,0,0,0,0,0,0,2003,340,1,1911,340,1,1985,97,36,-338,2,1,11,Forest
5760080.39972337,3471720.83462041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,827,1,3805,827,3,0,0,0,0,0,0,1986,45,35,503,1,0,1986,32,35,719,0,1,2005,207,16,2546,12,1,1986,688,1,2514,688,3,1986,160,35,-454,4,1,12,Forest
