x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
3964461.21718873,3018857.84462311,2004,400,1,1191,400,4,1993,475,15,207,31,6,1992,155,15,782,10,5,1993,789,16,-117,49,6,1,Forest,2002,2633,-548,2289,2689,-676
3958701.21718873,3141077.84462311,2011,669,1,933,669,3,2011,404,1,361,404,3,2011,80,1,732,80,2,2011,456,1,-305,456,3,2,Forest,1594,2416,-276,1759,2267,-340
4010061.21718873,2952227.84462311,1995,250,24,1432,10,3,2005,79,14,539,5,1,0,0,0,0,0,0,1985,48,34,-611,1,0,3,Forest,3127,3473,-670,3051,3383,-709
3897381.21718873,3117077.84462311,0,0,0,0,0,0,1985,437,34,1072,12,1,1999,526,1,684,526,7,1985,364,34,-1074,10,1,4,Forest,2410,3788,-1075,1155,2990,-1220
4009041.21718873,3004937.84462311,2010,354,1,820,354,3,2010,256,1,314,256,5,2010,61,1,742,61,1,2010,335,1,-236,335,4,5,Forest,2528,2933,-379,1523,1817,-346
4032681.21718873,3067277.84462311,1995,349,1,1224,349,3,1995,97,2,457,48,1,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest,2175,2801,-565,2334,2604,-477
3924921.21718873,3010067.84462311,1985,568,2,1444,284,3,1995,142,24,600,5,0,2006,77,13,652,5,1,1998,304,21,-482,14,2,7,Forest,1843,3450,-1190,2170,3036,-960
4032171.21718873,3076847.84462311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest,3186,4042,-1123,2562,3269,-912
3992691.21718873,3086237.84462311,2009,455,1,1531,455,2,2009,399,1,689,399,2,2009,151,1,624,151,1,2009,407,1,-654,407,1,9,Forest,3081,4159,-607,2608,3632,-776
3989211.21718873,3094457.84462311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest,2695,3865,-910,2467,2920,-569
3992901.21718873,2946557.84462311,1985,659,34,1864,19,2,2018,616,1,1191,616,3,2018,254,1,521,254,3,2018,769,1,-1382,769,2,11,Forest,1923,2778,-460,2052,3862,-1532
3916371.21718873,3038807.84462311,0,0,0,0,0,0,0,0,0,0,0,0,2017,158,2,518,79,3,2017,393,2,-961,196,3,12,Forest,2661,4130,-1118,1430,2955,-1226
3923061.21718873,3107207.84462311,2001,257,18,1316,14,1,2001,546,3,538,182,6,2003,146,1,557,146,3,2003,165,2,-621,82,1,13,Forest,1806,3382,-923,1483,2655,-887
3945651.21718873,3149327.84462311,2010,423,9,1137,47,2,2018,273,1,583,273,3,2018,145,1,689,145,4,2015,324,4,-555,81,2,14,Forest,1890,2721,-525,1966,2453,-659
3913971.21718873,3060677.84462311,1985,1110,34,1652,32,3,2005,1348,1,1074,1348,9,2005,342,1,452,342,4,1985,1099,34,-771,32,4,15,Forest,2422,3751,-1029,1081,4413,-1649
4019661.21718873,3117707.84462311,2016,606,3,1116,202,4,2017,523,2,671,261,6,2015,137,4,467,34,3,2017,508,2,-648,254,5,16,Forest,1386,3225,-943,1094,2618,-982
3994701.21718873,3013127.84462311,1987,1107,1,811,1107,8,1987,839,1,262,839,9,1987,449,1,766,449,13,1987,1072,1,-254,1072,10,17,Forest,1547,2015,-302,1544,1903,-460
3940041.21718873,3129677.84462311,2006,546,1,1597,546,3,2017,433,2,637,216,4,0,0,0,0,0,0,2006,531,1,-626,531,3,18,Forest,3038,4417,-916,2476,3143,-676
4014081.21718873,2959817.84462311,1988,1065,4,624,266,7,1991,636,1,559,636,8,1991,284,1,682,284,6,1991,717,1,-408,717,6,19,Forest,1725,2240,-408,2147,2525,-461
4033341.21718873,3038927.84462311,2001,836,18,662,46,2,0,0,0,0,0,0,1992,131,27,787,4,1,0,0,0,0,0,0,20,Forest,2410,2953,-497,2067,2570,-724
4047351.21718873,3020507.84462311,1998,365,2,820,182,2,1998,219,2,340,109,2,1985,114,15,714,7,1,1998,305,2,-319,152,2,21,Forest,1225,1668,-152,1739,1862,-206
3963771.21718873,3119927.84462311,2001,699,18,950,38,7,2000,396,19,437,20,4,1985,67,34,646,1,1,1985,489,34,-291,14,3,22,Forest,1722,2584,-341,1808,2701,-736
4008351.21718873,3024137.84462311,2013,1644,1,873,1644,10,2013,1323,1,359,1323,23,2013,609,1,722,609,13,2013,1772,1,-282,1772,14,23,Forest,1734,2100,-236,1799,3774,-2261
4008051.21718873,3113657.84462311,2001,144,18,949,8,1,2006,262,2,270,131,3,2000,28,19,710,1,0,1993,71,26,-378,2,1,24,Forest,1717,3431,-986,1640,2051,-448
