x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4872947.45558092,2326416.80927841,1985,688,1,1374,688,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest,1830,3325,-963,2036,2932,-730
4831067.45558092,2444166.80927841,1992,25,27,1948,0,0,1998,20,21,773,0,0,0,0,0,0,0,0,1993,79,26,-918,3,0,2,Forest,3211,4072,-1059,2859,3407,-949
4976057.45558092,2409936.80927841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Forest,2818,3533,-741,2396,2781,-666
4897727.45558092,2310906.80927841,0,0,0,0,0,0,0,0,0,0,0,0,1996,104,2,581,52,2,0,0,0,0,0,0,4,Forest,2401,4038,-1453,2300,3129,-1056
4949267.45558092,2267826.80927841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Forest,1825,3688,-1569,1729,2795,-1112
4962767.45558092,2316216.80927841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest,2755,3740,-837,2403,2857,-702
4903457.45558092,2448066.80927841,1985,315,8,1958,39,1,1985,431,4,789,107,3,1985,208,4,650,52,2,1985,347,8,-1016,43,1,7,Forest,2278,3552,-973,2784,3195,-759
4854947.45558092,2384406.80927841,0,0,0,0,0,0,1985,25,34,231,0,0,1996,75,3,841,25,3,1998,175,1,20,175,3,8,Forest,1567,1768,-160,1290,1455,-209
4837517.45558092,2391426.80927841,0,0,0,0,0,0,1998,125,1,398,125,3,2003,43,1,742,43,2,0,0,0,0,0,0,9,Forest,2580,2988,-562,2026,2211,-427
4852787.45558092,2431596.80927841,2017,109,2,1801,54,1,2017,127,2,662,63,3,1985,18,34,710,0,0,1985,137,34,-739,4,2,10,Forest,2976,3529,-685,2478,3055,-903
