x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5444184.24724638,2354111.69586083,0,0,0,0,0,0,2013,327,1,400,327,4,0,0,0,0,0,0,0,0,0,0,0,0,2013,987,1,1621,987,7,2013,903,1,578,903,6,2013,252,1,692,252,4,1985,237,36,2822,6,1,0,0,0,0,0,0,2013,1119,1,-743,1119,6,1,Forest
5352144.24724638,2233991.69586083,2012,83,9,216,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,81,1,-421,81,1,2,Forest
5599734.24724638,2342501.69586083,2005,170,1,229,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,207,36,1400,5,2,1985,175,21,548,8,2,1999,81,1,656,81,2,2005,492,1,2639,492,1,0,0,0,0,0,0,1996,310,4,-618,77,3,3,Forest
5640834.24724638,2331851.69586083,0,0,0,0,0,0,0,0,0,0,0,0,1985,171,8,339,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2018,81,3,735,27,2,2018,31,1,711,31,2,1996,194,1,3482,194,1,0,0,0,0,0,0,1985,66,36,-852,1,1,4,Forest
5661564.24724638,2346191.69586083,0,0,0,0,0,0,1985,187,1,644,187,4,0,0,0,0,0,0,0,0,0,0,0,0,1985,291,36,1817,8,2,1991,224,30,954,7,1,1993,91,1,564,91,1,1985,211,36,3050,5,1,0,0,0,0,0,0,1993,451,1,-808,451,3,5,Forest
5493864.24724638,2191421.69586083,2013,72,8,162,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,118,15,1533,7,0,2013,148,8,580,18,1,2020,72,1,265,72,1,0,0,0,0,0,0,2000,272,1,1196,272,1,0,0,0,0,0,0,2012,95,9,-197,10,1,6,Forest
5544984.24724638,2220971.69586083,2013,138,8,262,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,184,1,1705,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Forest
5680164.24724638,2378771.69586083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,449,9,3075,49,2,0,0,0,0,0,0,0,0,0,0,0,0,2007,238,1,610,238,6,0,0,0,0,0,0,2002,420,2,1768,210,2,0,0,0,0,0,0,8,Forest
5370744.24724638,2229431.69586083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Forest
5486154.24724638,2150471.69586083,1985,136,1,908,136,2,1985,167,1,1428,167,2,1992,74,8,1154,9,0,1990,238,1,3103,238,1,1998,469,4,2950,117,3,1992,151,4,2003,37,0,0,0,0,0,0,0,1998,562,4,4119,140,3,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest
