x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4675853.41699781,2447901.79413322,1998,161,3,1724,53,2,1998,172,3,679,57,4,2003,71,2,627,35,2,1998,183,6,-879,30,2,1,Forest,2464,3365,-945,2207,2899,-875
4661843.41699781,2489841.79413322,0,0,0,0,0,0,1985,42,34,646,1,0,1985,51,34,699,1,1,1985,120,34,-770,3,1,2,Forest,2779,3274,-814,2171,2704,-775
4918463.41699781,2513061.79413322,1985,505,1,1177,505,12,1985,175,1,447,175,5,1985,38,34,724,1,1,1985,198,34,-541,5,2,3,Forest,2825,3264,-561,2403,2723,-677
4706543.41699781,2493501.79413322,1996,285,2,1388,142,3,0,0,0,0,0,0,0,0,0,0,0,0,1996,274,2,-657,137,4,4,Forest,2088,2893,-895,2269,2814,-721
5052773.41699781,2497671.79413322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Forest,2950,3432,-801,2908,3435,-892
4703243.41699781,2479551.79413322,2008,163,1,1831,163,1,1996,120,12,673,10,2,1985,16,34,701,0,0,1985,173,34,-754,5,2,6,Forest,2855,3669,-909,2519,2988,-795
4743173.41699781,2442051.79413322,2007,166,2,1649,83,1,0,0,0,0,0,0,1998,45,6,671,7,1,0,0,0,0,0,0,7,Forest,2843,3430,-770,2406,2689,-620
4952723.41699781,2512611.79413322,1998,54,21,1491,2,0,1993,108,1,513,108,3,0,0,0,0,0,0,1993,127,21,-605,6,1,8,Forest,2925,3445,-734,2747,3178,-836
4772663.41699781,2478141.79413322,1996,177,1,1508,177,2,1996,94,2,552,47,2,0,0,0,0,0,0,1985,136,34,-692,4,2,9,Forest,3038,3470,-695,2822,3168,-708
4744493.41699781,2429481.79413322,1996,179,1,1638,179,1,1996,100,1,586,100,2,2003,28,1,727,28,2,1993,109,2,-647,54,1,10,Forest,2832,4172,-1010,2265,3235,-1212
4849403.41699781,2531451.79413322,2008,862,1,2111,862,3,2011,768,2,1373,384,3,2011,383,2,391,191,3,1985,614,34,-1020,18,1,11,Forest,2735,3249,-695,2727,2953,-672
4649033.41699781,2482461.79413322,2013,212,1,1496,212,2,2010,117,2,553,58,3,2009,26,10,731,2,2,1985,159,1,-618,159,3,12,Forest,2582,3563,-768,2108,3143,-905
4774193.41699781,2563941.79413322,1992,297,1,1698,297,2,1992,1089,1,678,1089,7,1992,501,1,686,501,6,1992,672,1,-689,672,4,13,Forest,2207,2899,-689,2046,2385,-461
4716173.41699781,2430291.79413322,2005,106,14,1153,7,1,2015,163,1,477,163,2,2015,114,1,776,114,7,2015,200,1,-421,200,3,14,Forest,2029,3574,-1381,2011,2859,-919
4858073.41699781,2303631.79413322,1985,230,23,2067,10,1,1996,366,1,1017,366,2,2000,113,1,451,113,2,2000,394,1,-1173,394,4,15,Forest,2547,3270,-647,2093,2419,-553
4624763.41699781,2486361.79413322,0,0,0,0,0,0,1993,96,13,460,7,2,1996,37,17,727,2,1,1985,123,34,-512,3,1,16,Forest,2617,3176,-663,1955,2341,-621
4805153.41699781,2512821.79413322,1998,114,7,1421,16,1,1989,121,1,455,121,2,0,0,0,0,0,0,1995,89,10,-642,8,1,17,Forest,2214,3652,-1413,2250,3076,-1101
4635383.41699781,2450361.79413322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,3324,4000,-912,2734,3180,-918
4821623.41699781,2458101.79413322,1985,77,34,1931,2,0,0,0,0,0,0,0,1985,8,34,686,0,0,1985,133,34,-869,3,2,19,Forest,2704,4110,-1439,2702,3447,-1133
4742183.41699781,2506191.79413322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,525,1,-1123,525,5,20,Forest,2574,3709,-1004,2348,3333,-1224
4754003.41699781,2489301.79413322,1985,199,34,1971,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,221,34,-1053,6,1,21,Forest,2810,3272,-559,2462,2681,-615
