x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
4841852.010985312,2909134.933254989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,62,36,1218,1,0,1998,40,1,413,40,1,1996,19,25,737,0,1,2012,330,1,2515,330,2,0,0,0,0,0,0,1985,127,36,-404,3,2,1,Forest
4886213.168697886,2939458.999697351,1991,105,30,265,3,0,1992,236,29,376,8,0,1992,272,29,191,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,40,32,737,1,0,0,0,0,0,0,0,1990,712,2,3001,356,1,0,0,0,0,0,0,2015,324,1,-796,324,3,2,Forest
4540922.383980934,3015456.952629451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,1757,2,4666,878,3,1987,1132,1,952,1132,10,1987,692,1,458,692,10,0,0,0,0,0,0,1987,1660,1,1789,1660,6,0,0,0,0,0,0,1987,824,1,-458,824,8,3,Forest
4561804.264066553,3061572.38609913,2001,70,20,263,3,0,2016,327,5,280,65,3,2018,593,3,133,197,5,1996,773,8,3260,96,3,2018,1639,3,850,546,5,2018,1212,3,233,404,4,2018,517,1,793,517,4,2017,1180,4,1956,295,3,1999,537,4,2270,134,2,2018,1574,3,-240,524,5,4,Forest
4892927.583112459,2934327.060112089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,250,28,4185,8,0,1987,916,1,1629,916,9,1987,751,1,638,751,7,1987,254,1,656,254,7,0,0,0,0,0,0,2001,926,1,3095,926,3,1985,1336,3,-171,445,13,5,Forest
4534121.924423442,2965405.623143414,1989,150,32,201,4,1,1989,110,32,338,3,0,1989,107,32,219,3,0,1985,654,3,2751,218,3,1991,79,30,912,2,0,0,0,0,0,0,0,1990,10,31,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,203,2,-296,101,3,6,Forest
4579617.0489848815,2929114.9100925857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,352,21,1949,16,2,2001,199,20,648,9,3,1985,67,36,281,1,1,1985,39,36,722,1,1,2006,386,15,1486,25,2,0,0,0,0,0,0,1985,186,36,-136,5,3,7,Forest
4882817.830051896,2983606.933533564,1989,583,3,-66,194,1,1992,357,29,180,12,1,0,0,0,0,0,0,1985,2065,1,3966,2065,7,2012,542,2,931,271,2,1992,640,29,139,22,3,1990,74,31,702,2,1,1992,1876,29,1221,64,2,0,0,0,0,0,0,2012,440,3,-425,146,5,8,Forest
4869790.187640299,2979427.258858344,1991,141,30,184,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,846,1,2541,846,4,2016,597,1,1191,597,4,2011,682,10,247,68,5,2003,194,18,741,10,3,2016,1386,1,1454,1386,3,0,0,0,0,0,0,2016,460,1,-642,460,8,9,Forest
4723768.362064418,3017660.032228126,1989,491,1,421,491,6,0,0,0,0,0,0,1989,503,1,416,503,5,1985,80,36,3116,2,0,1989,671,1,1599,671,4,1985,442,6,675,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest
4683916.844179652,3088808.9327193284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,206,36,1677,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,6,23,992,0,0,0,0,0,0,0,0,11,Forest
4710775.716202995,2982015.94553119,2020,242,1,370,242,5,2020,250,1,468,250,5,2020,584,1,306,584,9,1985,73,18,1729,4,0,2020,1483,1,1178,1483,14,2020,997,1,635,997,15,2020,351,1,548,351,7,2020,1687,1,1834,1687,9,1988,218,1,1090,218,2,2020,1316,1,-663,1316,21,12,Forest
4640189.005681333,2948922.672971346,0,0,0,0,0,0,0,0,0,0,0,0,1990,229,1,280,229,3,1989,877,1,2789,877,4,2006,461,3,691,153,5,2007,363,2,281,181,5,2007,292,2,791,146,5,1998,563,23,1897,24,2,1985,155,25,1386,6,0,2007,686,2,-44,343,7,13,Forest
4909156.461257612,2966470.323539178,1994,196,27,106,7,1,0,0,0,0,0,0,2005,146,16,118,9,0,1990,420,8,2754,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,708,13,2128,54,2,1985,173,2,-289,86,2,14,Forest
4662552.932467907,2935642.1985122305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,473,2,3036,236,1,0,0,0,0,0,0,0,0,0,0,0,0,1990,113,2,619,56,3,1985,662,1,2207,662,2,2001,39,20,1757,1,0,0,0,0,0,0,0,15,Forest
4765462.38368513,3024008.4690679274,1985,318,5,270,63,3,1985,198,7,476,28,2,1985,110,7,395,15,1,2001,127,20,3267,6,0,1985,496,24,1126,20,1,1995,784,2,472,392,5,1994,311,3,732,103,5,1985,640,24,2505,26,1,0,0,0,0,0,0,1996,940,1,-428,940,7,16,Forest
4837701.4501897935,2887185.413290782,0,0,0,0,0,0,1985,484,5,443,96,3,0,0,0,0,0,0,1985,141,36,3093,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,49,29,749,1,1,0,0,0,0,0,0,1997,454,1,2377,454,2,1985,153,36,-383,4,2,17,Forest
4670211.687025815,2935351.0867818696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,618,36,940,17,3,1985,232,36,409,6,2,1993,36,28,698,1,0,1985,514,36,2358,14,1,0,0,0,0,0,0,1985,536,36,-238,14,3,18,Forest
4759783.4806491295,3018623.3502794425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,457,2,2680,228,2,0,0,0,0,0,0,0,0,0,0,0,0,1994,47,1,733,47,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,110,36,-339,3,2,19,Forest
4875395.565131792,2962241.3417160516,0,0,0,0,0,0,1991,185,1,163,185,0,1991,146,30,201,4,0,1985,793,1,3614,793,2,1993,332,28,1104,11,1,2002,346,1,360,346,1,0,0,0,0,0,0,1991,460,30,2182,15,0,0,0,0,0,0,0,2013,313,8,-500,39,3,20,Forest
