x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4410087.95290104,3603551.03180782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest,2259,4037,-911,2137,2425,-227
4257237.95290104,3675371.03180782,1994,3132,1,1553,3132,12,1985,749,8,683,93,1,1991,656,2,814,328,4,1991,2228,2,-311,1114,4,2,Forest,2630,4250,-832,3559,4024,-690
4257087.95290104,3780191.03180782,1985,1116,2,524,558,6,1986,748,1,331,748,9,1986,449,1,646,449,9,1986,1058,1,-259,1058,8,3,Forest,973,1771,-437,1382,1542,-154
4409547.95290104,3570941.03180782,0,0,0,0,0,0,2017,249,2,628,124,1,1991,170,1,789,170,3,1985,87,34,-570,2,0,4,Forest,2872,3254,-523,2578,3028,-560
4403607.95290104,3529781.03180782,0,0,0,0,0,0,1992,1011,1,-464,1011,1,0,0,0,0,0,0,0,0,0,0,0,0,5,Forest,2287,2780,-308,3078,3301,-500
4344957.95290104,3591551.03180782,0,0,0,0,0,0,2018,363,1,965,363,2,0,0,0,0,0,0,2018,411,1,-996,411,2,6,Forest,2357,4391,-1679,2358,3546,-1061
4364637.95290104,3701261.03180782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Forest,2003,2931,-622,2428,2679,-490
4336407.95290104,3771041.03180782,2001,338,2,1115,169,2,0,0,0,0,0,0,0,0,0,0,0,0,2001,199,2,-439,99,2,8,Forest,2406,2883,-528,2588,2776,-469
4243587.95290104,3774011.03180782,2001,153,1,694,153,1,2000,271,11,250,24,4,0,0,0,0,0,0,2001,376,6,-53,62,5,9,Forest,1555,2483,-654,1481,1756,-283
4275537.95290104,3701711.03180782,0,0,0,0,0,0,0,0,0,0,0,0,2006,163,3,718,54,4,0,0,0,0,0,0,10,Forest,1351,2103,-443,1591,1890,-324
4277517.95290104,3677231.03180782,2009,2477,1,669,2477,10,2009,2282,1,314,2282,10,2009,689,1,642,689,16,2009,2411,1,-274,2411,29,11,Forest,1339,1987,-240,1603,2562,-1048
4643997.95290104,3564671.03180782,2001,591,1,624,591,4,2001,401,1,235,401,7,1999,150,3,777,50,3,1985,539,34,-60,15,3,12,Forest,2018,3351,-1051,1738,2800,-1105
4333317.95290104,3749801.03180782,2016,293,3,1680,97,2,2017,216,2,818,108,3,0,0,0,0,0,0,1985,423,1,-691,423,5,13,Forest,2232,3258,-1010,2218,3116,-1064
4464117.95290104,3551441.03180782,0,0,0,0,0,0,2017,222,2,786,111,2,2018,111,1,603,111,2,0,0,0,0,0,0,14,Forest,3218,4334,-910,2225,2481,-312
4298157.95290104,3789731.03180782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Forest,2670,3281,-443,1974,2364,-392
4284447.95290104,3691271.03180782,2008,750,1,721,750,8,2008,448,1,289,448,5,2008,251,1,766,251,5,2008,757,1,-97,757,6,16,Forest,2264,3731,-887,2258,2419,-291
4637877.95290104,3577541.03180782,1985,442,34,1765,13,2,2018,300,1,1166,300,2,2018,165,1,484,165,3,1985,395,34,-992,11,2,17,Forest,3213,4143,-1062,2393,2679,-424
4304127.95290104,3724421.03180782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,1241,1979,-504,1343,1743,-397
4259667.95290104,3661901.03180782,2009,1956,2,2033,978,4,2009,1612,2,1123,806,3,2005,346,2,550,173,2,2007,955,2,-1232,477,1,19,Forest,1718,3143,-1162,2026,3059,-1221
4345227.95290104,3831311.03180782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Forest,3135,4249,-894,1625,1878,-207
4277877.95290104,3682961.03180782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Forest,2594,3454,-458,2703,2819,-446
