x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5161556.19904061,4095583.5798384,1985,914,4,1344,228,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest,1574,2723,-782,1405,2097,-543
5057786.19904061,4040653.5798384,0,0,0,0,0,0,1993,58,26,523,2,0,0,0,0,0,0,0,2000,108,3,-558,36,1,2,Forest,2330,2866,-613,2011,2496,-616
5213576.19904061,4008913.5798384,1997,242,1,1210,242,1,1991,128,28,515,4,1,1992,66,1,745,66,1,2000,365,2,-484,182,4,3,Forest,2253,2805,-507,2989,3242,-570
5141366.19904061,4071763.5798384,1985,345,1,1168,345,3,0,0,0,0,0,0,0,0,0,0,0,0,1985,839,1,110,839,11,4,Forest,2047,2869,-771,1802,2068,-347
5043866.19904061,4022443.5798384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Forest,2777,3385,-571,2413,2696,-499
5291786.19904061,4013743.5798384,0,0,0,0,0,0,0,0,0,0,0,0,2018,32,1,733,32,1,2007,72,3,-395,24,1,6,Forest,2284,2658,-374,1884,2174,-424
5143856.19904061,4034713.5798384,0,0,0,0,0,0,2004,58,1,415,58,1,2007,41,1,683,41,1,0,0,0,0,0,0,7,Forest,1643,2319,-477,1758,2223,-406
5261666.19904061,4089973.5798384,2004,377,1,1149,377,2,1990,189,1,531,189,2,2002,81,1,660,81,2,1989,100,3,-537,33,1,8,Forest,2520,3049,-597,3064,3214,-604
5305076.19904061,4130683.5798384,2003,264,1,913,264,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Forest,2834,3765,-909,1626,1699,-115
5278916.19904061,4046653.5798384,1985,213,7,1154,30,1,1985,184,8,486,23,2,1985,89,8,642,11,1,1985,207,8,-501,25,1,10,Forest,1648,2440,-630,1497,2100,-640
