x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5353047.6571162,4507081.49933551,1985,575,1,1984,575,3,1985,462,1,1219,462,3,1992,232,1,445,232,4,1985,579,1,-1329,579,3,2,Forest,1119,3408,-1802,1471,1884,-465
5204547.6571162,4915021.49933551,1989,430,2,2137,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest,1237,3293,-1922,1651,2182,-560
4973847.6571162,4361581.49933551,1985,972,18,1041,54,2,1993,614,1,511,614,3,1991,463,7,617,66,9,1993,1158,3,-540,386,4,12,Forest,1573,2250,-654,1424,1897,-545
5043957.6571162,4957681.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Forest,1831,2423,-458,1983,2543,-525
5084157.6571162,4423591.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,1394,2216,-575,1702,2106,-465
5131017.6571162,4274071.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Forest,1800,2717,-816,1515,2059,-509
5111007.6571162,4629001.49933551,2011,1010,1,974,1010,6,2011,523,1,486,523,8,1995,252,24,734,10,3,2011,876,1,-388,876,8,22,Forest,1303,2206,-743,1502,2452,-963
5033277.6571162,4561861.49933551,1985,515,34,1182,15,2,1985,184,8,511,23,1,1989,234,1,631,234,3,2003,475,1,-630,475,3,26,Forest,1302,2642,-959,1464,1869,-469
5007957.6571162,4230451.499335511,1995,726,1,822,726,3,1995,635,2,341,317,4,1996,396,1,666,396,4,1995,938,2,-317,469,4,27,Forest,1541,2818,-1166,1509,2172,-719
5195787.6571162,4227271.499335511,1990,633,1,811,633,4,1990,372,1,340,372,3,0,0,0,0,0,0,1990,492,1,-384,492,3,28,Forest,1509,2811,-1342,1420,2228,-965
4981197.6571162,4241311.499335511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,Forest,1592,1926,-313,2467,2621,-565
5108727.6571162,4923901.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Forest,1555,2270,-493,1925,2729,-913
5050347.6571162,4426111.49933551,1985,413,2,1040,206,4,1985,201,2,634,100,2,0,0,0,0,0,0,1985,293,4,-658,73,2,39,Forest,1772,3155,-1222,1637,2128,-627
4957077.6571162,4364191.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Forest,1523,2365,-623,2320,2585,-551
5124087.6571162,4661371.49933551,1985,613,14,1202,43,3,1996,607,1,650,607,6,1996,229,1,582,229,3,1996,785,1,-762,785,5,50,Forest,1164,2516,-1206,1295,2074,-879
5007567.6571162,4556161.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,Forest,968,1915,-502,1085,1566,-548
5112057.6571162,4896061.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Forest,1068,2579,-1106,1426,2292,-953
4947057.6571162,5101891.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,Forest,1357,2697,-1121,1525,2165,-778
5174487.6571162,4893271.49933551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,Forest,1629,2944,-1202,1313,1627,-376
