x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
3658212.6302073,2404254.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,56,21,3267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,212,1,498,212,3,1992,850,1,2935,850,4,0,0,0,0,0,0,0,0,0,0,0,0,19,Forest
3811272.6302073,2380974.56245563,1988,348,1,278,348,4,1988,315,1,493,315,4,2018,234,3,251,78,3,2003,858,1,4141,858,3,2019,514,2,1544,257,5,2019,332,2,568,166,4,2019,128,2,772,64,4,2004,622,17,3211,36,2,0,0,0,0,0,0,2019,428,2,-543,214,4,44,Forest
4081182.6302073,2799474.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,449,10,3197,44,1,2008,118,2,1491,59,1,0,0,0,0,0,0,1985,33,9,616,3,0,1991,779,2,2570,389,3,1985,368,5,1980,73,1,2009,97,1,-688,97,1,47,Forest
4091082.6302073,2800104.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,454,9,3329,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,Forest
4101282.6302073,2743884.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1250,27,3835,46,3,2011,182,10,1129,18,1,0,0,0,0,0,0,2013,61,2,758,30,1,0,0,0,0,0,0,1985,850,27,2537,31,3,0,0,0,0,0,0,155,Forest
4018752.6302073,2528664.56245563,0,0,0,0,0,0,2004,217,1,587,217,1,0,0,0,0,0,0,0,0,0,0,0,0,2010,542,4,2278,135,1,2008,291,1,1170,291,0,0,0,0,0,0,0,2006,1075,8,3286,134,3,1989,1530,3,2833,510,3,2010,378,4,-1366,94,0,165,Forest
3548382.6302073,2336244.56245563,0,0,0,0,0,0,0,0,0,0,0,0,1989,345,2,323,172,6,1985,684,9,3962,76,2,1987,278,1,1482,278,2,1987,444,1,525,444,5,1987,162,1,759,162,5,2007,311,1,2971,311,1,1985,853,6,2770,142,3,1985,432,3,-459,144,4,185,Forest
3449862.6302073,2465214.56245563,0,0,0,0,0,0,1990,741,4,130,185,2,0,0,0,0,0,0,2005,215,16,3793,13,0,1990,700,1,934,700,4,0,0,0,0,0,0,0,0,0,0,0,0,1990,1475,3,2300,491,3,0,0,0,0,0,0,1985,478,6,-78,79,3,202,Forest
3851322.6302073,2873394.56245563,1986,183,6,285,30,2,1986,225,6,440,37,2,0,0,0,0,0,0,0,0,0,0,0,0,1989,848,1,988,848,4,1989,420,1,427,420,2,0,0,0,0,0,0,1986,1458,6,2011,243,4,2001,805,8,2853,100,3,1989,602,1,-297,602,2,203,Forest
3852252.6302073,2588934.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,376,36,1670,10,0,1985,319,36,792,8,0,1985,78,36,612,2,0,1985,300,36,3253,8,0,0,0,0,0,0,0,1985,467,36,-738,12,0,217,Forest
3862572.6302073,2372874.56245563,2009,166,4,505,41,1,1986,333,2,505,166,1,2016,861,1,921,861,3,1986,309,35,3877,8,0,2010,716,3,2423,238,1,2012,1640,1,794,1640,5,1986,126,35,547,3,0,1986,638,2,3699,319,1,1986,601,35,2380,17,0,2012,1509,1,-831,1509,3,221,Forest
3972462.6302073,2621934.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,936,23,4398,40,2,2011,250,1,1462,250,1,2010,93,11,594,8,1,0,0,0,0,0,0,2011,1152,6,2871,192,4,2017,546,4,3026,136,2,1985,866,1,-373,866,7,232,Forest
3737022.6302073,2178114.56245563,1991,109,4,242,27,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,661,36,3293,18,1,1998,174,11,1017,15,1,2008,153,1,340,153,1,2011,88,1,750,88,2,0,0,0,0,0,0,2007,355,1,1844,355,1,2008,333,4,-214,83,3,254,Forest
3643722.6302073,2644404.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,188,23,1292,8,2,0,0,0,0,0,0,1985,62,1,772,62,2,0,0,0,0,0,0,1985,410,5,2346,82,2,1985,108,36,-457,3,1,258,Forest
4231062.6302073,2071764.56245563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,14,25,3337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,62,1,735,62,3,2010,395,11,2642,35,1,0,0,0,0,0,0,0,0,0,0,0,0,262,Forest
3438792.6302073,2473434.56245563,1985,83,1,360,83,1,2013,148,1,446,148,2,2008,39,13,371,3,0,1985,673,36,3931,18,1,2020,271,1,1571,271,2,2006,218,15,624,14,2,2005,143,16,719,8,4,0,0,0,0,0,0,1985,351,36,2506,9,1,2010,315,11,-632,28,3,315,Forest
