x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4340164.337169323,3063599.352280291,1991,1015,1,1138,1015,8,1991,933,1,419,933,6,0,0,0,0,0,0,1991,1146,1,-420,1146,7,1,Forest,1510,2442,-130,1966,2197,-296
4476821.717781217,2966109.193574062,2006,313,1,680,313,2,1986,186,33,233,5,2,1986,94,29,753,3,1,1986,333,33,-60,10,3,4,Forest,1631,2540,-56,1418,2062,-436
4331392.161555496,2882919.480547013,1997,371,1,1104,371,2,1985,154,8,359,19,2,1985,86,5,707,17,2,1985,336,12,-155,28,1,6,Forest,2478,3399,-655,1658,1879,-300
4462998.560856023,2995157.4960170453,2011,145,4,1308,36,1,0,0,0,0,0,0,0,0,0,0,0,0,2011,306,2,-507,153,5,7,Forest,2424,4301,-1022,1348,1710,-329
4234388.654171079,2943275.3245364833,2010,841,1,1219,841,7,2010,740,1,470,740,8,2010,392,1,708,392,12,2010,954,1,-511,954,10,8,Forest,1754,2605,-369,2246,2495,-525
4230893.387170226,3411208.057954098,0,0,0,0,0,0,0,0,0,0,0,0,1985,30,28,758,1,0,1985,481,2,307,240,8,12,Forest,2468,3250,-559,1850,2105,-414
4530341.444743222,3380410.6917085666,2016,980,3,530,326,4,0,0,0,0,0,0,2016,312,3,839,104,6,2013,643,6,-8,107,6,15,Forest,1660,2257,-318,2145,2581,-558
4428520.423587199,3249013.7395735187,1992,352,1,520,352,2,1992,233,1,243,233,2,2000,87,14,679,6,1,1985,163,34,-149,4,1,16,Forest,2047,2901,-618,2034,2462,-604
4477548.5846904935,2976349.2767917104,1992,680,27,257,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1996,266,23,-10,11,0,17,Forest,2794,3360,-494,1258,1709,-346
4257617.06603678,2942778.932701325,0,0,0,0,0,0,1989,499,30,235,16,1,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,2671,3578,-921,1193,1468,-327
4256056.592078119,2764091.287198178,2013,269,6,920,44,3,2004,156,15,341,10,3,2011,71,1,692,71,3,1985,359,34,-128,10,4,20,Forest,1948,2415,-302,2199,2503,-533
4342345.166575402,3397891.7767786547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Forest,2011,2716,-220,1327,1478,-200
4602420.343405895,3252570.0497025563,1985,393,34,1394,11,1,1995,233,1,561,233,2,1988,155,2,783,77,3,1985,764,23,-308,33,4,22,Forest,2078,3041,-643,1683,2123,-553
4296347.958690361,2967944.6764896335,1992,385,1,923,385,2,1985,148,3,371,49,1,0,0,0,0,0,0,1985,202,6,-256,33,1,23,Forest,1990,2658,-553,2987,3388,-814
4565158.672324341,3098109.1021427214,1999,695,1,854,695,5,1999,454,1,362,454,6,1999,223,1,670,223,4,1999,634,1,-310,634,5,24,Forest,2129,2636,-388,1508,2261,-665
4198178.521589162,3108753.4547544224,0,0,0,0,0,0,1991,282,1,369,282,5,0,0,0,0,0,0,0,0,0,0,0,0,27,Forest,2009,2703,-589,989,1184,-268
