x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5369506.28394313,1815380.1249494501,0,0,0,0,0,0,1987,121,5,723,24,2,0,0,0,0,0,0,1985,197,18,2530,10,1,2007,94,4,1408,23,1,1988,157,2,1238,78,2,1988,94,1,348,94,3,1987,191,5,3151,38,1,0,0,0,0,0,0,1985,195,1,-1332,195,2,1,Forest
5316826.28394313,1835390.1249494501,0,0,0,0,0,0,0,0,0,0,0,0,1985,124,10,405,12,2,1985,456,3,2527,152,2,1985,162,12,1073,13,1,1993,409,2,414,204,4,1993,258,2,686,129,9,0,0,0,0,0,0,0,0,0,0,0,0,1993,412,2,-372,206,7,2,Forest
5265706.28394313,2026880.1249494501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,305,1,3185,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Forest
5219296.28394313,1938320.1249494501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,106,15,3323,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest
5249866.28394313,1842260.1249494501,0,0,0,0,0,0,0,0,0,0,0,0,1990,4,31,696,0,0,1985,512,6,3389,85,2,1985,421,36,1907,11,3,1985,347,33,964,10,4,1985,86,36,492,2,1,1985,287,36,3330,7,1,1985,74,23,1616,3,0,1985,516,33,-1003,15,4,5,Forest
5244406.28394313,1925450.1249494501,2000,66,1,275,66,1,2000,159,1,484,159,2,2000,127,1,355,127,1,1985,1006,2,4076,503,2,2000,445,1,1381,445,2,2000,361,1,497,361,2,2000,160,1,736,160,2,1990,252,31,2874,8,0,1985,234,14,2284,16,0,2000,465,1,-509,465,2,6,Forest
5431306.28394313,1644740.12494945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1344,1,3419,1344,4,1985,204,36,1146,5,1,1985,44,36,461,1,0,0,0,0,0,0,0,1985,211,36,2273,5,0,1985,1075,1,2224,1075,4,1985,137,36,-472,3,1,8,Forest
5520646.28394313,2151200.12494945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,234,11,2344,21,3,1996,300,1,924,300,5,2000,171,4,589,42,3,2000,72,1,587,72,2,0,0,0,0,0,0,0,0,0,0,0,0,2000,270,2,-477,135,4,9,Forest
5260006.28394313,1944320.1249494501,2011,91,3,260,30,2,0,0,0,0,0,0,0,0,0,0,0,0,1998,565,1,3680,565,3,2011,175,3,1694,58,2,1998,104,1,648,104,2,1998,138,1,700,138,7,0,0,0,0,0,0,1998,344,1,2451,344,1,1985,85,29,-764,2,1,10,Forest
5607196.28394313,2148380.12494945,1988,96,1,518,96,3,2011,1,10,624,0,0,0,0,0,0,0,0,2003,374,1,3291,374,2,0,0,0,0,0,0,1996,233,2,1126,116,5,2000,67,2,477,33,2,2012,273,1,3440,273,2,2003,438,1,2029,438,4,1996,174,6,-1364,29,2,11,Forest
