x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5091306.84174336,2844220.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1991,469,1,477,469,4,1991,899,1,-912,899,3,1,Forest,2529,4030,-1360,2886,3274,-725
5167536.84174336,2682580.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1998,63,2,575,31,2,0,0,0,0,0,0,2,Forest,2336,3083,-734,2398,2830,-717
4934556.84174336,2730370.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1985,71,2,707,35,1,1985,125,2,-647,62,1,3,Forest,1886,3758,-1461,1965,3142,-1286
5068086.84174336,2666710.27242986,2002,114,17,2024,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest,2321,3048,-617,2236,2667,-654
5050236.84174336,2822890.27242986,1985,128,9,1379,14,1,2017,155,2,511,77,3,2017,99,2,744,49,6,1990,298,4,-494,74,4,5,Forest,2307,3142,-522,1997,2586,-859
4989996.84174336,2753020.27242986,1985,253,34,1409,7,2,1985,118,34,597,3,1,1985,77,34,690,2,2,1985,357,34,-517,10,4,6,Forest,2456,3178,-627,2515,2752,-576
5050626.84174336,2803780.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,65,28,-545,2,0,7,Forest,2761,3393,-448,2195,2701,-568
4973616.84174336,2692720.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1985,182,7,723,26,2,0,0,0,0,0,0,8,Forest,2971,3629,-521,2819,3122,-635
5024886.84174336,2617540.27242986,2014,1065,1,1536,1065,7,2009,152,10,573,15,2,1985,161,2,766,80,4,2014,1005,1,-709,1005,6,9,Forest,2773,3483,-645,2399,2741,-644
4876356.84174336,2676400.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1999,62,7,711,8,2,1985,37,34,-708,1,0,10,Forest,2697,3095,-559,2327,3277,-1266
4892526.84174336,2677690.27242986,2012,926,1,1809,926,6,2012,614,1,823,614,6,1985,239,34,743,7,4,2012,788,1,-1038,788,5,11,Forest,2547,3455,-774,2498,3058,-771
4856046.84174336,2701600.27242986,1988,420,2,1597,210,4,2009,338,1,733,338,2,1988,147,2,649,73,2,1988,328,2,-736,164,2,12,Forest,1988,3323,-1006,2060,3251,-1324
5145036.84174336,2657710.27242986,1985,207,34,2261,6,1,2007,378,1,1212,378,1,2007,120,1,430,120,1,2007,224,1,-1480,224,1,13,Forest,1348,2439,-110,1877,2602,-512
5008746.84174336,2604880.27242986,2003,681,1,933,681,3,2003,425,1,377,425,2,2005,190,1,675,190,2,2003,400,1,-305,400,2,14,Forest,1973,3039,-670,1337,3540,-1990
5052456.84174336,2653060.27242986,2010,1273,1,1198,1273,14,2011,1547,1,1338,1547,17,2011,352,1,360,352,7,2011,1259,1,-1617,1259,7,15,Forest,2393,3124,-596,2004,2680,-714
5094036.84174336,2830960.27242986,1995,284,24,1255,11,2,1995,143,24,490,5,2,1987,61,1,701,61,3,1985,183,34,-523,5,2,16,Forest,2927,4105,-966,2175,3023,-934
4855236.84174336,2601340.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1985,126,1,722,126,4,1985,642,1,-421,642,6,17,Forest,2457,3079,-639,2362,2685,-690
5104926.84174336,2881060.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,61,34,-677,1,0,18,Forest,3109,3850,-977,2286,2762,-798
5083266.84174336,2830810.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Forest,2138,3490,-1129,2034,2965,-1123
5109006.84174336,2810050.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Forest,2604,3846,-863,2186,3495,-1402
5125596.84174336,2821630.27242986,1985,714,6,1934,119,3,1985,521,9,936,57,2,1985,1,12,480,0,0,1985,496,6,-961,82,2,21,Forest,2247,2931,-650,2247,2567,-591
4896636.84174336,2592130.27242986,0,0,0,0,0,0,0,0,0,0,0,0,2008,52,1,693,52,2,1985,59,19,-640,3,0,22,Forest,2406,3828,-1107,2720,3044,-564
4859136.84174336,2656090.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Forest,2390,3152,-679,2298,2799,-616
4994676.84174336,2748790.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,85,34,-602,2,1,24,Forest,2502,4300,-1304,2081,2364,-443
4897596.84174336,2597230.27242986,0,0,0,0,0,0,2008,671,1,1260,671,2,1985,136,26,459,5,0,1985,322,24,-1298,13,0,25,Forest,3352,3927,-671,2424,2962,-713
5213526.84174336,2779780.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Forest,2825,3771,-753,2415,3214,-845
4870896.84174336,2671240.27242986,0,0,0,0,0,0,2002,68,17,574,4,1,2007,50,2,737,25,1,0,0,0,0,0,0,27,Forest,2632,3467,-601,2560,2842,-580
5011596.84174336,2577040.27242986,1985,137,34,1807,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,124,34,-773,3,1,28,Forest,1905,3557,-1155,2326,2944,-930
5097246.84174336,2848480.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,50,28,-622,1,1,29,Forest,2642,3594,-731,2196,2766,-722
5106786.84174336,2869660.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,672,9,-1114,74,2,30,Forest,1840,3601,-1025,2529,3447,-914
5025126.84174336,2801200.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,Forest,3021,3650,-694,2463,2819,-641
5122236.84174336,2833450.27242986,1992,417,19,1660,21,5,0,0,0,0,0,0,0,0,0,0,0,0,1985,108,26,-961,4,0,32,Forest,1485,4848,-2517,2735,3015,-655
5028126.84174336,2728030.27242986,1991,77,28,1561,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,Forest,3020,3723,-876,2528,2864,-633
5213496.84174336,2838610.27242986,0,0,0,0,0,0,1994,40,25,544,1,0,2018,204,1,671,204,5,2018,356,1,-647,356,3,34,Forest,2843,3546,-565,2347,2750,-648
5039586.84174336,2691130.27242986,1986,158,8,2999,19,0,1990,197,6,2393,32,0,1997,88,1,134,88,1,1986,381,1,-2341,381,2,35,Forest,2654,3309,-713,2439,2853,-707
5040336.84174336,2826490.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Forest,2229,2735,-510,2352,2632,-569
5068416.84174336,2799790.27242986,1996,152,23,1378,6,1,2015,138,4,473,34,3,2016,43,3,737,14,2,1985,321,1,-461,321,5,37,Forest,1992,3455,-782,2617,3463,-753
5028666.84174336,2804920.27242986,1996,170,1,1439,170,2,2003,95,1,599,95,2,2003,118,2,712,59,6,1996,199,1,-574,199,3,38,Forest,1541,4452,-2046,2501,3112,-696
5270016.84174336,2834980.27242986,0,0,0,0,0,0,1998,3,21,500,0,0,1998,31,21,757,1,1,1985,388,2,-404,194,6,39,Forest,2699,3175,-526,2333,2643,-548
4920606.84174336,2729950.27242986,1985,110,34,1261,3,1,2005,73,1,470,73,2,2005,53,1,728,53,2,2004,220,2,-534,110,4,40,Forest,2595,3045,-481,2335,2979,-764
4926816.84174336,2554900.27242986,1985,161,34,1815,4,0,1985,197,20,938,9,0,0,0,0,0,0,0,1985,466,20,-751,23,1,41,Forest,2480,3191,-722,2859,3199,-731
5078736.84174336,2694790.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,1100,1,-1186,1100,2,42,Forest,2470,3198,-764,2519,2921,-732
4916526.84174336,2629960.27242986,0,0,0,0,0,0,0,0,0,0,0,0,2008,17,11,735,1,0,0,0,0,0,0,0,43,Forest,2608,3459,-832,2562,2890,-600
4928346.84174336,2580850.27242986,2008,754,1,1450,754,11,2008,673,1,496,673,12,2008,257,1,714,257,4,2008,976,1,-490,976,18,44,Forest,2567,3125,-625,2648,3040,-719
5019876.84174336,2779690.27242986,1985,415,34,1522,12,2,2007,458,1,634,458,3,2007,201,1,672,201,2,2007,599,1,-751,599,3,45,Forest,1316,3079,-1280,2064,2676,-822
5027916.84174336,2779180.27242986,1999,476,1,1557,476,4,1999,369,1,616,369,4,1997,110,1,661,110,2,1999,616,2,-785,308,5,46,Forest,1438,4436,-2249,2825,3117,-519
5086326.84174336,2812300.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Forest,2845,3552,-690,2458,2760,-615
4842036.84174336,2631670.27242986,1987,393,2,1559,196,4,1988,315,1,587,315,5,1988,118,1,719,118,3,1988,308,1,-678,308,3,48,Forest,2513,2976,-448,2484,2870,-604
5210526.84174336,2795890.27242986,2018,287,1,1631,287,3,2016,307,3,654,102,3,2018,274,1,601,274,7,2018,523,1,-851,523,5,49,Forest,1789,3995,-1593,2262,2852,-859
5053896.84174336,2669530.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Forest,2556,3942,-1215,2793,3288,-778
5053236.84174336,2671810.27242986,2000,882,1,2380,882,4,0,0,0,0,0,0,1985,32,25,247,1,0,1992,833,8,-1056,104,3,51,Forest,2492,3206,-658,2087,2864,-786
5030376.84174336,2759320.27242986,2012,184,1,1457,184,2,2002,74,17,532,4,1,0,0,0,0,0,0,0,0,0,0,0,0,52,Forest,2451,3225,-531,2493,2812,-650
4935876.84174336,2640640.27242986,1985,246,34,1269,7,3,1985,63,34,532,1,1,0,0,0,0,0,0,2007,176,1,-560,176,2,53,Forest,3172,4017,-993,2918,3199,-714
5040126.84174336,2705530.27242986,1989,377,12,1977,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Forest,2195,3050,-654,2816,3060,-654
5104746.84174336,2861320.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1985,9,10,517,0,0,0,0,0,0,0,0,55,Forest,2664,3713,-929,2483,3210,-960
4873176.84174336,2643550.27242986,1985,116,34,1644,3,0,1989,129,30,667,4,1,1985,120,34,665,3,2,1985,376,34,-629,11,3,56,Forest,2597,3325,-661,2513,2880,-600
5172276.84174336,2877940.27242986,2017,85,2,1686,42,0,0,0,0,0,0,0,2003,59,1,680,59,2,1985,58,34,-778,1,0,57,Forest,2174,3186,-652,2149,2853,-705
5211996.84174336,2775910.27242986,1985,527,7,2035,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Forest,2906,3707,-647,2785,3184,-695
5110356.84174336,2874670.27242986,0,0,0,0,0,0,2010,58,5,549,11,1,2011,57,2,730,28,3,1985,113,34,-587,3,1,59,Forest,2489,2953,-608,2922,3309,-792
5077266.84174336,2829160.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Forest,2629,3650,-364,1906,2472,-571
4991796.84174336,2802370.27242986,1991,253,28,1366,9,2,1985,51,34,559,1,1,0,0,0,0,0,0,1985,91,34,-605,2,0,61,Forest,1652,2316,-157,1765,2177,-400
4840086.84174336,2655550.27242986,1996,198,1,1854,198,2,2006,110,2,826,55,1,0,0,0,0,0,0,1999,157,2,-952,78,1,62,Forest,2303,2950,-672,2498,3497,-1322
5244396.84174336,2854750.27242986,0,0,0,0,0,0,1985,174,4,886,43,2,0,0,0,0,0,0,0,0,0,0,0,0,63,Forest,2522,3366,-555,2699,2945,-700
4881366.84174336,2759860.27242986,2015,82,4,1424,20,1,1995,122,1,530,122,3,1995,57,1,720,57,2,1985,117,3,-473,39,1,64,Forest,2963,3578,-859,2325,2756,-872
4941786.84174336,2709160.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,248,2,-613,124,1,65,Forest,2822,3614,-610,2275,2927,-719
5020566.84174336,2762680.27242986,2003,534,1,1573,534,5,2003,218,1,590,218,2,0,0,0,0,0,0,1985,114,23,-666,4,0,66,Forest,1654,4562,-2418,2010,2458,-577
4882626.84174336,2690620.27242986,2000,1085,2,1536,542,7,2000,921,2,576,460,9,2001,402,1,648,402,7,2000,1224,2,-705,612,8,67,Forest,2304,2987,-473,2395,2733,-503
5248776.84174336,2847340.27242986,1997,413,2,1455,206,3,0,0,0,0,0,0,1996,18,23,749,0,0,1996,345,3,-486,115,6,68,Forest,2596,3063,-600,2455,2751,-630
4990296.84174336,2657350.27242986,0,0,0,0,0,0,0,0,0,0,0,0,1985,83,6,725,13,1,1985,196,6,-444,32,1,69,Forest,2752,3181,-718,2472,2886,-740
4851666.84174336,2710030.27242986,1985,205,34,839,6,2,1985,76,34,366,2,1,2012,36,1,685,36,1,1985,268,34,-172,7,3,70,Forest,2222,2769,-639,2881,3284,-716
4913646.84174336,2600830.27242986,2011,889,1,1557,889,11,2011,765,1,611,765,10,2011,338,1,718,338,11,2011,947,1,-707,947,11,71,Forest,2600,3412,-774,2496,2872,-688
5220786.84174336,2834380.27242986,2007,438,1,1466,438,6,2007,461,1,545,461,5,2007,63,1,713,63,1,2007,514,1,-628,514,4,72,Forest,2995,3753,-944,2708,3189,-860
5097966.84174336,2859700.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,141,34,-556,4,2,73,Forest,2727,3587,-770,1138,1569,-134
5075466.84174336,2834620.27242986,2012,141,1,1958,141,1,2004,191,1,773,191,2,2004,236,1,648,236,5,2004,225,1,-1036,225,1,74,Forest,2909,3281,-481,2214,2507,-565
4923456.84174336,2581570.27242986,0,0,0,0,0,0,1994,71,25,700,2,0,0,0,0,0,0,0,1985,282,34,-557,8,1,75,Forest,2570,3431,-548,1739,3300,-1191
5086386.84174336,2653210.27242986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Forest,3073,4051,-914,2717,3224,-765
5136366.84174336,2881990.27242986,1992,659,1,1248,659,8,1992,346,1,463,346,8,0,0,0,0,0,0,1992,413,1,-428,413,7,77,Forest,2356,3586,-1183,2315,3470,-1302
4943796.84174336,2718430.27242986,1996,63,23,1487,2,0,0,0,0,0,0,0,1985,43,2,747,21,1,1985,47,34,-598,1,0,78,Forest,2998,3446,-553,2621,3085,-585
5157216.84174336,2867170.27242986,1985,245,23,2160,10,1,1999,203,5,1077,40,1,1985,157,2,604,78,2,1985,571,2,-927,285,4,79,Forest,2692,3272,-495,2362,2606,-581
4890126.84174336,2621530.27242986,0,0,0,0,0,0,1985,82,3,596,27,1,2010,33,9,704,3,1,1985,54,34,-720,1,0,80,Forest,2578,3170,-706,2871,3202,-775
5157876.84174336,2868790.27242986,1985,190,11,1367,17,1,1985,120,13,523,9,2,1997,80,7,718,11,4,1987,203,1,-497,203,3,81,Forest,2685,3140,-580,2548,2794,-601
4913796.84174336,2640910.27242986,2009,966,1,1547,966,10,2009,815,1,544,815,14,2009,343,1,724,343,10,2009,962,1,-668,962,9,82,Forest,2437,2833,-612,2314,2651,-602
5037066.84174336,2815600.27242986,2008,306,1,1466,306,3,2008,256,1,555,256,6,2003,52,8,707,6,2,1985,111,34,-649,3,1,83,Forest,2662,3336,-736,2907,3250,-777
5070726.84174336,2838850.27242986,1990,12,29,1906,0,0,2002,89,17,658,5,1,0,0,0,0,0,0,0,0,0,0,0,0,84,Forest,2171,2767,-502,2096,2355,-535
