x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
3166088.82587731,3507254.09140269,1989,281,5,269,56,2,0,0,0,0,0,0,0,0,0,0,0,0,2015,1030,2,5128,515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,999,1,3968,999,3,0,0,0,0,0,0,1,Forest
3164228.82587731,3677084.09140269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,1253,35,3677,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,7628,1,3621,7628,6,1995,401,25,2012,16,0,0,0,0,0,0,0,2,Forest
3048608.82587731,3546074.09140269,1997,189,1,437,189,1,1997,206,1,575,206,1,1997,579,1,454,579,5,1998,983,1,3420,983,2,1997,989,1,875,989,4,1987,736,13,135,56,4,1997,542,3,783,180,9,1987,1101,11,1981,100,2,1991,696,8,2038,87,2,1997,1409,3,-70,469,10,3,Forest
3129548.82587731,3386894.09140269,0,0,0,0,0,0,1992,860,1,-133,860,2,0,0,0,0,0,0,1985,3316,1,5244,3316,7,0,0,0,0,0,0,1995,1747,1,-241,1747,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1703,3,315,567,4,4,Forest
3190448.82587731,3696674.09140269,2020,538,1,254,538,6,2020,688,1,357,688,6,2020,756,1,193,756,5,1986,1323,35,4548,37,1,2020,1294,1,690,1294,4,2020,849,1,210,849,5,2019,261,2,860,130,5,0,0,0,0,0,0,2005,865,2,2886,432,1,2019,861,2,68,430,4,5,Forest
3175688.82587731,3457934.09140269,1987,199,13,428,15,0,1987,338,13,623,26,1,1987,409,11,440,37,1,0,0,0,0,0,0,1987,530,11,1666,48,1,1987,452,11,692,41,1,1987,141,11,659,12,1,1987,902,34,3499,26,1,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest
3134468.82587731,3604754.09140269,1990,385,2,310,192,6,1986,215,3,567,71,2,0,0,0,0,0,0,1997,1234,1,4520,1234,3,2005,144,16,1545,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,486,15,3162,32,1,0,0,0,0,0,0,0,0,0,0,0,0,7,Forest
3229268.82587731,3404174.09140269,1990,257,14,251,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,306,2,594,153,2,1995,236,1,818,236,3,2003,764,1,3394,764,1,0,0,0,0,0,0,1998,453,2,-508,226,3,8,Forest
3167918.82587731,3658244.09140269,1986,467,7,319,66,1,1986,333,7,555,47,1,1986,330,7,482,47,1,1986,6,28,2722,0,0,1986,211,35,1328,6,0,2000,781,1,455,781,8,1994,161,6,668,26,1,0,0,0,0,0,0,1986,593,8,1817,74,1,2000,706,1,-310,706,2,9,Forest
3110948.82587731,3402014.09140269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1305,26,4353,50,3,0,0,0,0,0,0,0,0,0,0,0,0,1985,57,13,814,4,1,0,0,0,0,0,0,1985,547,26,2735,21,1,1993,234,5,-139,46,2,10,Forest
