x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4567875.24608448,2064613.2395494399,0,0,0,0,0,0,1985,16,21,524,0,0,0,0,0,0,0,0,1985,110,34,-435,3,1,3,Forest,1530,3266,-1181,1796,3098,-1271
4809075.24608448,1994293.2395494399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest,2028,2675,-596,2266,2563,-581
4260345.24608448,2519323.23954944,1985,31,34,611,0,0,1991,34,1,235,34,0,1985,46,26,739,1,1,1985,62,34,-149,1,1,5,Forest,1871,2657,-481,2165,2513,-537
4176735.24608448,2535073.23954944,2002,664,1,1757,664,4,2002,818,1,916,818,6,2002,266,1,454,266,4,2002,756,1,-996,756,5,7,Forest,2780,5007,-1906,3462,3926,-1133
4417365.24608448,2561083.23954944,1985,824,10,1973,82,3,1985,993,5,641,198,4,1989,348,1,574,348,4,1989,837,1,-996,837,3,8,Forest,1167,1588,-160,1194,1450,-273
4681185.24608448,2100493.23954944,1995,274,24,1513,11,2,0,0,0,0,0,0,1985,47,16,693,2,1,1985,208,34,-678,6,2,10,Forest,1922,3156,-1083,2300,2659,-582
4174005.24608448,2332483.23954944,1999,651,1,1124,651,5,1999,521,1,436,521,5,1999,245,1,711,245,5,1999,667,1,-449,667,10,11,Forest,1607,3069,-870,1794,2972,-1058
4310985.24608448,2334313.23954944,0,0,0,0,0,0,0,0,0,0,0,0,1989,57,1,696,57,3,0,0,0,0,0,0,14,Forest,3110,3778,-787,2472,3459,-1035
4910445.24608448,1833493.23954944,0,0,0,0,0,0,0,0,0,0,0,0,1993,75,1,810,75,2,1993,130,4,-18,32,2,15,Forest,2350,3169,-750,2548,2981,-746
4185255.24608448,2511343.23954944,2009,129,1,1631,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Forest,1974,3333,-836,2007,2589,-597
4473795.24608448,2591773.23954944,0,0,0,0,0,0,2002,155,1,620,155,2,0,0,0,0,0,0,0,0,0,0,0,0,20,Forest,1534,3434,-1213,1957,3024,-989
4694205.24608448,2104873.23954944,1988,164,1,1469,164,1,1985,176,1,467,176,3,0,0,0,0,0,0,1988,104,1,-631,104,1,21,Forest,1566,2364,-390,2038,2268,-566
4712265.24608448,1999153.2395494399,1985,276,34,685,8,1,1985,116,34,234,3,1,1985,63,34,785,1,1,1985,319,34,-102,9,2,22,Forest,3246,3989,-988,3022,3302,-670
4347165.24608448,2498293.23954944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,Forest,1189,1884,-133,1449,1577,-282
