x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5211476.25208616,3863965.67427827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,594,1,3577,594,3,0,0,0,0,0,0,1994,23,27,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,246,1,-303,246,3,1,Forest
5059316.25208616,3901225.67427827,1990,626,12,-186,52,1,0,0,0,0,0,0,1990,667,1,-229,667,2,1985,1621,1,4811,1621,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Forest
5121986.25208616,3808525.67427827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,1071,1,3273,1071,3,1985,250,36,1590,6,1,1985,140,36,715,3,1,1985,76,36,548,2,0,0,0,0,0,0,0,1991,731,3,1948,243,2,1985,284,36,-831,7,1,3,Forest
5104106.25208616,3804505.67427827,1985,212,8,224,26,2,1985,456,8,321,57,6,1990,410,3,372,136,6,0,0,0,0,0,0,1985,995,13,801,76,4,1991,410,1,435,410,3,1994,221,1,621,221,3,1985,1370,13,1845,105,4,1985,349,10,1388,34,1,1994,691,1,-236,691,5,4,Forest
5272136.25208616,3945955.67427827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,483,36,2745,13,2,2017,225,1,662,225,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,129,36,1673,3,0,2017,195,1,-7,195,2,5,Forest
5346926.25208616,3769795.67427827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,430,2,2053,215,5,1999,355,22,813,16,4,1985,248,8,316,31,3,1986,193,1,732,193,4,1985,98,36,1841,2,0,0,0,0,0,0,0,1985,294,6,-153,49,3,6,Forest
5325506.25208616,3825805.67427827,0,0,0,0,0,0,1985,212,11,521,19,3,1985,112,23,478,4,1,1985,610,9,3341,67,2,1991,782,3,1248,260,5,1993,914,1,705,914,6,1992,442,2,669,221,10,1991,1328,4,2429,332,5,1985,937,9,2284,104,4,1992,1048,2,-517,524,7,7,Forest
5317556.25208616,3826825.67427827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6,8,3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest
5151536.25208616,3828295.67427827,0,0,0,0,0,0,2013,63,8,381,7,1,0,0,0,0,0,0,1985,98,32,2723,3,0,2007,367,8,1134,45,4,2010,303,1,425,303,7,2010,300,1,712,300,7,2011,572,5,2147,114,2,1985,7,32,1747,0,0,2010,477,1,-441,477,8,9,Forest
5158436.25208616,3822205.67427827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,236,36,2282,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1997,177,1,715,177,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest
5208386.25208616,3811105.67427827,2013,147,8,267,18,1,2012,113,4,494,28,1,0,0,0,0,0,0,1985,892,27,3790,33,1,1991,13,30,1821,0,0,2013,181,8,696,22,1,0,0,0,0,0,0,2006,267,15,2955,17,1,2012,722,1,1796,722,2,2013,266,8,-849,33,1,11,Forest
