x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5043697.67063713,3697536.20266027,2002,39,17,1215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest,2305,2848,-509,2146,2314,-399
5292517.67063713,3606606.20266027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Forest,1472,2434,-606,1432,1802,-387
5241367.67063713,3635616.20266027,2001,1969,1,767,1969,16,2001,1387,1,463,1387,15,2001,549,1,615,549,13,2001,1794,1,-489,1794,16,3,Forest,1279,1937,-397,1556,1940,-397
5274067.67063713,3600036.20266027,1985,469,6,1631,78,2,1985,559,8,1021,69,2,1985,152,3,448,50,2,1985,462,8,-935,57,3,4,Forest,1445,2979,-1125,1931,2932,-920
5254327.67063713,3731586.20266027,2016,320,3,1304,106,3,2016,269,1,466,269,3,2016,61,1,728,61,3,2013,167,1,-457,167,1,5,Forest,2786,3289,-576,2480,2946,-723
5187547.67063713,3762756.20266027,1988,402,2,1703,201,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest,2933,3722,-826,2433,2868,-452
5147887.67063713,3753216.20266027,2013,273,1,1515,273,2,0,0,0,0,0,0,0,0,0,0,0,0,2011,209,8,-570,26,2,7,Forest,2623,3114,-610,2882,3039,-634
5326147.67063713,3708486.20266027,1985,98,34,782,2,1,1985,61,2,289,30,1,1985,34,6,691,5,1,1985,105,9,-222,11,1,8,Forest,1383,1868,-263,1246,1563,-328
5303317.67063713,3663336.20266027,2018,1023,1,1563,1023,4,2018,1258,1,562,1258,7,2018,395,1,623,395,4,2018,1033,1,-897,1033,4,9,Forest,2979,4162,-1118,2169,3372,-1158
5327077.67063713,3573366.20266027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest,1625,2485,-396,1565,1994,-429
