x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5210562.48788693,2063682.87747277,2018,108,3,377,36,1,2000,204,21,487,9,3,2011,210,3,474,70,3,1985,160,36,3668,4,0,2012,614,2,2066,307,5,2012,534,2,912,267,7,2005,179,13,637,13,5,1990,455,31,3279,14,2,2013,468,1,2214,468,2,2012,676,2,-1111,338,5,1,Forest
5356722.48788693,2098902.87747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,909,6,3609,151,3,1987,88,6,1905,14,1,0,0,0,0,0,0,1985,260,6,677,43,5,2004,157,17,3220,9,1,1985,864,6,2298,144,4,1985,185,6,-910,30,1,2,Forest
5345712.48788693,2131632.87747277,1988,72,1,355,72,1,0,0,0,0,0,0,0,0,0,0,0,0,1988,677,1,4170,677,2,2007,302,2,1711,151,3,2008,330,1,636,330,6,2007,81,2,686,40,2,2007,370,1,3133,370,3,1985,742,5,2867,148,3,2008,360,1,-786,360,4,3,Forest
5255292.48788693,2116512.87747277,2013,142,1,234,142,2,2007,127,14,381,9,3,0,0,0,0,0,0,1985,1031,1,4058,1031,3,1996,204,1,1578,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1066,1,2754,1066,4,0,0,0,0,0,0,4,Forest
5349282.48788693,2192052.87747277,0,0,0,0,0,0,1985,65,5,393,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,194,36,1394,5,1,1985,74,36,552,2,1,1985,138,1,733,138,4,1990,601,7,2312,85,2,0,0,0,0,0,0,1985,89,36,-635,2,0,5,Forest
5342952.48788693,2190672.87747277,0,0,0,0,0,0,0,0,0,0,0,0,2010,304,1,516,304,3,2011,529,1,3680,529,2,2009,505,4,2151,126,2,2006,491,4,1005,122,2,2000,164,13,561,12,2,2009,392,2,3578,196,1,2010,598,2,2211,299,2,2010,765,3,-1244,255,3,6,Forest
5350872.48788693,2204592.87747277,2015,64,6,285,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,130,1,-884,130,1,7,Forest
5281062.48788693,2140362.87747277,2018,118,3,348,39,2,0,0,0,0,0,0,0,0,0,0,0,0,2008,467,1,4051,467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest
5246172.48788693,2120922.87747277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1631,1,4259,1631,4,1996,251,2,1408,125,1,1985,84,36,641,2,1,0,0,0,0,0,0,1985,394,36,2896,10,1,1985,1237,1,2890,1237,4,1996,188,2,-640,94,3,9,Forest
5366322.48788693,2095932.87747277,0,0,0,0,0,0,1985,104,1,1075,104,1,0,0,0,0,0,0,2009,172,3,2552,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest
