x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5772204.44827717,2819346.88220557,1996,263,1,1510,263,1,2005,65,3,598,21,0,0,0,0,0,0,0,1985,164,12,-590,13,0,1,Forest,2387,3019,-674,2242,2690,-656
5780724.44827717,2801676.88220557,1985,761,34,1833,22,2,2015,1257,4,944,314,4,2015,632,4,468,158,5,1985,1046,34,-1132,30,2,2,Forest,1556,2764,-871,1347,2991,-1653
5803404.44827717,2827596.88220557,1985,10,22,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Forest,2154,2894,-610,2059,2428,-540
5606154.44827717,2894526.88220557,1985,231,9,2200,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest,1672,3549,-1388,1679,2745,-1315
5714784.44827717,2861256.88220557,0,0,0,0,0,0,2014,93,1,603,93,2,1996,46,23,703,2,1,1985,88,34,-703,2,1,5,Forest,2498,3369,-737,2057,2624,-778
5626314.44827717,2912556.88220557,1985,178,34,2187,5,0,0,0,0,0,0,0,1992,259,4,428,64,2,1992,650,2,-1147,325,2,6,Forest,1443,3240,-1662,1454,3079,-1504
5704014.44827717,2866176.88220557,1985,38,34,1513,1,0,0,0,0,0,0,0,2009,41,10,728,4,1,1985,105,34,-617,3,1,7,Forest,2483,3137,-646,2441,2771,-697
5663454.44827717,2863896.88220557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest,2271,3312,-803,2926,3170,-517
5726214.44827717,2794746.88220557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Forest,1601,3302,-1256,2203,2667,-752
5770524.44827717,2808996.88220557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Forest,1978,3585,-1409,2449,2962,-710
5672754.44827717,2870796.88220557,0,0,0,0,0,0,1985,457,2,1450,228,3,0,0,0,0,0,0,0,0,0,0,0,0,11,Forest,1392,3512,-1716,2321,2959,-849
5732214.44827717,2813376.88220557,1999,210,3,1573,70,2,1993,43,26,607,1,0,0,0,0,0,0,0,2000,256,1,-681,256,4,12,Forest,2441,3348,-648,2317,2739,-751
5719614.44827717,2866536.88220557,1985,425,6,1386,70,6,1985,107,1,545,107,2,2007,76,1,742,76,3,0,0,0,0,0,0,13,Forest,2552,3132,-570,2409,2734,-642
5712534.44827717,2917716.88220557,1985,152,34,1471,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,81,34,-701,2,0,14,Forest,1973,3354,-582,2310,2743,-728
5761404.44827717,2795196.88220557,0,0,0,0,0,0,0,0,0,0,0,0,2007,270,1,651,270,4,2007,609,1,-821,609,3,15,Forest,1751,3114,-1372,2193,2717,-748
5815494.44827717,2805426.88220557,1988,256,1,1537,256,3,2002,193,1,552,193,2,2007,137,1,721,137,1,2007,291,1,-684,291,1,16,Forest,2907,3465,-611,2552,2898,-630
5652954.44827717,2900586.88220557,0,0,0,0,0,0,0,0,0,0,0,0,2011,104,2,703,52,2,0,0,0,0,0,0,17,Forest,2372,3422,-790,2325,2871,-716
5711184.44827717,2756616.88220557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,2142,3219,-955,2627,2945,-636
