x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5093396.63554602,2150991.22166272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest,2527,3192,-780,2525,2938,-678
5069696.63554602,2276271.22166272,2016,686,1,1727,686,5,2016,673,1,777,673,6,2016,220,1,567,220,4,2016,765,1,-898,765,6,2,Forest,1915,3389,-1421,1897,3354,-1418
5090786.63554602,2235951.22166272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Forest,3083,3916,-1062,3215,3607,-809
5035976.63554602,2191011.22166272,1985,361,34,952,10,5,1985,184,34,472,5,2,1996,57,1,619,57,1,1985,284,34,-386,8,4,4,Forest,1359,2277,-522,1292,2526,-763
5095736.63554602,2153121.22166272,0,0,0,0,0,0,0,0,0,0,0,0,2016,57,3,696,19,2,0,0,0,0,0,0,5,Forest,2318,3307,-1049,2317,3018,-876
5101766.63554602,2282031.22166272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest,2623,4043,-1488,2657,3230,-895
5049206.63554602,2198901.22166272,1985,701,34,1462,20,4,1985,563,34,652,16,2,2007,567,1,635,567,13,2007,980,2,-924,490,7,7,Forest,2317,3049,-857,1996,3038,-1139
5066006.63554602,2299521.22166272,1989,553,1,1150,553,4,0,0,0,0,0,0,0,0,0,0,0,0,1989,265,1,-508,265,3,8,Forest,2498,3115,-606,2312,2696,-631
5060846.63554602,2192541.22166272,1985,250,34,1556,7,2,2010,472,1,755,472,5,2010,309,1,571,309,7,2010,565,1,-900,565,5,9,Forest,2052,2804,-873,2014,2712,-906
5079626.63554602,2223261.22166272,1985,328,34,1275,9,3,1985,146,34,526,4,2,1985,31,34,687,0,0,2012,217,7,-690,31,2,10,Forest,2439,2786,-597,2104,2640,-806
5086376.63554602,2236071.22166272,1995,203,1,1748,203,1,0,0,0,0,0,0,1985,88,1,718,88,4,1985,159,4,-797,39,2,11,Forest,2806,3235,-788,2356,2819,-742
5120576.63554602,2233071.22166272,1985,295,34,1731,8,4,2004,80,2,687,40,1,2017,57,2,729,28,2,1985,92,34,-779,2,1,12,Forest,2914,3428,-809,3245,3684,-881
5095856.63554602,2249451.22166272,1989,1023,1,1001,1023,7,1989,389,1,412,389,6,0,0,0,0,0,0,1985,87,4,-610,21,0,13,Forest,2225,2700,-564,1794,2085,-508
5046746.63554602,2182881.22166272,2007,499,1,1744,499,5,2007,312,1,826,312,4,0,0,0,0,0,0,2007,437,1,-957,437,4,14,Forest,1864,3091,-1089,2197,2944,-963
5093756.63554602,2155731.22166272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Forest,1701,3817,-1802,1974,3089,-1172
5053016.63554602,2269581.22166272,2010,1133,9,431,125,2,2012,937,7,-137,133,5,2012,159,1,817,159,2,1993,580,26,13,22,1,16,Forest,1343,2037,-222,1979,2481,-794
5128196.63554602,2235441.22166272,1987,433,1,1260,433,4,1987,152,1,538,152,3,1985,35,2,691,17,1,1993,252,10,-618,25,4,17,Forest,2022,2570,-504,1906,2455,-728
5104616.63554602,2237181.22166272,0,0,0,0,0,0,2012,104,7,754,14,1,2006,7,13,660,0,0,0,0,0,0,0,0,18,Forest,2748,3528,-1023,2578,3178,-938
5084096.63554602,2301351.22166272,1992,344,5,2246,68,3,1998,226,1,1234,226,2,0,0,0,0,0,0,1993,115,6,-1660,19,1,19,Forest,1557,3832,-1921,1609,2033,-384
5114456.63554602,2231361.22166272,1990,284,2,1322,142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,Forest,2344,3107,-871,1854,2286,-670
5081516.63554602,2139621.22166272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,45,28,-528,1,0,21,Forest,1871,2547,-564,1929,2293,-488
5144456.63554602,2217441.22166272,1985,198,4,1850,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Forest,1813,2961,-1127,2077,2642,-503
5068106.63554602,2221611.22166272,0,0,0,0,0,0,0,0,0,0,0,0,2012,74,2,690,37,3,0,0,0,0,0,0,23,Forest,2694,3721,-1256,2638,3220,-966
