x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
4026600.18671741,3244409.38387536,1985,385,5,313,77,5,1985,357,5,445,71,5,1985,266,5,331,53,4,1995,800,7,3565,114,3,0,0,0,0,0,0,1989,353,1,475,353,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest
4114590.18671741,3325859.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,481,36,3839,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Forest
4038540.18671741,3090359.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1089,8,4178,136,3,1994,14,27,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,963,12,2591,80,3,1995,228,4,-353,57,2,3,Forest
4091610.18671741,3234779.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,393,25,3093,15,1,1994,216,27,1293,8,1,2009,402,12,432,33,2,2015,154,6,702,25,3,1994,107,27,2682,3,0,0,0,0,0,0,0,2009,504,12,-419,42,3,4,Forest
4035210.18671741,3247769.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1205,1,4023,1205,3,2005,137,16,1425,8,0,2005,133,1,550,133,1,2005,77,1,656,77,2,0,0,0,0,0,0,1985,559,36,2163,15,2,2005,212,1,-687,212,2,5,Forest
4062270.18671741,3267389.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,851,36,3465,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,499,9,2114,55,2,2018,252,3,-517,84,1,6,Forest
4056330.18671741,3270389.38387536,0,0,0,0,0,0,0,0,0,0,0,0,1987,555,1,527,555,1,1985,1699,36,3556,47,4,0,0,0,0,0,0,1987,771,1,726,771,1,1987,277,1,680,277,2,0,0,0,0,0,0,1994,1741,1,2250,1741,7,0,0,0,0,0,0,7,Forest
3980640.18671741,3163859.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,187,16,2207,11,0,2017,1610,1,1026,1610,9,1985,587,36,238,16,1,1985,221,36,728,6,1,2017,1650,1,1978,1650,7,0,0,0,0,0,0,2017,1767,1,-427,1767,12,8,Forest
4074840.18671741,3318359.38387536,0,0,0,0,0,0,1996,503,1,318,503,5,1989,68,32,295,2,0,1985,1174,28,2665,41,6,2013,692,1,802,692,4,2013,483,1,372,483,4,1985,269,36,798,7,2,2013,1598,8,1478,199,5,1985,482,31,1414,15,1,2013,617,1,-402,617,4,9,Forest
4091940.18671741,3315089.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,158,3,1279,52,1,2018,108,3,445,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,120,1,-466,120,1,10,Forest
4117320.18671741,3346049.38387536,0,0,0,0,0,0,0,0,0,0,0,0,2008,88,13,432,6,0,1985,873,36,3932,24,1,1992,526,1,1687,526,3,2017,468,4,612,117,3,1988,141,1,694,141,3,1992,1767,1,3259,1767,4,1985,500,36,2379,13,1,2014,509,7,-526,72,3,11,Forest
4061400.18671741,3217649.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,607,1,3923,607,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,461,1,2624,461,3,1985,92,36,-451,2,1,12,Forest
4075200.18671741,3255149.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,97,29,827,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Forest
4003320.18671741,3225449.38387536,1985,185,5,309,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1993,581,11,3123,52,2,2017,174,4,1168,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,308,1,-459,308,3,14,Forest
4083690.18671741,3272129.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,427,1,2398,427,3,2005,438,2,1013,219,5,0,0,0,0,0,0,0,0,0,0,0,0,1994,353,27,2161,13,1,0,0,0,0,0,0,2005,380,2,-388,190,5,15,Forest
4117350.18671741,3251399.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1771,36,4145,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1028,36,2329,28,1,0,0,0,0,0,0,16,Forest
4039020.18671741,3278129.38387536,0,0,0,0,0,0,2018,363,3,345,121,2,0,0,0,0,0,0,0,0,0,0,0,0,2018,971,3,1203,323,4,1985,162,36,458,4,0,1985,47,36,755,1,0,2013,998,8,2688,124,4,0,0,0,0,0,0,2018,758,3,-402,252,3,17,Forest
4061430.18671741,3323459.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1856,1,3042,1856,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1104,1,1909,1104,4,0,0,0,0,0,0,18,Forest
4068840.18671741,3316559.38387536,0,0,0,0,0,0,1996,194,25,434,7,2,1987,339,1,409,339,4,0,0,0,0,0,0,2004,653,17,1499,38,2,2005,461,16,672,28,2,2003,79,18,547,4,0,2005,1080,16,2376,67,3,0,0,0,0,0,0,2018,696,3,-1029,232,2,19,Forest
3997830.18671741,3222419.38387536,1991,382,30,109,12,1,1989,218,32,347,6,1,0,0,0,0,0,0,1985,1601,14,4270,114,3,2011,1171,3,1133,390,9,2011,663,3,405,221,8,2002,82,1,807,82,1,2000,827,21,2673,39,2,2002,724,1,2545,724,2,2012,1005,2,-359,502,8,20,Forest
4043310.18671741,3245669.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,302,19,2950,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1994,16,27,672,0,0,0,0,0,0,0,0,1985,231,6,1683,38,1,1990,77,31,-531,2,0,21,Forest
4077480.18671741,3231989.38387536,1986,338,1,403,338,3,1985,212,4,611,53,2,0,0,0,0,0,0,1993,1099,1,3203,1099,3,2006,430,2,608,215,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,360,1,1546,360,1,1995,279,26,-84,10,2,22,Forest
4083660.18671741,3317279.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,850,5,3438,170,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,352,2,1685,176,1,0,0,0,0,0,0,23,Forest
4074540.18671741,3233249.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,189,27,2944,7,0,1994,209,27,1313,7,1,2017,322,1,612,322,2,0,0,0,0,0,0,1994,118,27,2719,4,0,1985,9,27,1723,0,0,2005,202,2,-533,101,1,24,Forest
4078620.18671741,3271019.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,244,36,1150,6,2,1994,237,1,434,237,3,1993,200,4,698,50,6,1988,1002,1,2157,1002,5,2017,200,4,2012,50,1,1993,370,2,-271,185,4,25,Forest
3945600.18671741,3221549.38387536,0,0,0,0,0,0,2003,3,3,439,1,0,0,0,0,0,0,0,1985,1306,17,4293,76,3,1985,480,2,2840,240,1,0,0,0,0,0,0,0,0,0,0,0,0,2009,595,1,2298,595,3,2002,868,1,2108,868,4,0,0,0,0,0,0,26,Forest
4022460.18671741,3100139.38387536,1991,507,1,262,507,5,1991,442,1,430,442,4,1991,411,1,309,411,5,1985,199,20,3370,9,0,2008,351,1,1321,351,2,2012,68,9,553,7,1,0,0,0,0,0,0,2013,674,8,2674,84,2,1989,634,3,2494,211,2,0,0,0,0,0,0,27,Forest
4052190.18671741,3155789.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,479,1,1045,479,5,2007,330,1,425,330,5,2007,109,1,720,109,3,1985,440,36,2102,12,1,0,0,0,0,0,0,2007,406,1,-413,406,5,28,Forest
4009110.18671741,3147209.38387536,2013,408,1,223,408,3,2013,420,1,345,420,3,2013,659,1,256,659,6,0,0,0,0,0,0,2013,1261,1,787,1261,11,2013,781,1,420,781,11,2013,313,1,705,313,7,2013,1560,1,1891,1560,11,0,0,0,0,0,0,2013,885,1,-345,885,9,29,Forest
3990900.18671741,3170849.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1108,36,4529,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,699,4,2582,174,1,0,0,0,0,0,0,30,Forest
4002900.18671741,3227129.38387536,0,0,0,0,0,0,0,0,0,0,0,0,2015,167,6,587,27,1,0,0,0,0,0,0,1989,73,32,1795,2,0,1989,327,1,1077,327,3,0,0,0,0,0,0,0,0,0,0,0,0,2016,305,5,1441,61,1,1989,17,32,-1140,0,0,31,Forest
4034220.18671741,3218039.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,723,36,2724,20,4,2017,266,4,798,66,2,2017,136,4,320,34,1,2006,120,15,777,8,3,0,0,0,0,0,0,1985,290,36,1613,8,3,1998,278,23,-161,12,3,32,Forest
4044420.18671741,3249809.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,393,10,3472,39,1,1994,189,1,1255,189,1,0,0,0,0,0,0,1985,22,36,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,Forest
4062570.18671741,3218579.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,118,4,1533,29,1,2009,56,2,599,28,0,1985,23,17,736,1,0,0,0,0,0,0,0,1985,34,16,2416,2,0,1989,103,1,-464,103,1,34,Forest
4048740.18671741,3344339.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,333,1,2979,333,0,0,0,0,0,0,0,1985,125,16,535,7,1,1985,89,16,720,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,159,16,-545,9,1,35,Forest
3986790.18671741,3307919.38387536,2014,3597,4,841,899,13,2014,3515,4,1065,878,14,2014,3467,4,1045,866,13,0,0,0,0,0,0,2014,2876,4,1732,719,6,2014,2642,4,1053,660,6,1985,261,33,653,7,2,2014,7529,4,3529,1882,14,1985,1063,33,2241,32,1,2014,1628,4,-338,407,4,36,Forest
4073310.18671741,3248129.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,829,36,4133,23,1,2018,1186,3,1724,395,3,2020,817,1,977,817,2,1985,69,36,635,1,0,2011,339,10,3304,33,1,1995,1079,26,2823,41,2,1985,189,36,-900,5,0,37,Forest
4110030.18671741,3309569.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,175,8,1232,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,946,4,2253,236,3,0,0,0,0,0,0,2019,253,2,-472,126,1,38,Forest
4047840.18671741,3223409.38387536,0,0,0,0,0,0,0,0,0,0,0,0,2017,246,4,322,61,2,1995,402,26,2729,15,1,2017,489,4,1362,122,2,2017,508,4,584,127,3,2016,216,5,602,43,2,0,0,0,0,0,0,0,0,0,0,0,0,2016,476,5,-708,95,2,39,Forest
4012920.18671741,3149489.38387536,0,0,0,0,0,0,1989,801,1,520,801,5,2017,529,4,307,132,3,1985,193,17,2891,11,0,2017,434,4,1362,108,3,2019,569,2,637,284,5,2019,298,2,654,149,6,0,0,0,0,0,0,2018,750,3,1904,250,3,2018,255,3,-673,85,2,40,Forest
4038420.18671741,3303029.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,116,9,2388,12,0,1997,704,1,751,704,4,1997,702,1,316,702,4,1985,88,36,609,2,0,0,0,0,0,0,0,2004,762,1,1690,762,2,1997,329,1,-103,329,1,41,Forest
3986280.18671741,3228449.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,592,1,2490,592,4,1987,1354,1,1473,1354,9,1985,954,3,1212,318,4,1987,224,1,220,224,5,0,0,0,0,0,0,0,0,0,0,0,0,1987,1363,1,-892,1363,8,42,Forest
4062180.18671741,3247529.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,367,36,2609,10,1,0,0,0,0,0,0,2014,219,7,889,31,1,2003,228,1,331,228,4,0,0,0,0,0,0,2003,351,1,1127,351,2,2013,783,8,-427,97,3,43,Forest
4101420.18671741,3318929.38387536,1996,327,1,228,327,3,0,0,0,0,0,0,0,0,0,0,0,0,1993,317,1,2750,317,1,1994,313,27,877,11,3,1994,162,27,321,6,2,2006,16,15,724,1,0,0,0,0,0,0,0,1985,429,8,1859,53,1,2006,168,15,-329,11,2,44,Forest
4001190.18671741,3162629.38387536,1985,286,8,352,35,2,1985,211,14,662,15,1,1985,700,8,362,87,3,1985,438,23,3468,19,0,1991,1478,1,2028,1478,4,1991,1408,1,881,1408,3,1985,177,7,595,25,1,0,0,0,0,0,0,1991,1008,2,2075,504,2,1991,1951,1,-745,1951,4,45,Forest
4109100.18671741,3310559.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1157,1,4246,1157,1,0,0,0,0,0,0,1991,1503,1,738,1503,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,Forest
4019610.18671741,3155189.38387536,2017,276,1,322,276,3,2017,340,4,432,85,3,2017,288,1,427,288,3,1991,275,3,2412,91,1,2017,738,1,1308,738,4,2017,690,1,697,690,5,2016,370,5,511,74,6,2017,842,1,2277,842,3,2016,332,5,1188,66,4,2017,760,1,-717,760,5,47,Forest
3977010.18671741,3233459.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1068,12,4390,89,4,1990,279,31,1661,9,2,1985,198,36,716,5,1,1985,119,36,686,3,2,2008,419,1,3075,419,1,1985,467,13,2592,35,1,1985,454,36,-595,12,3,48,Forest
4036590.18671741,3282599.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,527,1,2593,527,2,1985,321,36,917,8,1,1985,149,27,350,5,2,2006,108,1,699,108,3,1985,367,36,2225,10,0,0,0,0,0,0,0,1985,217,36,-260,6,1,49,Forest
4080930.18671741,3367559.38387536,0,0,0,0,0,0,1989,23,32,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,16,32,1103,0,0,2005,133,1,437,133,1,2005,72,1,660,72,1,1989,51,32,2269,1,0,1995,462,1,1763,462,2,2005,259,1,-389,259,3,50,Forest
3915000.18671741,3211109.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,518,36,4185,14,1,2003,151,18,1320,8,0,1985,474,1,1217,474,5,1987,168,1,571,168,6,0,0,0,0,0,0,1985,469,2,2507,234,2,1985,672,1,-1144,672,6,51,Forest
4083120.18671741,3272339.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,680,1,2686,680,3,2005,419,4,740,104,3,1985,115,36,295,3,1,1985,72,36,777,2,1,0,0,0,0,0,0,1985,116,27,1448,4,0,1985,364,36,-69,10,3,52,Forest
4089600.18671741,3288269.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,687,1,3830,687,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Forest
3944940.18671741,3214499.38387536,0,0,0,0,0,0,2006,172,15,440,11,1,2008,315,1,351,315,3,1985,1036,1,3623,1036,7,1994,48,27,1101,1,0,2001,219,20,512,10,2,1985,176,1,630,176,4,0,0,0,0,0,0,1985,816,1,1989,816,5,1994,231,1,-385,231,3,54,Forest
4097400.18671741,3337619.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,1015,2,3477,507,3,2013,468,8,1294,58,2,2013,313,8,497,39,2,2009,51,12,695,4,1,2017,778,4,2651,194,1,2001,619,3,2247,206,2,2004,149,17,-626,8,1,55,Forest
4091250.18671741,3334799.38387536,0,0,0,0,0,0,1996,250,1,479,250,4,0,0,0,0,0,0,1990,920,1,3314,920,3,1990,12,31,1619,0,0,2006,225,15,624,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,259,15,-589,17,1,56,Forest
3976380.18671741,3307199.38387536,1985,464,5,347,92,3,0,0,0,0,0,0,0,0,0,0,0,0,2020,758,1,1868,758,2,0,0,0,0,0,0,0,0,0,0,0,0,2020,192,1,598,192,3,0,0,0,0,0,0,1985,387,36,1241,10,1,1985,110,24,-396,4,0,57,Forest
4002600.18671741,3209009.38387536,0,0,0,0,0,0,2014,548,1,323,548,3,2014,445,1,211,445,2,1992,1327,2,3561,663,3,2014,1823,1,858,1823,8,2014,1291,1,293,1291,6,2014,397,1,784,397,5,1991,629,30,2552,20,0,1985,587,10,2227,58,1,2014,1583,1,-186,1583,8,58,Forest
4020390.18671741,3239219.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,734,36,2812,20,3,2009,295,12,1365,24,2,2012,452,9,732,50,3,2014,202,1,499,202,4,0,0,0,0,0,0,1985,326,36,1387,9,1,2009,376,12,-704,31,2,59,Forest
4077870.18671741,3242399.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,927,36,3528,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,288,36,1989,8,1,0,0,0,0,0,0,60,Forest
4040850.18671741,3222839.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,563,18,3298,31,2,2016,506,5,1792,101,2,0,0,0,0,0,0,2016,199,1,527,199,2,2014,405,7,2989,57,1,1991,529,1,1953,529,2,2016,576,1,-1058,576,3,61,Forest
3990000.18671741,3172829.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,111,36,1066,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,127,36,-392,3,1,62,Forest
4058400.18671741,3310349.38387536,0,0,0,0,0,0,0,0,0,0,0,0,1996,291,1,424,291,2,1985,876,36,3756,24,1,1996,1409,1,1399,1409,4,1985,442,3,637,147,1,1996,381,1,657,381,3,0,0,0,0,0,0,1985,798,3,2866,266,2,1996,868,1,-343,868,2,63,Forest
3993300.18671741,3224129.38387536,0,0,0,0,0,0,1991,761,2,594,380,6,1991,754,2,363,377,7,1985,320,36,3777,8,0,1997,632,1,1329,632,3,1997,550,1,557,550,6,1985,121,36,690,3,2,1985,552,8,3226,69,1,0,0,0,0,0,0,1995,749,3,-236,249,8,64,Forest
4022670.18671741,3249359.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1523,1,3298,1523,5,0,0,0,0,0,0,1996,35,25,456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,413,8,2068,51,1,1985,64,36,-458,1,0,65,Forest
3998400.18671741,3169889.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,233,26,3039,8,0,0,0,0,0,0,0,1991,336,1,526,336,6,0,0,0,0,0,0,1985,152,14,2564,10,0,1994,0,27,1907,0,0,1991,199,1,-506,199,2,66,Forest
4118490.18671741,3344279.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,324,29,3207,11,0,1985,154,8,1557,19,1,0,0,0,0,0,0,2013,108,1,629,108,3,0,0,0,0,0,0,0,0,0,0,0,0,1985,157,36,-754,4,1,67,Forest
4040970.18671741,3173999.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1254,2,-815,627,3,68,Forest
4040160.18671741,3198479.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,789,1,3179,789,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,112,36,-371,3,1,69,Forest
4111320.18671741,3321839.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1785,36,4280,49,3,1985,386,7,1774,55,2,1985,43,12,824,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,753,36,2553,20,1,1995,521,1,-575,521,4,70,Forest
4046340.18671741,3125729.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,183,1,2199,183,1,1991,206,30,764,6,1,2016,140,5,362,28,2,2009,77,12,728,6,1,0,0,0,0,0,0,1985,362,8,1402,45,4,2010,254,11,-214,23,3,71,Forest
4050330.18671741,3223109.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,668,1,3010,668,2,1993,2,28,1346,0,0,0,0,0,0,0,0,1985,9,28,671,0,0,1993,160,28,2544,5,0,2018,270,3,2404,90,1,0,0,0,0,0,0,72,Forest
4011150.18671741,3141419.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,365,1,-678,365,3,73,Forest
4043460.18671741,3338819.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,352,1,751,352,2,1989,76,32,378,2,0,1985,98,36,664,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,297,36,-82,8,1,74,Forest
4078590.18671741,3253589.38387536,2015,168,6,291,28,1,2017,270,4,400,67,2,2017,391,4,337,97,3,1991,983,1,3263,983,3,2017,1009,4,1450,252,4,2017,758,4,610,189,3,2017,307,4,584,76,2,1991,215,30,2554,7,0,1991,815,1,1979,815,3,2017,964,4,-777,241,3,75,Forest
4094400.18671741,3335429.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,1157,3,4421,385,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,493,36,2667,13,0,0,0,0,0,0,0,76,Forest
4042980.18671741,3216419.38387536,0,0,0,0,0,0,1990,405,1,591,405,4,1990,415,1,506,415,4,0,0,0,0,0,0,1990,434,1,1605,434,6,1990,360,1,879,360,4,0,0,0,0,0,0,1990,864,1,2977,864,3,0,0,0,0,0,0,1985,168,6,-742,28,2,77,Forest
4093770.18671741,3316559.38387536,0,0,0,0,0,0,0,0,0,0,0,0,2016,385,1,275,385,4,1985,590,9,2972,65,2,2016,1301,1,1088,1301,16,2016,883,1,493,883,12,2016,393,1,667,393,8,2009,959,12,2119,79,3,1985,190,36,1600,5,0,2016,1398,1,-339,1398,11,78,Forest
4087410.18671741,3279179.38387536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,155,36,1336,4,2,1985,64,36,495,1,1,1985,69,1,759,69,2,1989,618,1,2574,618,3,0,0,0,0,0,0,1985,136,36,-480,3,1,79,Forest
