x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4394229.40655172,4152372.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,235,1,584,235,3,0,0,0,0,0,0,242,Forest,2071,3478,-1031,2071,3478,-1031
4144569.40655172,3912582.44389519,2000,361,1,1529,361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,Forest,1835,2706,-667,1835,2706,-667
4653489.40655172,5124372.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,Forest,2209,2934,-679,2209,2934,-679
4319169.40655172,4041312.44389519,2010,279,9,1069,31,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,431,1,-454,431,4,342,Forest,1734,3221,-1286,1734,3221,-1286
4370409.40655172,4171752.44389519,1995,148,24,1013,6,0,1999,22,20,429,1,0,0,0,0,0,0,0,1996,115,3,-298,38,1,358,Forest,2324,3193,-949,2324,3193,-949
4908879.40655172,5256372.44389519,2018,508,1,1124,508,5,2018,665,1,630,665,6,2018,366,1,571,366,6,2018,546,1,-517,546,4,437,Forest,968,2663,-738,968,2663,-738
4214529.40655172,3914922.44389519,1995,491,1,738,491,2,1995,236,1,358,236,1,1995,269,1,544,269,3,1995,518,1,-286,518,3,547,Forest,2120,2989,-729,2120,2989,-729
4287009.40655172,3967062.44389519,1985,98,34,1745,2,0,2002,186,11,713,16,2,0,0,0,0,0,0,0,0,0,0,0,0,608,Forest,1236,1799,-356,1236,1799,-356
4453479.40655172,4603932.44389519,1985,729,1,478,729,6,0,0,0,0,0,0,0,0,0,0,0,0,1985,430,1,-155,430,3,692,Forest,2134,3169,-1037,2134,3169,-1037
4149189.40655172,3920772.44389519,2001,280,1,1450,280,1,2001,302,1,519,302,2,2001,186,1,690,186,2,1992,1058,2,248,529,4,732,Forest,1560,2373,-548,1560,2373,-548
4491309.40655172,4642062.44389519,2001,1136,1,1297,1136,2,2001,878,1,545,878,1,2001,235,1,638,235,3,2002,559,1,-442,559,3,734,Forest,1119,1712,-419,1119,1712,-419
4904979.40655172,5267352.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,77,23,567,3,0,0,0,0,0,0,0,3,Forest,1403,2639,-757,1403,2639,-757
4341129.40655172,4212942.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,104,17,564,6,1,0,0,0,0,0,0,6,Forest,2454,3252,-566,2454,3252,-566
4834809.40655172,5170212.44389519,0,0,0,0,0,0,2001,214,1,656,214,1,2001,117,1,625,117,1,2001,267,1,-763,267,1,12,Forest,1656,2895,-973,1656,2895,-973
4435719.40655172,4154712.44389519,0,0,0,0,0,0,0,0,0,0,0,0,2004,316,1,647,316,5,0,0,0,0,0,0,14,Forest,1884,2631,-518,1884,2631,-518
4443789.40655172,4258662.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,514,1,-662,514,3,26,Forest,1934,2724,-559,1934,2724,-559
4230309.40655172,3952452.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Forest,2588,3555,-1000,2588,3555,-1000
4427499.40655172,4605312.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,Forest,1853,2732,-539,1853,2732,-539
4355949.40655172,4185042.44389519,1996,174,7,1073,24,1,1997,118,4,437,29,1,1996,23,23,678,1,0,1996,435,5,-297,87,4,44,Forest,1586,2886,-992,1586,2886,-992
4473609.40655172,4726302.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,196,2,-185,98,2,46,Forest,1994,2984,-742,1994,2984,-742
4355049.40655172,4115412.44389519,0,0,0,0,0,0,1991,303,1,454,303,3,0,0,0,0,0,0,0,0,0,0,0,0,49,Forest,2274,3134,-778,2274,3134,-778
4311669.40655172,3994182.44389519,1993,894,1,1124,894,2,1993,470,1,600,470,1,1993,119,1,489,119,1,1985,460,34,-967,13,1,62,Forest,2395,3641,-980,2395,3641,-980
4256709.40655172,4003332.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,Forest,1871,2965,-757,1871,2965,-757
4141419.40655172,4063482.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1987,429,4,541,107,5,0,0,0,0,0,0,87,Forest,1787,2905,-991,1787,2905,-991
4436319.40655172,4279362.44389519,0,0,0,0,0,0,2005,278,1,389,278,3,2005,121,1,742,121,1,2005,265,1,-289,265,1,92,Forest,1789,2726,-786,1789,2726,-786
4623249.40655172,5043702.44389519,2001,1076,2,1906,538,4,2011,206,2,1021,103,1,2011,157,2,389,78,1,2001,983,2,-1185,491,3,97,Forest,1773,3034,-984,1773,3034,-984
4228449.40655172,4051212.44389519,1985,258,34,1550,7,1,1985,213,34,628,6,2,2000,201,4,653,50,2,1985,251,34,-723,7,1,99,Forest,2381,3419,-809,2381,3419,-809
4416279.40655172,4230132.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,222,6,477,37,3,1985,345,6,-980,57,2,108,Forest,2654,3269,-574,2654,3269,-574
4415769.40655172,4172052.44389519,1993,371,6,1679,61,2,1985,225,34,777,6,1,1985,134,21,641,6,1,1993,853,8,-589,106,5,112,Forest,2201,3362,-801,2201,3362,-801
4340559.40655172,4540962.44389519,1985,482,11,1655,43,2,1985,402,11,727,36,2,1985,240,11,551,21,1,1985,640,6,-812,106,2,122,Forest,2750,3966,-1192,2750,3966,-1192
4291209.40655172,4026912.44389519,1993,107,26,1217,4,1,1994,120,8,666,15,1,0,0,0,0,0,0,1994,154,6,-549,25,1,124,Forest,1414,2535,-643,1414,2535,-643
4292829.40655172,4008672.44389519,1985,190,6,1758,31,1,1985,271,6,706,45,2,1985,341,4,702,85,2,1985,263,6,-912,43,1,132,Forest,2281,3264,-1112,2281,3264,-1112
4431639.40655172,4609752.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,Forest,2602,3194,-760,2602,3194,-760
4929849.40655172,5215392.44389519,2000,612,8,1240,76,2,2003,375,5,567,75,2,0,0,0,0,0,0,1985,517,23,-447,22,2,139,Forest,1794,2827,-890,1794,2827,-890
4322619.40655172,4009902.44389519,1996,173,11,942,15,1,0,0,0,0,0,0,1985,32,34,697,0,0,1996,164,11,-357,14,2,145,Forest,1307,2526,-905,1307,2526,-905
4493439.40655172,4764162.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,173,7,571,24,1,0,0,0,0,0,0,146,Forest,1367,2730,-1244,1367,2730,-1244
4339209.40655172,4470372.44389519,2013,250,6,1532,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,Forest,1596,3581,-1100,1596,3581,-1100
4228479.40655172,4060542.44389519,0,0,0,0,0,0,1985,99,34,721,2,0,1985,126,20,669,6,1,1985,132,34,-821,3,0,168,Forest,1769,3047,-1193,1769,3047,-1193
4382469.40655172,4591332.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,Forest,1815,2569,-587,1815,2569,-587
4387809.40655172,4564392.44389519,2013,274,6,1733,45,1,2013,210,1,792,210,1,2002,192,1,566,192,2,1985,258,34,-909,7,1,184,Forest,1774,3032,-1176,1774,3032,-1176
4271679.40655172,4179852.44389519,1996,199,23,1691,8,0,2013,303,2,861,151,2,1993,139,8,597,17,1,1985,203,34,-970,5,0,187,Forest,2098,2867,-688,2098,2867,-688
4332159.40655172,4212042.44389519,1995,499,1,1557,499,1,0,0,0,0,0,0,1985,152,6,565,25,1,1985,220,9,-1013,24,0,199,Forest,1486,3041,-1139,1486,3041,-1139
5073849.40655172,5233212.44389519,1995,400,24,730,16,1,1996,338,23,199,14,2,0,0,0,0,0,0,1995,314,11,-196,28,2,203,Forest,1909,2978,-1024,1909,2978,-1024
4670829.40655172,5092902.44389519,1985,168,34,1779,4,1,1985,83,34,731,2,0,0,0,0,0,0,0,1985,162,34,-881,4,1,205,Forest,2440,3097,-822,2440,3097,-822
4467849.40655172,4625562.44389519,1985,166,13,1722,12,0,1985,443,6,678,73,3,0,0,0,0,0,0,1985,492,6,-808,82,2,207,Forest,1681,2825,-958,1681,2825,-958
4625889.40655172,5033892.44389519,2000,319,1,728,319,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,54,34,-332,1,0,212,Forest,1484,2366,-682,1484,2366,-682
4146969.40655172,4263072.44389519,0,0,0,0,0,0,1991,263,3,639,87,2,0,0,0,0,0,0,0,0,0,0,0,0,220,Forest,2056,2996,-1062,2056,2996,-1062
4348749.40655172,4510602.44389519,1985,172,8,1800,21,0,0,0,0,0,0,0,2000,392,1,720,392,5,0,0,0,0,0,0,229,Forest,2463,3318,-823,2463,3318,-823
4660839.40655172,5136072.44389519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,Forest,1702,2890,-920,1702,2890,-920
4227459.40655172,4153812.44389519,0,0,0,0,0,0,1985,131,11,673,11,1,1985,108,12,645,9,1,1985,204,11,-716,18,1,246,Forest,1892,2941,-1083,1892,2941,-1083
4152099.40655172,4300002.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,156,1,453,156,2,0,0,0,0,0,0,253,Forest,1884,3110,-1084,1884,3110,-1084
4388019.40655172,4493862.44389519,0,0,0,0,0,0,0,0,0,0,0,0,1985,84,17,511,4,0,0,0,0,0,0,0,262,Forest,1486,2665,-927,1486,2665,-927
