x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
5036477.295865477,2996862.0491571994,2001,328,1,456,328,3,0,0,0,0,0,0,1991,273,2,778,136,3,1985,593,5,2505,118,3,1985,305,8,1951,38,2,1988,263,1,1350,263,2,1988,191,2,241,95,3,0,0,0,0,0,0,1985,324,11,803,29,2,1985,169,15,-1459,11,1,2,Forest
4994622.1221560575,3258367.7646253495,0,0,0,0,0,0,1996,98,1,418,98,1,1996,130,1,324,130,2,0,0,0,0,0,0,1985,170,36,1309,4,1,1985,93,36,501,2,1,1985,17,36,708,0,0,1985,272,36,2636,7,1,0,0,0,0,0,0,1985,136,36,-513,3,1,3,Forest
4630713.268514784,3396788.805840098,2006,270,1,296,270,3,2006,260,1,441,260,3,2006,369,1,385,369,5,0,0,0,0,0,0,2019,945,2,1035,472,6,2006,862,1,552,862,7,2006,399,1,518,399,5,2006,822,1,1951,822,4,2006,350,1,910,350,4,2006,897,1,-577,897,5,4,Forest
4675591.763243174,3286046.2684788117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,597,1,847,597,9,2011,246,1,363,246,4,1985,72,36,744,2,2,2010,783,3,1903,261,4,0,0,0,0,0,0,2011,431,1,-284,431,6,5,Forest
5146574.462669965,3453558.870704723,0,0,0,0,0,0,1994,22,11,665,2,0,0,0,0,0,0,0,1985,1205,3,3653,401,3,0,0,0,0,0,0,0,0,0,0,0,0,1985,166,6,474,27,1,1994,62,16,3064,3,0,1985,1288,8,1876,161,3,1999,578,1,-1369,578,2,6,Forest
4669431.476490311,3205300.698347471,1985,163,9,376,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,111,8,1294,13,1,2013,99,8,493,12,1,0,0,0,0,0,0,1985,106,9,2571,11,0,1985,257,8,1662,32,1,2012,165,9,-475,18,2,8,Forest
5108384.423487259,2988451.5556238773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,42,36,-349,1,0,9,Forest
4789818.1995124305,3313313.7119082557,0,0,0,0,0,0,1988,342,1,734,342,3,0,0,0,0,0,0,1985,1552,1,3834,1552,5,1993,1096,1,1515,1096,9,1993,1066,1,863,1066,5,0,0,0,0,0,0,0,0,0,0,0,0,1985,1102,1,1939,1102,3,1993,1236,1,-830,1236,6,11,Forest
4684917.965714058,3345372.741398482,1998,409,1,490,409,5,1998,1132,2,678,566,12,1998,1420,2,665,710,6,1985,1714,36,3252,47,3,1998,428,2,1924,214,1,1998,937,2,993,468,3,1998,382,1,530,382,4,0,0,0,0,0,0,1985,1565,36,1615,43,3,1998,1579,1,-901,1579,10,12,Forest
5238871.278921946,3253302.205361595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,383,36,3123,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,401,2,2256,200,3,0,0,0,0,0,0,15,Forest
4986498.034380719,3112035.2500482565,0,0,0,0,0,0,1990,7,31,358,0,0,0,0,0,0,0,0,1985,742,1,3150,742,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,381,28,1737,13,1,0,0,0,0,0,0,16,Forest
4875381.29464267,3081406.2937208996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,62,36,841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,221,3,1429,73,4,1990,154,14,-229,11,2,17,Forest
5182656.968562494,3111762.4823838477,1985,200,12,636,16,1,1991,242,1,900,242,1,1985,747,15,735,49,3,1985,1304,9,3667,144,2,2012,1742,4,2053,435,4,1985,550,36,1667,15,0,1985,457,9,558,50,2,1991,1805,1,3174,1805,3,1985,1998,5,2549,399,4,1985,1447,20,-1165,72,2,18,Forest
5160375.170427205,3035085.436237275,1985,114,8,261,14,0,2019,462,2,361,231,3,2019,390,2,268,195,3,0,0,0,0,0,0,2019,1489,2,963,744,16,2019,789,2,439,394,14,2019,169,2,657,84,4,2020,1723,1,2553,1723,13,0,0,0,0,0,0,2019,953,2,-462,476,12,19,Forest
4781888.475592327,3431162.3893478746,0,0,0,0,0,0,1988,433,1,487,433,4,1988,398,1,285,398,4,1985,823,1,3289,823,3,0,0,0,0,0,0,2018,233,3,483,77,2,2014,108,5,732,21,2,1999,77,22,2524,3,0,2014,308,3,2061,102,1,1985,114,36,-475,3,0,20,Forest
5092995.996175823,3142418.1827589967,2010,57,11,229,5,1,2009,38,12,330,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,222,4,899,55,2,2017,150,4,332,37,3,2000,110,1,651,110,2,1985,86,36,1756,2,0,0,0,0,0,0,0,1985,249,36,-206,6,2,21,Forest
5153589.535306036,3471274.9125807052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,499,13,3775,38,1,1999,163,11,1543,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,560,1,2315,560,2,1991,140,3,-626,46,1,22,Forest
4748245.339558859,3250654.637708559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,656,22,4043,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,346,17,2596,20,1,0,0,0,0,0,0,23,Forest
5070379.625436511,3438299.210392055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,249,35,1052,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1986,518,35,2108,14,3,0,0,0,0,0,0,1986,106,35,-423,3,1,25,Forest
5079375.990834145,3465563.760340434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,778,13,4618,59,2,0,0,0,0,0,0,0,0,0,0,0,0,1998,44,1,760,44,1,0,0,0,0,0,0,1985,709,9,3241,78,2,1997,311,2,-417,155,4,26,Forest
5140661.706216461,3082148.0240836097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,326,1,3255,326,1,0,0,0,0,0,0,0,0,0,0,0,0,2001,42,3,739,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,209,1,-320,209,3,27,Forest
4953351.603256822,3406848.356611512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,450,7,2951,64,2,2001,193,20,1418,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1987,485,1,2767,485,3,0,0,0,0,0,0,0,0,0,0,0,0,28,Forest
4883518.160432007,3142603.532844884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,636,2,2971,318,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,282,1,-652,282,2,29,Forest
5222978.953918574,3403718.748360028,2003,183,3,206,61,2,2003,156,5,414,31,2,0,0,0,0,0,0,1985,340,2,3357,170,1,0,0,0,0,0,0,1991,54,30,453,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,245,2,2207,122,1,2004,79,17,-454,4,1,30,Forest
4955979.274391021,3072387.7211584942,1985,391,10,435,39,4,1988,396,5,692,79,3,1991,780,1,744,780,5,1985,1081,2,3714,540,3,1985,993,10,1715,99,2,1985,588,13,1155,45,1,1985,477,9,523,53,5,1991,1160,1,3201,1160,3,1988,984,1,1441,984,2,1985,1179,10,-817,117,2,31,Forest
5108600.150547858,3508313.0259787478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,399,1,2136,399,3,1985,251,4,737,62,3,2012,112,9,327,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,281,3,-85,93,3,32,Forest
4727518.061937703,3431727.872068736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,382,36,805,10,3,2008,275,1,488,275,4,2006,164,1,620,164,4,1985,404,36,1765,11,2,0,0,0,0,0,0,2006,232,1,-449,232,3,33,Forest
4660259.905091373,3198290.752616326,0,0,0,0,0,0,0,0,0,0,0,0,1985,101,10,297,10,1,1985,134,14,2040,9,1,2018,390,3,849,130,5,2019,115,2,477,57,2,2018,71,3,693,23,3,2018,507,3,1849,169,3,0,0,0,0,0,0,2018,289,3,-339,96,4,35,Forest
5035950.928360693,3395036.2212754395,1989,231,32,177,7,1,1989,160,32,387,5,1,2009,211,4,285,52,2,1985,1004,1,3622,1004,3,2012,970,1,1334,970,5,2012,718,1,725,718,4,2012,246,1,565,246,3,2004,1039,17,2306,61,3,0,0,0,0,0,0,2012,1072,1,-617,1072,6,37,Forest
4606963.478611786,3326331.4424538994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,179,4,1011,44,3,1985,31,36,387,0,0,0,0,0,0,0,0,2005,346,16,2050,21,3,0,0,0,0,0,0,1985,76,36,-353,2,1,38,Forest
4793301.867281793,3170621.7255159807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,161,36,757,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,137,1,791,137,1,1985,128,36,-261,3,1,40,Forest
4640437.090568676,3256451.510694969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,724,35,3167,20,2,1992,1385,1,1760,1385,6,1992,1732,1,1029,1732,12,0,0,0,0,0,0,1990,1055,4,3454,263,4,0,0,0,0,0,0,0,0,0,0,0,0,42,Forest
4749371.550911333,3322633.2355217948,2001,21,20,249,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,94,36,1094,2,0,2010,132,11,376,12,3,1999,3,22,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,101,36,-352,2,1,43,Forest
5200315.319761832,3059089.60083912,0,0,0,0,0,0,1992,358,1,423,358,4,0,0,0,0,0,0,0,0,0,0,0,0,1985,145,36,846,4,1,0,0,0,0,0,0,1985,38,5,663,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,196,36,-239,5,2,44,Forest
5108208.336482377,3494837.266477955,1986,223,1,212,223,3,0,0,0,0,0,0,1986,135,6,273,22,1,1994,349,1,2008,349,3,1996,165,25,835,6,2,1986,109,1,361,109,1,0,0,0,0,0,0,1986,212,35,1816,6,1,2005,89,1,1140,89,1,1986,59,35,-322,1,1,45,Forest
4967502.712371185,3045149.636784897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,251,12,861,20,4,1992,141,1,415,141,3,0,0,0,0,0,0,1988,470,1,2051,470,2,0,0,0,0,0,0,0,0,0,0,0,0,46,Forest
4990213.622573604,3110501.458052111,0,0,0,0,0,0,2013,122,8,315,15,2,0,0,0,0,0,0,1991,1042,30,2696,34,3,2013,641,8,545,80,5,2014,229,1,204,229,3,2012,203,9,727,22,6,2000,138,13,1782,10,0,1985,839,36,1792,23,3,2012,520,9,-124,57,7,48,Forest
4728681.144314652,3273627.989812316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,587,1,3442,587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,866,8,2103,108,3,0,0,0,0,0,0,49,Forest
5216203.032044498,3033339.149868081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,186,2,1660,93,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,1020,1,2634,1020,5,0,0,0,0,0,0,2004,267,5,-677,53,1,50,Forest
4859236.822665413,3418062.9489571434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,986,1,2347,986,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,617,1,1546,617,4,1985,71,36,-334,1,0,51,Forest
5232031.153168467,2985470.1287794597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,1032,3,3350,344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,886,3,1795,295,2,0,0,0,0,0,0,55,Forest
5002204.44445738,3445268.451021758,0,0,0,0,0,0,1998,362,2,680,181,3,0,0,0,0,0,0,1985,166,36,2638,4,0,1999,1080,2,2182,540,2,1999,1150,2,1284,575,2,1997,412,4,323,103,2,1999,1208,1,3130,1208,3,1997,894,4,1484,223,3,1999,1163,2,-1506,581,2,57,Forest
5101699.510841802,3481701.5447866074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,946,1,3872,946,3,0,0,0,0,0,0,0,0,0,0,0,0,1985,288,8,479,36,2,0,0,0,0,0,0,2014,499,7,1833,71,1,1991,821,2,-1491,410,3,58,Forest
4818000.464684296,3284761.0831223633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,255,29,694,8,4,1990,64,31,317,2,1,1997,29,24,705,1,0,1985,182,36,1710,5,1,0,0,0,0,0,0,1999,301,10,-135,30,3,60,Forest
4980254.718302735,3405048.0352695,1991,483,1,393,483,4,0,0,0,0,0,0,1991,544,1,593,544,5,0,0,0,0,0,0,1991,1040,1,1344,1040,7,1991,1158,1,873,1158,8,1991,328,1,302,328,6,1991,1497,1,2080,1497,5,1991,328,1,561,328,4,1991,1144,1,-813,1144,9,61,Forest
4949781.095947966,3432473.621121295,1985,68,36,271,1,0,1985,55,36,401,1,0,0,0,0,0,0,0,2014,491,7,2918,70,2,2001,268,20,1170,13,2,2016,286,2,485,143,4,2017,244,1,710,244,11,1985,373,36,2271,10,1,2017,722,1,1957,722,6,2017,473,1,-494,473,8,63,Forest
5127826.688786602,3011364.331790497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,143,22,828,6,2,2013,131,8,331,16,2,2014,79,7,727,11,1,1985,74,36,1900,2,0,0,0,0,0,0,0,2014,209,7,-269,29,3,64,Forest
4669952.523075945,3152943.2392472425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,552,5,3960,110,1,0,0,0,0,0,0,2018,430,1,670,430,3,0,0,0,0,0,0,1990,507,1,3469,507,2,1986,1062,4,2667,265,3,0,0,0,0,0,0,65,Forest
5051971.509542538,3494847.932289745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,951,1,3014,951,6,0,0,0,0,0,0,0,0,0,0,0,0,2004,48,17,736,2,1,1998,411,23,1891,17,1,1985,271,6,1537,45,2,2004,244,17,-235,14,2,66,Forest
4933183.236790383,3442111.7336405283,0,0,0,0,0,0,1985,73,36,623,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,381,36,1593,10,2,1985,313,36,753,8,1,1988,222,1,670,222,3,2015,519,6,3265,86,2,0,0,0,0,0,0,1985,367,36,-765,10,1,67,Forest
5066902.5889217565,3468000.636319254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,171,1,970,171,2,0,0,0,0,0,0,0,0,0,0,0,0,2006,204,15,2035,13,1,0,0,0,0,0,0,2012,113,1,-403,113,2,69,Forest
5202160.44288805,3237267.615876871,1991,67,2,280,33,1,0,0,0,0,0,0,1991,126,2,337,63,2,0,0,0,0,0,0,1998,452,1,895,452,5,1998,528,1,331,528,7,1998,243,1,614,243,4,1985,466,36,1875,12,2,0,0,0,0,0,0,1998,514,1,-386,514,5,70,Forest
