x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
2789717.5179001,2075944.19790293,2018,746,1,918,746,5,2018,802,1,353,802,6,2017,493,2,560,246,3,2017,717,2,-470,358,4,1,Forest,1309,2330,-705,558,1454,-689
2799737.5179001,2243104.19790293,1985,1229,1,509,1229,7,1985,661,1,279,661,5,1985,111,13,541,8,2,1985,1035,1,57,1035,6,2,Forest,2545,3634,-736,2464,3505,-1169
2842547.5179001,2012044.19790293,1999,829,20,2019,41,6,2005,628,2,1311,314,6,1985,63,34,203,1,1,1991,734,28,-1350,26,6,3,Forest,1146,3408,-1714,1105,3208,-1810
2748197.5179001,2104324.19790293,2003,1223,1,1528,1223,10,2002,848,2,757,424,5,1996,187,1,569,187,2,2003,1046,1,-840,1046,6,4,Forest,1364,2889,-1045,1943,2964,-929
2767757.5179001,2242144.19790293,2017,1370,2,1284,685,6,2014,950,5,449,190,5,2017,388,2,552,194,6,2017,1210,2,-724,605,6,5,Forest,1256,2140,-548,1248,3003,-1556
2753057.5179001,2136094.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest,1217,2679,-1062,1614,2317,-504
2888987.5179001,2236294.19790293,1996,656,1,1528,656,5,1996,456,1,800,456,4,1985,111,16,538,6,1,1996,559,1,-891,559,3,7,Forest,1900,3137,-836,1783,2575,-834
2783237.5179001,2043364.19790293,1985,843,5,624,168,4,1985,801,2,192,400,3,1985,861,2,793,430,6,1985,1049,3,-140,349,5,8,Forest,1229,1866,-415,1200,1859,-526
2764037.5179001,2045584.19790293,2011,745,8,1129,93,2,1985,697,1,340,697,2,1989,492,4,623,123,5,2009,773,10,-441,77,2,9,Forest,1359,3058,-1134,1350,2622,-1176
2681657.5179001,1971604.19790293,2007,682,1,1622,682,5,2006,615,2,786,307,4,2007,402,1,576,402,7,2007,841,1,-809,841,6,10,Forest,1982,3704,-1217,1892,3077,-1000
2785007.5179001,2231254.19790293,2014,582,1,986,582,6,2014,370,1,445,370,7,2014,187,1,671,187,5,2014,527,1,-415,527,7,11,Forest,1417,2212,-402,1624,2220,-623
2746937.5179001,1948534.19790293,1993,560,1,3220,560,3,1993,688,1,1994,688,3,1985,74,26,136,2,1,2005,404,2,-2504,202,2,12,Forest,2056,3143,-869,1927,3385,-1401
2672867.5179001,1815634.19790293,2013,1374,6,2568,229,3,1985,1274,24,1218,53,3,2002,221,1,191,221,1,1985,1019,34,-1647,29,1,13,Forest,1689,4251,-2214,1067,2807,-1542
2761937.5179001,1872334.19790293,0,0,0,0,0,0,1985,437,34,1179,12,0,1985,76,34,143,2,0,0,0,0,0,0,0,14,Forest,1321,2524,-476,1111,3154,-1313
2801507.5179001,2255554.19790293,1985,404,34,1838,11,1,1985,268,34,973,7,1,1989,172,1,543,172,1,1985,563,2,-660,281,1,15,Forest,1255,3937,-1871,1114,3043,-1588
2720987.5179001,1893994.19790293,2014,1982,1,1120,1982,6,2001,2125,2,954,1062,7,2014,212,1,490,212,1,2001,1287,1,-926,1287,3,16,Forest,1786,2505,-512,1616,2604,-748
2873957.5179001,2194024.19790293,2018,576,1,1768,576,4,2017,883,1,856,883,8,2017,683,2,490,341,7,2017,1085,2,-966,542,6,17,Forest,1742,2672,-720,1872,2516,-481
2656937.5179001,1768294.19790293,1998,446,1,1373,446,3,1998,324,1,696,324,4,0,0,0,0,0,0,1998,566,2,-716,283,4,18,Forest,1997,3709,-1368,2468,3609,-1215
2759357.5179001,2144764.19790293,1988,1865,1,1223,1865,5,1988,1320,1,688,1320,8,1988,296,1,475,296,5,1988,1332,1,-623,1332,8,19,Forest,1199,2592,-890,1070,3196,-1701
2713577.5179001,2011654.19790293,2002,2124,1,1656,2124,4,2002,592,1,1106,592,1,1995,425,1,602,425,5,2002,2439,1,-903,2439,7,20,Forest,1815,3678,-1052,1663,2855,-872
2804417.5179001,2220154.19790293,1985,355,6,1061,59,2,1985,266,8,524,33,3,1985,102,11,637,9,1,1985,371,10,-438,37,3,21,Forest,1650,3611,-1418,1383,3535,-1738
2781227.5179001,2252824.19790293,1985,330,2,1280,165,1,1986,463,1,514,463,2,2011,201,1,695,201,1,1986,510,1,-466,510,2,22,Forest,2442,3614,-970,2973,3191,-564
2779967.5179001,1918474.19790293,0,0,0,0,0,0,1985,360,8,1914,45,2,0,0,0,0,0,0,1985,64,20,-2351,3,0,23,Forest,2229,3913,-1393,2405,3265,-961
2697677.5179001,1810954.19790293,0,0,0,0,0,0,1985,753,1,906,753,4,1985,195,2,389,97,2,1985,922,1,-814,922,5,24,Forest,1564,4291,-2090,1282,4239,-2336
2762207.5179001,2036914.19790293,2002,656,2,2117,328,3,2002,608,2,1158,304,4,1998,126,3,453,42,1,2002,676,2,-1329,338,3,25,Forest,1038,1839,-372,1043,1500,-386
2827817.5179001,2016934.19790293,2017,1380,2,1433,690,6,2014,866,5,828,173,4,1986,258,2,447,129,3,2017,1175,2,-919,587,6,26,Forest,1203,1860,-392,1498,2045,-441
2775467.5179001,2116204.19790293,1985,686,5,1738,137,3,1989,472,1,1120,472,4,1989,187,1,477,187,3,1989,706,1,-1085,706,6,27,Forest,1985,4369,-1760,1601,4196,-2169
2772497.5179001,2175904.19790293,2004,780,15,1818,52,3,1985,633,34,1276,18,3,1985,134,12,301,11,3,2004,633,15,-1384,42,3,28,Forest,1842,3056,-1253,2295,2480,-380
2807147.5179001,1826014.19790293,2009,244,2,2559,122,1,0,0,0,0,0,0,1991,195,2,222,97,3,0,0,0,0,0,0,29,Forest,1370,4812,-2682,1462,3943,-2025
2820917.5179001,2211484.19790293,0,0,0,0,0,0,0,0,0,0,0,0,1985,79,1,638,79,4,0,0,0,0,0,0,30,Forest,1265,4325,-2331,1187,3266,-1720
2818787.5179001,2130814.19790293,2003,393,4,1973,98,2,2005,560,1,1063,560,4,2005,187,1,489,187,3,2003,329,3,-1194,109,2,31,Forest,1134,1737,-496,1168,2127,-722
2749277.5179001,1957504.19790293,1985,984,34,3027,28,2,1985,1079,34,1976,31,2,1990,135,1,165,135,3,1985,885,16,-2028,55,3,32,Forest,1341,2408,-438,1130,2930,-866
2823377.5179001,2067604.19790293,2002,652,5,975,130,3,2004,828,1,470,828,4,2002,612,2,682,306,6,2004,805,1,-506,805,5,33,Forest,2239,3879,-1132,1646,2682,-953
2966087.5179001,2189224.19790293,2000,1978,2,2134,989,10,2000,2028,2,1123,1014,7,2000,419,1,396,419,7,2000,2180,2,-1364,1090,9,34,Forest,1281,3654,-1718,1365,2990,-1486
2803367.5179001,2148934.19790293,1985,259,2,812,129,2,1985,176,1,280,176,3,1985,219,2,732,109,5,1985,246,1,-174,246,3,35,Forest,2104,3977,-1674,2506,2966,-695
2911127.5179001,2186734.19790293,1985,675,34,2847,19,3,1985,584,34,1886,17,3,1985,155,34,234,4,2,1985,796,34,-1985,23,3,36,Forest,1472,3134,-1224,1062,3358,-2007
2767187.5179001,2072494.19790293,2009,929,1,1197,929,6,2009,434,1,433,434,4,0,0,0,0,0,0,2009,709,1,-365,709,5,37,Forest,1220,2238,-586,1223,1956,-470
2733887.5179001,1939354.19790293,2012,590,7,2333,84,2,2009,206,10,1434,20,0,2012,64,7,306,9,1,2012,605,7,-1588,86,3,38,Forest,2143,2826,-533,1604,2275,-691
2715767.5179001,1957384.19790293,1985,490,7,3579,70,1,1985,1037,3,2166,345,4,2017,156,2,324,78,2,1985,464,7,-2756,66,1,39,Forest,1448,2504,-668,1395,1948,-465
2861537.5179001,2006524.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,Forest,1277,3093,-864,1300,2386,-775
2777297.5179001,2130394.19790293,1985,618,3,791,206,3,1985,328,3,361,109,1,2008,297,1,689,297,3,2008,333,1,-404,333,1,41,Forest,1211,4193,-2592,1121,5002,-2869
2678147.5179001,1839334.19790293,2003,537,3,1695,179,2,1985,358,28,678,12,2,1985,143,28,568,5,1,1985,480,28,-750,17,1,42,Forest,1405,2383,-707,1287,2116,-741
2794247.5179001,1920694.19790293,1985,178,34,2318,5,1,0,0,0,0,0,0,1987,110,1,352,110,2,1985,84,34,-1523,2,0,43,Forest,1620,3786,-1924,1796,2713,-807
2854397.5179001,2068444.19790293,2002,1917,1,1142,1917,6,2002,1363,1,638,1363,5,2011,416,1,464,416,4,2002,1659,1,-537,1659,6,44,Forest,1616,2906,-841,1677,3710,-1649
2811197.5179001,2247304.19790293,1990,84,29,1494,2,0,2000,322,1,854,322,3,1990,118,1,550,118,3,1985,721,1,-859,721,5,45,Forest,1869,2576,-511,1788,2447,-663
2775017.5179001,1990954.19790293,2000,1288,1,1201,1288,6,2000,802,1,561,802,5,2000,272,1,500,272,6,2000,1156,1,-597,1156,8,46,Forest,1449,3732,-1758,1455,2896,-1092
2818217.5179001,2092624.19790293,0,0,0,0,0,0,2013,513,1,507,513,4,0,0,0,0,0,0,2013,572,1,-520,572,3,47,Forest,1762,2597,-650,1950,2344,-399
2800157.5179001,1913734.19790293,0,0,0,0,0,0,2003,660,1,983,660,2,2002,180,5,406,36,2,0,0,0,0,0,0,48,Forest,1658,2620,-686,1663,2481,-678
2860067.5179001,2014894.19790293,1985,1081,34,1835,31,6,1985,840,34,1024,24,5,1985,339,28,401,12,7,1985,1146,34,-1108,33,6,49,Forest,2081,3217,-807,1976,3282,-1202
2784047.5179001,2051014.19790293,2018,886,1,988,886,6,2018,868,1,485,868,9,2018,602,1,645,602,16,2018,942,1,-545,942,11,50,Forest,2612,4108,-1044,2499,3476,-669
2850257.5179001,2225914.19790293,2006,577,1,1331,577,3,2006,702,1,650,702,4,2006,391,1,583,391,4,2006,701,1,-785,701,3,51,Forest,967,2699,-857,1633,2106,-305
2823617.5179001,2090374.19790293,1991,1284,2,1531,642,13,1985,574,7,522,82,1,0,0,0,0,0,0,1991,952,1,-824,952,10,52,Forest,1372,2232,-498,1402,3049,-1511
2857007.5179001,2068684.19790293,2013,1011,1,1121,1011,5,1989,667,30,327,22,3,1995,433,8,714,54,5,1999,890,1,-482,890,3,53,Forest,1753,3207,-1094,2062,3447,-1364
2803307.5179001,1990924.19790293,1985,547,34,3210,16,2,1985,682,34,2064,20,3,1985,88,34,96,2,2,1985,464,2,-1998,232,3,54,Forest,1546,3305,-1449,1711,2219,-460
2801867.5179001,2283544.19790293,1996,440,1,1204,440,2,1996,452,1,599,452,2,0,0,0,0,0,0,1996,532,1,-619,532,2,55,Forest,1387,3134,-1616,1108,1952,-591
2717897.5179001,2056984.19790293,1985,403,23,2190,17,1,1985,217,19,1317,11,0,2015,187,4,625,46,2,1985,384,23,-1428,16,1,56,Forest,1593,2826,-1082,1516,2385,-853
2678867.5179001,1784644.19790293,2018,821,1,934,821,5,2018,1380,1,401,1380,8,2018,856,1,658,856,6,2018,1455,1,-280,1455,6,57,Forest,963,2292,-967,1301,1891,-417
2808917.5179001,2293684.19790293,1996,973,1,1630,973,5,1996,920,1,1003,920,6,1996,194,1,432,194,4,1996,809,1,-925,809,5,58,Forest,1424,4741,-1845,1354,2746,-887
2787977.5179001,2131594.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,103,34,-436,3,0,59,Forest,1516,3491,-1395,1726,2982,-1078
2690147.5179001,1999894.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,711,1,-355,711,2,60,Forest,1205,2114,-514,917,4174,548
2800457.5179001,2296174.19790293,2012,220,7,1089,31,1,1990,422,1,465,422,6,1990,366,1,649,366,7,0,0,0,0,0,0,61,Forest,1722,2593,-650,1820,2376,-537
2687057.5179001,1837294.19790293,1985,439,34,2824,12,2,1985,519,34,1637,15,2,1985,117,34,154,3,1,1985,660,34,-1958,19,2,62,Forest,1161,2244,-735,1140,1707,-474
2788097.5179001,2087434.19790293,2011,1186,1,1192,1186,6,2013,1661,1,1237,1661,6,2013,462,1,633,462,4,2011,1085,1,-510,1085,6,63,Forest,1353,3375,-985,1208,2474,-591
2817887.5179001,2245654.19790293,1985,488,9,1576,54,3,1985,481,21,927,22,3,1985,213,10,578,21,5,1985,571,22,-907,25,4,64,Forest,1600,4341,-2116,2147,2921,-939
2730047.5179001,1997104.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,Forest,918,2379,-1115,891,2684,-1081
2735897.5179001,2091754.19790293,0,0,0,0,0,0,0,0,0,0,0,0,2009,153,3,659,51,2,0,0,0,0,0,0,66,Forest,1547,2120,-227,1613,2306,-631
2756147.5179001,2031034.19790293,2017,1568,2,1186,784,3,1987,969,1,637,969,3,2002,260,1,618,260,1,2017,1230,2,-663,615,3,67,Forest,1281,2567,-857,1042,2409,-1104
2764997.5179001,1869724.19790293,2003,1115,16,2179,69,3,2011,668,8,1488,83,2,1985,103,34,278,3,1,2003,1002,16,-1448,62,3,68,Forest,1232,2859,-1358,1621,2086,-537
2912297.5179001,2249224.19790293,1985,739,14,2139,52,2,1985,1267,7,803,181,4,1985,163,12,370,13,2,1991,1037,1,-1751,1037,4,69,Forest,1706,2464,-522,1692,2214,-414
2803907.5179001,2172364.19790293,1985,1328,1,823,1328,5,0,0,0,0,0,0,0,0,0,0,0,0,1985,1119,1,-260,1119,4,70,Forest,1303,2119,-427,1247,1650,-336
2706827.5179001,2058844.19790293,2002,855,17,670,50,3,2018,1023,1,423,1023,6,2018,664,1,598,664,7,2018,1056,1,-525,1056,5,71,Forest,2044,3268,-971,1931,3517,-1458
2942027.5179001,2216434.19790293,0,0,0,0,0,0,1992,358,1,863,358,4,0,0,0,0,0,0,0,0,0,0,0,0,72,Forest,1429,3015,-1314,1378,3718,-1906
2872637.5179001,2068684.19790293,0,0,0,0,0,0,1985,89,2,834,44,1,0,0,0,0,0,0,0,0,0,0,0,0,73,Forest,1182,4362,-2017,1355,2388,-762
2735387.5179001,1940404.19790293,2005,1088,1,2473,1088,6,1985,334,34,1389,9,1,1985,116,34,335,3,1,1985,713,34,-1507,20,2,74,Forest,1612,2585,-565,1095,2823,-1129
2728277.5179001,1919644.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,522,1,-2034,522,2,75,Forest,1553,2523,-740,1772,2469,-545
2722007.5179001,2084464.19790293,2000,132,19,1409,6,0,1992,194,1,1579,194,1,0,0,0,0,0,0,1985,363,5,-1945,72,2,76,Forest,1580,2348,-370,1431,2491,-861
2875757.5179001,2156044.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Forest,1399,2525,-819,1400,2311,-781
2759837.5179001,2173744.19790293,1985,1698,34,867,49,2,1985,1593,34,400,46,2,1985,323,34,516,9,1,1985,2066,29,-115,71,3,78,Forest,1761,4543,-2058,1477,3634,-1819
2781197.5179001,2019904.19790293,2004,820,1,1460,820,3,1992,801,1,724,801,5,2003,254,1,448,254,1,1992,858,1,-770,858,4,79,Forest,1574,5216,-3393,1407,3213,-1539
2790497.5179001,2037574.19790293,2004,886,1,983,886,7,2004,952,1,488,952,12,2004,570,1,515,570,12,2004,1052,1,-483,1052,9,80,Forest,2089,3053,-777,2283,3320,-1091
2684807.5179001,1951414.19790293,2015,352,4,1182,88,2,1990,439,5,572,87,3,2015,182,4,528,45,2,1990,671,5,-198,134,3,81,Forest,1351,4323,-2166,1708,2669,-766
2804267.5179001,2093794.19790293,0,0,0,0,0,0,2008,397,11,627,36,2,2017,354,2,687,177,4,0,0,0,0,0,0,82,Forest,1444,2527,-839,1622,2919,-1061
2801987.5179001,2157784.19790293,1987,537,1,1595,537,5,2004,855,2,943,427,5,2004,555,2,252,277,5,2004,638,2,-1194,319,4,83,Forest,989,2846,-1496,803,2994,-2044
2774987.5179001,2211724.19790293,2013,668,6,966,111,6,2015,519,4,409,129,8,2015,232,4,719,58,6,2013,545,6,-346,90,6,84,Forest,1142,4252,-2091,1138,3651,-2321
2736977.5179001,1930294.19790293,1985,417,3,2585,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,Forest,1487,2552,-468,1190,1861,-535
2915267.5179001,2170264.19790293,2014,729,1,1183,729,8,2013,776,1,612,776,8,2013,871,1,558,871,21,2013,1095,2,-603,547,11,86,Forest,1309,3015,-1257,1229,2864,-1445
2729897.5179001,1874074.19790293,1985,165,4,2155,41,2,1988,360,1,1251,360,5,1985,96,4,280,24,1,2005,265,1,-1469,265,2,87,Forest,1589,2637,-894,1916,2784,-848
2749577.5179001,2129914.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,Forest,1241,2716,-1150,1276,1782,-483
2790077.5179001,2288314.19790293,1999,429,1,1175,429,3,1999,305,2,544,152,4,2003,135,1,574,135,3,1985,597,22,-324,27,4,89,Forest,1787,3983,-1816,1387,3597,-2006
2808167.5179001,2062054.19790293,1990,653,1,981,653,11,1990,740,1,499,740,17,1990,613,1,576,613,16,1990,1276,2,-457,638,9,90,Forest,1568,2968,-832,1339,2523,-930
2815277.5179001,2207524.19790293,1985,586,34,1622,17,2,1985,391,34,782,11,2,2014,149,5,550,29,2,1985,816,3,-359,272,4,91,Forest,1730,4401,-2079,1301,3359,-2039
2697587.5179001,1842184.19790293,1994,1639,1,1243,1639,6,1994,787,1,612,787,2,0,0,0,0,0,0,1994,1617,1,-499,1617,5,92,Forest,1319,3763,-1730,1421,3038,-1433
2737307.5179001,2055244.19790293,1985,823,34,1899,24,2,1985,407,34,1253,11,2,0,0,0,0,0,0,1985,636,34,-1230,18,2,93,Forest,1487,2645,-843,1364,2264,-861
2869907.5179001,2210314.19790293,2006,1508,2,1063,754,7,2006,1130,1,529,1130,4,2005,548,2,449,274,9,2005,1146,2,-550,573,4,94,Forest,1377,2440,-435,1367,3097,-1271
2787857.5179001,1918234.19790293,2000,1670,19,2463,87,4,2005,1456,14,1540,104,4,2005,51,1,78,51,0,2005,1411,14,-1943,100,4,95,Forest,1028,1992,-689,1186,1682,-291
2687297.5179001,1871074.19790293,1985,368,2,1961,184,3,2015,260,1,1130,260,3,1985,43,21,354,2,0,1985,100,11,-1328,9,0,96,Forest,1261,2452,-756,1427,2340,-769
2774357.5179001,2067064.19790293,2017,861,2,1314,430,2,2017,1006,2,589,503,3,2017,457,2,604,228,4,2017,927,2,-620,463,3,97,Forest,1496,2325,-574,1664,2331,-645
2679827.5179001,1777594.19790293,1985,627,34,950,18,2,2016,538,3,873,179,2,1985,637,7,843,91,4,1985,614,34,-443,18,2,98,Forest,1454,5029,-2655,1339,4240,-2419
2727137.5179001,2030704.19790293,1995,1152,1,1248,1152,11,1985,580,20,637,29,2,1994,243,3,504,81,3,2005,982,2,-998,491,8,99,Forest,1248,2206,-579,1392,1931,-291
2707787.5179001,1817164.19790293,1998,1520,1,1300,1520,5,1998,584,21,694,27,1,2014,299,1,450,299,3,2014,1482,1,-523,1482,5,100,Forest,1772,3929,-1366,1388,2706,-966
2772257.5179001,2245414.19790293,2008,393,1,1293,393,1,2008,492,1,453,492,3,1985,114,34,626,3,0,1985,307,34,-509,9,1,101,Forest,1198,2014,-554,1352,2447,-970
2821097.5179001,2090674.19790293,2005,660,2,1294,330,8,2005,793,1,660,793,13,2005,678,1,488,678,17,2005,1080,2,-751,540,11,102,Forest,1480,3992,-1784,1313,3613,-1665
2697347.5179001,1912924.19790293,2015,475,4,1751,118,3,2015,350,4,857,87,4,0,0,0,0,0,0,0,0,0,0,0,0,103,Forest,1592,2926,-896,1724,2880,-978
2683727.5179001,1824784.19790293,2004,542,2,2708,271,2,2004,682,2,1569,341,3,1985,21,19,133,1,0,0,0,0,0,0,0,104,Forest,1631,4152,-1857,1405,3548,-1757
2815427.5179001,2011174.19790293,1989,349,6,2903,58,1,1991,352,4,1991,88,2,2017,214,2,138,107,2,1989,281,10,-2091,28,1,105,Forest,1149,2329,-775,1926,2149,-244
2725697.5179001,1769974.19790293,2014,1217,1,1661,1217,9,2014,1297,1,647,1297,6,2014,428,1,499,428,5,2014,1247,1,-1028,1247,4,106,Forest,1704,2641,-799,1891,2471,-637
2670677.5179001,1916944.19790293,1992,1011,1,1821,1011,12,1992,657,1,927,657,3,1992,372,1,426,372,9,1992,662,1,-1122,662,4,107,Forest,1423,3336,-1516,1378,2790,-1253
2752187.5179001,1983244.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Forest,1108,2227,-787,1194,2137,-840
2798747.5179001,2155024.19790293,1985,757,2,1290,378,4,1985,862,2,462,431,6,1985,437,2,707,218,6,1985,975,2,-512,487,6,109,Forest,1220,3216,-1430,1506,2605,-862
2712587.5179001,1756774.19790293,2003,542,2,2236,271,3,2004,624,1,1290,624,4,2004,212,1,311,212,5,2003,353,6,-1631,58,1,111,Forest,1246,2574,-996,778,2056,-1173
2702327.5179001,1785874.19790293,1995,278,3,1596,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Forest,936,1965,-812,923,2062,-860
2677277.5179001,1997044.19790293,2013,963,3,1081,321,8,2013,405,2,484,202,6,2007,162,12,591,13,3,2013,580,2,-525,290,6,113,Forest,1754,4219,-1850,1458,3526,-1598
2790287.5179001,2120914.19790293,1999,649,1,2233,649,2,1999,938,1,1444,938,6,1985,184,12,194,15,2,1999,781,1,-1744,781,3,115,Forest,1554,3098,-1173,1391,2702,-1016
2735057.5179001,1740724.19790293,2004,287,1,2872,287,1,2004,447,2,1971,223,2,0,0,0,0,0,0,2004,659,2,-2281,329,3,116,Forest,1092,1660,-386,1454,2074,-552
2894117.5179001,2117134.19790293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,Forest,1357,3519,-1812,1062,3897,-2439
2693207.5179001,1867534.19790293,1989,696,1,1004,696,4,1989,866,1,455,866,4,2005,497,1,593,497,3,1989,778,1,-388,778,4,118,Forest,1288,4229,-2321,1473,4220,-2451
2860877.5179001,2018134.19790293,1985,548,21,1831,26,3,1985,404,20,1020,20,4,1985,119,20,326,5,2,1985,497,28,-1213,17,3,119,Forest,1428,2198,-455,1405,2291,-893
2824247.5179001,2083864.19790293,1995,396,24,1678,16,2,1991,136,28,992,4,0,0,0,0,0,0,0,1985,169,34,-1071,4,0,120,Forest,2525,4094,-1391,2588,3081,-513
