x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5528693.7082794,2690606.79739179,0,0,0,0,0,0,0,0,0,0,0,0,1994,1,25,724,0,0,1985,376,2,-361,188,6,1,Forest,2567,3323,-779,2633,3071,-570
5553383.7082794,2720936.79739179,2005,748,3,1277,249,7,2005,557,3,789,185,4,2005,333,1,539,333,5,2006,516,2,-870,258,3,2,Forest,1247,1714,-226,1369,1705,-415
5448233.7082794,2414366.79739179,1987,269,1,1437,269,3,0,0,0,0,0,0,0,0,0,0,0,0,1993,235,1,-751,235,3,4,Forest,3012,4033,-1026,3106,3581,-968
5353193.7082794,2477036.79739179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Forest,1128,1774,-87,1802,2917,-1173
5436473.7082794,2526056.79739179,2000,104,19,1479,5,1,2000,241,1,511,241,4,0,0,0,0,0,0,2000,188,1,-529,188,4,6,Forest,2153,2953,-650,2167,2669,-771
5206403.7082794,2664746.79739179,1985,163,34,1331,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,325,5,-387,65,3,7,Forest,2080,2955,-601,2130,2605,-678
5350793.7082794,2592836.79739179,1986,344,33,666,10,3,1986,204,33,276,6,3,1986,108,33,709,3,2,1986,326,33,-173,9,3,9,Forest,2319,3157,-674,2630,2996,-707
5719043.7082794,2490866.79739179,1985,84,34,1100,2,0,1998,156,16,361,9,4,1997,40,22,727,1,1,1985,100,34,-431,2,1,10,Forest,1902,3539,-1370,2584,3014,-736
5457023.7082794,2826116.79739179,1985,122,34,1268,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,108,34,-531,3,1,11,Forest,2068,2958,-665,2099,2788,-828
5519663.7082794,2805296.79739179,0,0,0,0,0,0,2017,343,2,715,171,4,2018,165,1,716,165,5,2018,466,1,-883,466,5,12,Forest,2263,2733,-465,1729,1935,-311
5554493.7082794,2722646.79739179,1985,325,1,788,325,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,165,1,-340,165,2,13,Forest,2661,3975,-966,2996,3614,-1070
