x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4955216.5758302,2843617.9080683356,1985,320,34,1077,9,3,1985,91,34,441,2,1,0,0,0,0,0,0,1985,200,34,-425,5,2,1,Forest,1582,2291,-496,2055,2500,-660
5187364.791852804,2951727.126237133,0,0,0,0,0,0,1997,40,22,652,1,1,2003,53,1,701,53,2,1996,9,23,-833,0,0,2,Forest,3133,3902,-951,2518,2852,-764
5211647.739700277,2932874.959359857,2006,1127,1,1558,1127,5,2006,432,1,641,432,4,2006,141,1,679,141,3,2006,905,1,-772,905,11,3,Forest,2754,4092,-1371,2143,2840,-788
5118188.166433455,2937927.2703745454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest,2122,2720,-542,1858,2275,-577
4953540.2010832755,2938857.0689096255,0,0,0,0,0,0,2001,5,18,518,0,0,2010,45,9,700,5,1,2016,68,3,-561,22,1,5,Forest,3174,4305,-1203,2611,3130,-883
4926719.747745294,2900996.5561074135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Forest,2537,3076,-635,2439,2743,-595
5222744.036337905,2946323.423370173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Forest,1972,2738,-497,1682,2082,-469
5026820.000078408,2837649.229639984,1989,663,1,1555,663,6,1989,545,1,621,545,8,0,0,0,0,0,0,1989,543,1,-805,543,7,8,Forest,2671,3426,-776,2969,3668,-1114
5102279.895307646,2954977.554809571,1999,155,20,976,7,2,1998,31,21,430,1,0,1997,22,22,714,1,0,2009,212,1,-333,212,4,9,Forest,1707,2201,-392,1735,2288,-673
4980984.70896929,2905598.1297758357,2013,757,1,1709,757,7,2013,483,1,706,483,10,2013,83,1,650,83,2,2013,598,1,-913,598,7,10,Forest,3005,3656,-766,2606,3071,-725
4947807.496217614,2859476.018239136,1985,455,34,838,13,2,1992,290,27,276,10,3,2017,139,2,696,69,4,1985,350,34,-275,10,3,11,Forest,2977,3788,-827,2702,3223,-728
5095650.006349605,2900039.525121548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Forest,3341,4064,-1050,2950,3474,-961
5162515.115490303,2917933.5080148913,0,0,0,0,0,0,0,0,0,0,0,0,1985,32,5,718,6,1,0,0,0,0,0,0,13,Forest,1837,2992,-700,1782,2469,-850
4927321.773551911,2894835.107863623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Forest,2679,3376,-854,3288,3654,-794
4841368.995853567,2875493.6877285503,1998,1094,1,1544,1094,5,1998,350,1,671,350,1,2015,228,1,638,228,2,1998,1216,1,-691,1216,5,15,Forest,2092,3009,-825,2740,3233,-722
4879998.716064319,2887458.7155071627,1994,567,1,1907,567,3,1994,355,1,729,355,3,0,0,0,0,0,0,1985,693,1,-165,693,3,16,Forest,3071,3723,-812,3123,3344,-824
5001332.959738647,2849685.311356572,1985,326,34,1493,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1985,95,34,-714,2,1,17,Forest,2585,3032,-703,2175,2499,-638
4982654.425700827,2885355.117021565,2000,126,2,1776,63,1,1999,48,1,690,48,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,2348,3016,-517,2075,2312,-543
4874219.210421447,2855709.6237540795,1992,9,27,1411,0,0,0,0,0,0,0,0,2009,40,10,714,4,2,2013,73,1,-632,73,0,19,Forest,2388,3657,-1035,2316,2864,-801
5056702.164673579,2911861.9711690447,1996,958,12,695,79,5,1985,390,34,374,11,2,2007,73,1,645,73,1,1985,605,34,-277,17,3,20,Forest,3382,3964,-898,2886,3335,-828
5176674.290833456,2945366.341818801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Forest,2591,3020,-616,2322,2672,-630
5221329.263445856,2952007.9247914534,1985,625,1,1625,625,5,1985,196,1,648,196,4,0,0,0,0,0,0,1985,612,2,-729,306,9,22,Forest,3307,3995,-838,2857,3409,-861
5048606.367273739,2888592.4489306402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,138,3,-775,46,2,23,Forest,2004,2876,-837,1275,1429,-155
4952713.791367617,2844154.99712909,0,0,0,0,0,0,1999,425,1,535,425,5,1999,361,1,707,361,12,1999,552,1,-589,552,6,24,Forest,3317,3960,-919,2994,3607,-1071
4963861.38057795,2866152.6018082523,1985,75,14,1887,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,61,23,-813,2,0,25,Forest,2728,3586,-739,2520,2727,-591
5028668.859063499,2949506.275770865,0,0,0,0,0,0,1985,6,4,707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Forest,2816,3089,-472,2376,2689,-576
5133323.188203964,2917659.826519603,2009,295,10,1901,29,1,2012,561,1,740,561,7,2012,246,1,685,246,10,2012,826,1,-894,826,6,27,Forest,2617,3275,-850,2512,2872,-732
4971648.579226709,2857876.581426603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,Forest,2790,3230,-699,1829,2781,-973
4928805.884077429,2849329.3839732297,2006,197,13,1329,15,2,1985,49,34,469,1,1,2010,71,1,731,71,2,1985,149,34,-477,4,1,29,Forest,2181,3677,-1347,2101,3053,-1065
4860415.116331466,2847294.24624027,1990,370,1,1374,370,2,1990,190,1,573,190,2,0,0,0,0,0,0,0,0,0,0,0,0,30,Forest,1383,2968,-962,1789,2307,-506
5048307.3122595195,2884021.90153404,2014,1145,2,1272,572,7,2014,648,1,492,648,8,2014,427,1,715,427,12,2014,853,1,-587,853,7,31,Forest,3186,3976,-921,3098,3439,-810
4932603.315989053,2846982.6574267168,2017,641,2,1496,320,3,2017,719,2,499,359,4,2017,269,2,710,134,6,2017,706,2,-624,353,3,32,Forest,2557,2964,-516,2247,2624,-653
4835885.877139653,2845962.5546621773,2000,1907,1,2462,1907,10,2000,2384,1,1283,2384,6,1998,441,3,459,147,5,2000,2163,1,-1393,2163,4,33,Forest,2120,2774,-532,2349,2707,-695
5107363.627402716,2890013.6654208307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Forest,1512,1878,-294,1573,1902,-433
4902631.458931298,2872539.5749854296,2012,102,7,1342,14,1,1986,63,3,507,21,1,1986,56,5,735,11,2,1986,71,33,-523,2,1,35,Forest,2592,3171,-594,2603,2939,-779
5183504.265090544,2948132.8284545643,1985,164,34,1392,4,1,1995,100,5,505,20,1,0,0,0,0,0,0,1985,215,34,-534,6,2,36,Forest,2825,3749,-743,2768,3143,-787
4963746.543507431,2947523.505062941,1986,65,33,838,1,0,0,0,0,0,0,0,2010,32,1,736,32,1,1986,51,33,-322,1,0,37,Forest,1376,1926,-276,1700,1870,-243
5226032.651995845,2959927.828310264,0,0,0,0,0,0,1989,211,1,852,211,3,0,0,0,0,0,0,0,0,0,0,0,0,38,Forest,2157,2738,-500,1718,1987,-490
5167804.22008016,2914720.2166651813,1985,183,34,1521,5,1,1985,126,30,550,4,2,2003,69,1,719,69,2,1985,207,27,-603,7,2,39,Forest,1043,1638,-82,930,1139,-218
5060449.024331517,2840407.4140225435,1985,166,34,1658,4,1,2002,70,1,632,70,1,0,0,0,0,0,0,1985,82,34,-770,2,0,40,Forest,2682,3355,-785,2608,3114,-828
4941103.612098616,2964374.843784942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,1506,2,-255,753,14,41,Forest,1884,2616,-437,1999,2345,-549
4979723.535072485,2914790.8954416458,0,0,0,0,0,0,0,0,0,0,0,0,2001,75,1,745,75,3,0,0,0,0,0,0,42,Forest,2368,2843,-515,2362,2595,-534
5012421.31241457,2917267.4113729857,2005,195,14,385,13,1,1998,85,5,117,17,1,1998,93,3,808,31,2,1998,266,21,17,12,3,43,Forest,2499,3188,-590,2396,2690,-582
5162586.814949835,2953389.204711782,1985,77,7,1719,11,1,1989,91,1,666,91,3,2001,26,18,689,1,1,1985,107,34,-760,3,1,44,Forest,1957,3449,-1137,1688,2341,-570
5096043.228245519,2931335.6740803127,2009,330,10,1039,33,3,2009,99,10,444,9,1,2017,79,2,733,39,3,1985,142,34,-407,4,2,45,Forest,0,0,0,1227,1350,-177
4945482.5511923935,2846566.2576309354,1989,103,4,1263,25,1,1994,33,25,456,1,0,2012,51,3,764,17,2,1985,89,34,-465,2,1,46,Forest,1085,1483,-117,1207,1381,-208
5121377.855153818,2983363.4866706543,1998,341,1,1302,341,4,0,0,0,0,0,0,0,0,0,0,0,0,1985,60,30,-552,2,0,47,Forest,3265,3813,-921,2626,3119,-891
4840834.987028341,2848379.605652772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Forest,2672,3141,-505,2574,2951,-548
4994745.6788365245,2947746.1334996573,0,0,0,0,0,0,1988,254,1,630,254,4,0,0,0,0,0,0,0,0,0,0,0,0,49,Forest,2836,3715,-720,2679,3145,-694
5112590.863812118,2935411.2027048613,2000,175,1,454,175,2,1985,25,2,214,12,0,1985,121,1,786,121,6,1985,101,34,-106,2,2,50,Forest,2638,3264,-764,2908,3318,-854
4922737.815454643,2892208.004822957,0,0,0,0,0,0,2010,61,9,708,6,1,2016,104,3,740,34,7,0,0,0,0,0,0,51,Forest,2580,3647,-1089,2189,3475,-1318
4869526.604982721,2884086.867619248,2014,142,5,1402,28,1,1985,49,11,526,4,0,1985,41,11,748,3,1,1985,63,34,-516,1,0,52,Forest,1557,2876,1,1568,1884,-412
5221202.72047368,2958191.895210419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Forest,2667,3383,-748,2560,2860,-632
5012660.765226055,2841846.469909935,2017,219,2,1586,109,2,0,0,0,0,0,0,2007,32,1,718,32,1,1985,164,9,-661,18,2,54,Forest,2723,3317,-752,1830,2367,-748
5139329.024333114,2915344.4450755566,2009,955,1,1447,955,8,2009,628,1,603,628,6,2003,70,1,692,70,3,2009,720,1,-718,720,7,55,Forest,2639,3366,-746,2292,2611,-681
5213309.76243269,2934130.0703896177,0,0,0,0,0,0,0,0,0,0,0,0,1991,10,28,745,0,0,1985,60,1,-635,60,1,56,Forest,3030,3455,-786,2628,2865,-637
4935593.750366054,2957779.588217371,0,0,0,0,0,0,2012,438,2,913,219,2,2002,147,17,579,8,2,2013,548,1,-1030,548,2,57,Forest,2586,3240,-867,2649,3275,-975
4995460.137185188,2941263.248308814,2012,394,7,678,56,4,2012,191,1,256,191,3,2012,95,1,754,95,3,2007,232,12,-177,19,3,58,Forest,2226,2799,-515,1921,2408,-584
5131684.8560961215,2913765.603989194,1998,362,1,1274,362,1,1998,181,1,478,181,2,2003,48,1,702,48,2,1998,259,1,-495,259,2,59,Forest,1594,2242,-331,1486,1836,-447
4852060.442831053,2820213.4123144513,1994,185,8,1458,23,1,2010,182,1,605,182,3,2010,177,1,680,177,9,2010,234,1,-732,234,3,60,Forest,2450,2910,-561,2090,2427,-556
4870430.471960226,2862487.4689565017,1998,191,5,1463,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Forest,2284,2977,-525,3433,4058,-1150
5212131.295362199,2891935.4613359664,1992,124,27,1712,4,1,1985,34,34,681,1,0,2009,63,10,686,6,2,1985,157,34,-737,4,1,62,Forest,2861,3694,-862,2564,3046,-934
4982994.420065435,2851163.8263578173,1989,0,30,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,109,13,-636,8,1,63,Forest,1748,2302,-312,1491,1708,-239
4912522.644309454,2864529.2300968408,2009,218,10,1804,21,2,2006,204,13,622,15,3,0,0,0,0,0,0,1985,79,34,-825,2,0,64,Forest,1692,2414,-442,1445,2024,-503
4981704.919772194,2949248.731081802,2014,368,5,1047,73,3,2014,172,5,437,34,3,2003,30,16,714,1,1,0,0,0,0,0,0,65,Forest,3168,3896,-594,2331,2792,-589
5095784.934861583,2939045.787431711,1996,194,1,866,194,1,1985,126,18,363,7,1,2017,149,2,723,74,4,1985,206,22,-300,9,2,66,Forest,2683,3955,-908,2461,3171,-896
