x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
4637311.22814117,2507889.09539598,2013,169,1,235,169,3,2013,131,8,412,16,2,0,0,0,0,0,0,2003,664,2,4866,332,2,2010,276,11,1771,25,3,2012,67,9,683,7,1,0,0,0,0,0,0,1992,598,5,3632,119,3,0,0,0,0,0,0,0,0,0,0,0,0,1,Forest
4709071.22814117,2543199.09539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,757,1,4151,757,3,1985,197,36,1469,5,2,1985,71,36,567,1,1,1997,37,1,724,37,3,1989,222,1,2805,222,1,1985,607,1,2825,607,4,1985,182,36,-580,5,3,2,Forest
4709671.22814117,2619699.09539598,1997,36,24,229,1,0,1998,32,23,365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,238,2,1017,119,2,2010,111,2,507,55,1,2011,46,1,697,46,1,1985,315,36,2304,8,1,0,0,0,0,0,0,1985,125,36,-461,3,1,3,Forest
4715971.22814117,2598909.09539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,336,1,1044,336,2,1996,154,3,412,51,1,0,0,0,0,0,0,1998,395,1,2408,395,1,0,0,0,0,0,0,2016,391,1,-416,391,4,4,Forest
4726681.22814117,2501499.09539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,563,1,2922,563,3,2017,155,4,974,38,1,1998,92,2,333,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1990,492,1,1865,492,3,1995,119,26,-343,4,1,5,Forest
4706401.22814117,2543769.09539598,0,0,0,0,0,0,2019,218,2,325,109,4,2019,127,2,209,63,3,1985,541,36,2721,15,1,2019,912,1,789,912,13,2019,459,2,338,229,7,2017,217,1,766,217,7,2019,1220,1,1756,1220,9,1985,328,36,1763,9,1,2019,625,2,-357,312,10,6,Forest
4738651.22814117,2569359.09539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,383,36,4365,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,49,9,667,5,1,0,0,0,0,0,0,2003,282,1,2765,282,1,0,0,0,0,0,0,7,Forest
4661311.22814117,2500089.09539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,324,1,1565,324,2,0,0,0,0,0,0,0,0,0,0,0,0,1996,344,1,2902,344,2,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest
4710991.22814117,2565699.09539598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,312,11,3925,28,1,1985,290,36,1876,8,2,1985,182,36,791,5,1,1985,110,29,679,3,2,1996,466,2,3184,233,2,0,0,0,0,0,0,1985,313,21,-802,14,2,9,Forest
4740061.22814117,2558559.09539598,1998,216,1,336,216,3,0,0,0,0,0,0,0,0,0,0,0,0,2015,615,6,4242,102,3,1985,145,36,2309,4,1,2017,217,4,1154,54,1,2015,134,6,593,22,2,2016,173,1,3986,173,1,1985,503,1,2648,503,2,1985,208,36,-1251,5,1,10,Forest
