x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
3615535.50962518,2143033.86166033,0,0,0,0,0,0,0,0,0,0,0,0,1988,559,2,1272,279,6,2017,460,1,2890,460,1,0,0,0,0,0,0,2017,112,4,1340,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Forest
3442015.50962518,2200303.86166033,1991,216,2,330,108,3,2008,314,1,525,314,4,2008,425,1,560,425,4,1985,520,6,1958,86,4,1992,477,1,1182,477,4,1992,746,1,616,746,7,1992,324,1,366,324,5,1992,826,1,1873,826,4,2008,505,1,558,505,4,1992,638,1,-662,638,6,4,Forest
2989255.50962518,2194873.86166033,0,0,0,0,0,0,1992,225,1,389,225,4,0,0,0,0,0,0,0,0,0,0,0,0,1991,654,3,841,218,5,1985,374,9,324,41,4,1991,212,1,665,212,4,1991,501,1,1680,501,3,1991,262,1,1036,262,2,1992,621,2,-380,310,4,12,Forest
2968375.50962518,2273173.86166033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,315,11,3294,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,160,25,3954,6,0,1985,454,7,1564,64,2,0,0,0,0,0,0,17,Forest
3422875.50962518,1950973.86166033,1985,192,4,444,48,3,2016,291,1,578,291,4,2016,496,1,684,496,5,0,0,0,0,0,0,1985,820,3,1562,273,5,1997,860,1,1202,860,7,1985,338,3,403,112,5,1997,996,1,2770,996,7,0,0,0,0,0,0,1985,932,3,-894,310,6,22,Forest
3204115.50962518,1841863.86166033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,301,25,2869,12,1,0,0,0,0,0,0,1995,561,1,1453,561,3,1995,167,1,260,167,2,1995,832,5,3548,166,4,1985,168,23,1057,7,0,1995,557,1,-1659,557,3,25,Forest
3414985.50962518,1784773.86166033,0,0,0,0,0,0,0,0,0,0,0,0,1986,186,1,1332,186,2,2017,560,1,2395,560,3,0,0,0,0,0,0,1985,198,2,2057,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,13,11,-2469,1,0,30,Forest
2931025.50962518,1925143.86166033,2015,142,1,192,142,2,0,0,0,0,0,0,0,0,0,0,0,0,2002,425,1,4000,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,378,1,2809,378,2,0,0,0,0,0,0,31,Forest
3327775.50962518,1989463.86166033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,479,1,1822,479,3,1985,716,2,1042,358,6,1985,344,2,418,172,5,0,0,0,0,0,0,0,0,0,0,0,0,1985,901,2,-960,450,6,38,Forest
3321505.50962518,2248183.86166033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,1234,1,2648,1234,5,1985,192,36,1306,5,1,1989,556,1,582,556,11,1989,538,1,639,538,14,2013,250,1,2466,250,1,1989,1178,1,1639,1178,7,1989,279,1,-627,279,2,41,Forest
3576805.50962518,2216533.86166033,1985,237,2,556,118,3,2000,322,1,918,322,3,2012,409,1,956,409,3,1985,1,27,2263,0,0,2012,234,1,3026,234,1,1997,382,1,1998,382,2,0,0,0,0,0,0,2012,690,1,3581,690,3,0,0,0,0,0,0,1997,490,1,-2229,490,4,42,Forest
2865925.50962518,2326123.86166033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,382,1,981,382,1,0,0,0,0,0,0,1985,62,2,697,31,1,2020,653,1,1780,653,1,0,0,0,0,0,0,2000,406,3,-347,135,3,49,Forest
3490825.50962518,1970233.86166033,1985,197,3,293,65,3,1985,317,4,445,79,5,1985,293,4,407,73,4,1985,558,11,2827,50,3,0,0,0,0,0,0,1985,66,36,683,1,1,2015,110,1,602,110,3,1999,106,22,2638,4,1,1985,283,11,1597,25,1,1985,101,36,-732,2,1,51,Forest
