x_coord,y_coord,year.B1,magnitude.B1,duration.B1,pre.B1,rate.B1,dsnr.B1,year.B2,magnitude.B2,duration.B2,pre.B2,rate.B2,dsnr.B2,year.B3,magnitude.B3,duration.B3,pre.B3,rate.B3,dsnr.B3,year.B4,magnitude.B4,duration.B4,pre.B4,rate.B4,dsnr.B4,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCB,magnitude.TCB,duration.TCB,pre.TCB,rate.TCB,dsnr.TCB,year.TCG,magnitude.TCG,duration.TCG,pre.TCG,rate.TCG,dsnr.TCG,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover
4655090.78318157,3737930.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1501,7,2473,214,3,0,0,0,0,0,0,0,0,0,0,0,0,1997,256,1,555,256,4,1992,1848,1,1229,1848,3,0,0,0,0,0,0,0,0,0,0,0,0,4,Forest
4535660.78318157,3826430.33815617,1991,320,1,-79,320,1,1994,308,27,170,11,0,1995,228,26,108,8,0,1985,1492,1,4300,1492,7,0,0,0,0,0,0,1998,110,23,329,4,0,0,0,0,0,0,0,1990,1169,1,1605,1169,2,1990,519,31,1840,16,2,0,0,0,0,0,0,6,Forest
4496630.78318157,4118990.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,431,8,2593,53,1,1985,136,19,1363,7,0,1985,235,19,564,12,1,1985,56,19,580,2,0,1985,370,19,2422,19,0,0,0,0,0,0,0,2017,346,4,-567,86,2,9,Forest
4826900.78318157,5025920.33815617,2013,137,8,170,17,1,0,0,0,0,0,0,1985,125,6,816,20,1,1989,890,32,3557,27,2,1985,272,1,2786,272,1,0,0,0,0,0,0,0,0,0,0,0,0,1985,623,5,3803,124,2,1990,331,31,2175,10,1,0,0,0,0,0,0,12,Forest
4707590.78318157,3838700.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,751,19,1141,39,3,1985,434,14,552,31,2,1985,258,14,532,18,3,1985,869,25,2005,34,3,0,0,0,0,0,0,1985,791,14,-487,56,3,17,Forest
4806200.78318157,4819940.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,216,36,2828,6,0,1985,1223,1,1220,1223,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,1233,1,-409,1233,5,18,Forest
4799660.78318157,4103900.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,122,1,644,122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Forest
4601420.78318157,4164080.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,74,19,1502,3,0,0,0,0,0,0,0,1990,335,1,541,335,2,2020,171,1,455,171,2,2005,619,1,1602,619,4,0,0,0,0,0,0,0,0,0,0,0,0,29,Forest
4818380.78318157,5062940.33815617,1985,104,9,255,11,1,1985,219,1,270,219,3,2017,175,4,243,43,2,0,0,0,0,0,0,1985,1109,1,323,1109,6,1985,456,1,169,456,5,2018,59,3,567,19,1,1985,1652,1,765,1652,6,0,0,0,0,0,0,1985,653,1,-98,653,4,30,Forest
4659890.78318157,4180760.33815617,1985,48,36,279,1,0,2006,276,1,260,276,4,2006,372,1,236,372,4,0,0,0,0,0,0,2006,1100,1,634,1100,9,2006,666,1,286,666,9,2006,267,1,613,267,6,2006,1174,1,1347,1174,4,2017,294,4,1510,73,2,2006,822,1,-318,822,11,31,Forest
4545020.78318157,4543970.33815617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,176,1,833,176,1,1992,271,1,343,271,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,100,36,-399,2,0,34,Forest
