x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
4183821.975728006,2704400.4782264843,1985,190,34,999,5,1,1985,170,1,338,170,3,1985,32,34,746,0,1,1985,227,34,-302,6,4,1,Forest,2183,2561,-380,1972,2281,-531
4158471.5323390905,2616201.479789975,0,0,0,0,0,0,0,0,0,0,0,0,2003,52,1,636,52,2,0,0,0,0,0,0,2,Forest,2411,3161,-932,2112,2662,-746
4127043.689414367,2611111.2568879537,2000,1127,1,1019,1127,9,2000,818,1,523,818,9,2000,297,1,583,297,7,2000,1002,1,-522,1002,7,3,Forest,1417,2102,-449,2521,4170,-1469
4277237.1260408675,2644705.0819256892,1999,1584,1,1231,1584,5,1999,1523,1,513,1523,6,1999,609,1,654,609,14,1999,1667,1,-526,1667,12,4,Forest,1948,2577,-469,2563,3880,-1454
4245594.349967467,2643956.863189511,1985,296,34,920,8,3,1985,122,34,390,3,2,1985,36,21,690,1,1,1985,182,34,-407,5,4,5,Forest,1638,2169,-351,1712,1971,-428
4261445.828317437,2592049.863709265,2009,331,10,881,33,3,1995,315,24,295,13,3,1985,43,34,615,1,1,1985,306,34,-284,9,3,6,Forest,1376,2309,-330,1407,1910,-565
4158076.2739922116,2690278.695805834,2000,1012,1,740,1012,13,2000,559,1,302,559,10,2000,205,1,720,205,10,2000,822,1,-222,822,16,7,Forest,1577,2055,-149,2111,2406,-490
4126040.758634133,2549607.881149046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Forest,2366,3999,-1352,2019,2706,-618
4243446.495124525,2591930.660481631,1985,153,34,533,4,1,1985,68,34,268,2,1,1987,100,1,696,100,2,1985,165,34,-165,4,2,9,Forest,1054,1493,-161,1050,1435,-354
4180424.2445605393,2588363.421855828,0,0,0,0,0,0,0,0,0,0,0,0,1995,215,1,718,215,3,0,0,0,0,0,0,10,Forest,1829,2548,-621,1606,1977,-494
4171288.97756314,2567746.2919265097,2005,356,1,1057,356,4,2003,287,4,471,71,4,2003,165,4,667,41,5,2005,413,4,-450,103,4,11,Forest,1786,2577,-676,1742,2434,-682
4229881.194263987,2639221.697509396,0,0,0,0,0,0,0,0,0,0,0,0,2014,80,1,689,80,2,2008,86,11,-293,7,1,12,Forest,1357,1709,-192,1417,1706,-345
4175821.1390293827,2567381.9363457104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Forest,1505,3759,-1586,1425,2896,-1438
4082339.7068002573,2570199.5810548207,1997,67,22,473,3,0,0,0,0,0,0,0,1995,24,24,833,1,0,1985,21,34,-20,0,0,14,Forest,1316,1553,-40,1502,1515,-47
4183668.053456486,2642920.881358837,2004,595,2,1534,297,4,2002,254,1,622,254,3,2002,158,1,676,158,4,2001,423,4,-603,105,5,15,Forest,2600,3066,-607,2683,3074,-732
4165964.942660907,2669232.316295869,2013,147,6,2108,24,1,1994,222,10,836,22,2,2009,23,10,661,2,0,1994,98,15,-975,6,0,16,Forest,2850,3721,-1067,3048,3874,-1062
4094277.2296046047,2606771.8290385245,0,0,0,0,0,0,1995,248,1,763,248,5,1995,94,1,709,94,2,1995,376,1,-907,376,5,17,Forest,3580,4149,-937,3048,3410,-840
4157791.1135771945,2616990.862764822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Forest,1833,2356,-412,1769,1936,-317
4281599.447531849,2633552.6109053185,1985,104,34,323,3,1,1985,47,34,120,1,1,1985,45,27,797,1,1,1985,155,34,38,4,3,19,Forest,910,1177,-78,905,1147,-154
4235862.212452085,2655544.2572697224,2010,153,9,926,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,298,2,-434,149,2,20,Forest,1416,2409,-609,1474,1835,-450
4236047.411970161,2547269.684068963,1995,164,3,1941,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,Forest,2516,3494,-1083,3336,3805,-826
