x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
5505837.08573265,3239151.299872,1985,830,1,459,830,9,1985,285,1,279,285,9,1985,55,2,682,27,2,1985,778,1,197,778,15,1,Forest,1554,2967,-1318,1713,2099,-561
5274057.08573265,2999061.299872,1990,51,29,1314,1,0,1999,79,20,448,3,1,2018,76,1,714,76,3,2018,235,1,-522,235,4,5,Forest,1726,2838,-748,2048,2948,-912
5305347.08573265,2882301.299872,1985,321,1,1280,321,3,0,0,0,0,0,0,0,0,0,0,0,0,1992,230,4,-677,57,3,10,Forest,1669,2463,-512,2608,2994,-703
6215067.08573265,2712411.299872,0,0,0,0,0,0,2003,12,16,551,0,0,1990,18,29,739,0,0,0,0,0,0,0,0,13,Forest,2497,3059,-578,1891,2274,-624
5524647.08573265,3272571.299872,2013,452,6,1145,75,5,2013,266,6,481,44,4,2013,112,6,643,18,3,2013,455,6,-490,75,7,15,Forest,1896,2703,-677,2114,2718,-757
6111747.08573265,3331461.299872,1998,638,1,989,638,11,1998,451,1,358,451,8,1998,128,1,687,128,2,1998,644,1,-387,644,6,19,Forest,1269,1859,-201,2356,2691,-641
5916537.08573265,3502191.299872,1985,400,1,1488,400,6,1985,122,2,1196,61,2,2003,7,16,701,0,0,1996,63,2,-669,31,0,26,Forest,1749,4541,-1956,2427,3018,-845
5948637.08573265,3103101.299872,2013,364,1,795,364,5,2013,232,1,268,232,4,2012,30,7,697,4,0,2013,252,1,-286,252,3,28,Forest,2527,3355,-759,1167,1558,-463
6031137.08573265,2867091.299872,2011,950,1,1405,950,7,2011,600,1,620,600,7,2010,199,2,622,99,4,2011,847,1,-695,847,9,30,Forest,2684,3890,-1191,2145,2312,-601
5425107.08573265,3198381.299872,1997,186,22,1662,8,2,1997,302,22,723,13,3,1985,41,34,580,1,0,1985,173,34,-869,5,1,32,Forest,1606,2295,-211,2255,2671,-612
5725557.08573265,3258081.299872,0,0,0,0,0,0,0,0,0,0,0,0,1989,143,1,518,143,3,0,0,0,0,0,0,43,Forest,2268,3867,-1539,1706,2544,-847
5313957.08573265,2970531.299872,1997,113,4,1345,28,1,1997,29,22,509,1,0,1985,50,5,705,10,1,2012,86,7,-565,12,1,45,Forest,1837,4067,-1751,1567,1891,-414
