x_coord,y_coord,year.B5,magnitude.B5,duration.B5,pre.B5,rate.B5,dsnr.B5,year.B7,magnitude.B7,duration.B7,pre.B7,rate.B7,dsnr.B7,year.NBR,magnitude.NBR,duration.NBR,pre.NBR,rate.NBR,dsnr.NBR,year.TCW,magnitude.TCW,duration.TCW,pre.TCW,rate.TCW,dsnr.TCW,plotid,landcover,TCG.1985,TCB.1985,TCW.1985,TCG.2017,TCB.2017,TCW.2017
3495016.2869021,3173352.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,342,26,172,13,2,13,Forest,295,921,-181,2883,3090,-509
3650026.2869021,3176172.27943289,1985,236,34,1030,6,1,2015,298,1,452,298,3,0,0,0,0,0,0,1985,98,34,-409,2,0,28,Forest,1995,3366,-1019,2311,2754,-542
3432736.2869021,3366042.27943289,1986,787,9,619,87,4,1986,327,33,408,9,2,1988,181,1,777,181,4,1986,749,10,-60,74,5,31,Forest,1982,3304,-867,1632,1730,-122
3420016.2869021,3362622.27943289,2000,749,19,1706,39,3,1985,273,34,769,8,1,2018,159,1,648,159,2,1985,413,34,-800,12,1,52,Forest,1529,2555,-510,1801,1918,-132
3306856.2869021,3193242.27943289,0,0,0,0,0,0,2002,79,17,322,4,0,0,0,0,0,0,0,2016,443,3,-130,147,3,55,Forest,2212,3670,-1088,3397,3790,-644
3553606.2869021,3697302.27943289,2015,2275,1,783,2275,14,2015,1598,1,263,1598,14,2015,717,1,836,717,12,2015,2266,1,-99,2266,17,58,Forest,2120,3185,-755,1706,2277,-200
3650806.2869021,3161742.27943289,2013,208,6,881,34,1,1986,49,22,457,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Forest,1647,2091,186,2192,2739,-533
3497956.2869021,3157362.27943289,2002,332,2,666,166,1,2005,322,3,227,107,2,2002,84,17,709,4,1,0,0,0,0,0,0,69,Forest,1002,1898,-530,2089,2404,-484
3385666.2869021,3267912.27943289,0,0,0,0,0,0,0,0,0,0,0,0,1990,221,2,668,110,3,1986,912,1,-463,912,4,70,Forest,3578,4082,-685,1647,2162,-688
3522856.2869021,3669762.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Forest,3523,4150,-633,1894,1985,-99
3302236.2869021,3674952.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,Forest,2064,2693,-162,2369,3781,-1399
3657436.2869021,3290262.27943289,2005,1947,1,680,1947,5,2005,1380,1,255,1380,6,0,0,0,0,0,0,2005,1379,1,-192,1379,4,80,Forest,1369,3308,-1514,1192,3455,-1857
3566896.2869021,3868032.27943289,1985,1657,7,579,236,3,1987,1588,3,-52,529,9,1987,898,3,1010,299,16,1988,1913,2,-8,956,9,89,Forest,1680,3110,-999,1673,2278,-394
3615766.2869021,3397212.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,Forest,1264,1787,-136,1883,2416,-552
3704926.2869021,3169362.27943289,2016,720,3,887,240,2,1995,97,24,388,4,0,1985,74,34,752,2,0,2016,643,3,-301,214,2,116,Forest,1175,2772,-1248,2332,2617,-451
3574966.2869021,3299232.27943289,1985,624,11,563,56,2,1994,542,1,458,542,4,0,0,0,0,0,0,0,0,0,0,0,0,120,Forest,1312,1780,-119,2050,2430,-564
3373276.2869021,3304152.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,Forest,2536,3720,-1121,2315,3649,-1295
3419716.2869021,3418692.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,Forest,1180,2203,-295,1792,2049,-234
3457186.2869021,3390162.27943289,0,0,0,0,0,0,0,0,0,0,0,0,2015,179,4,525,44,2,1992,1088,1,-137,1088,7,130,Forest,1657,1992,-140,2472,2574,-126
3563776.2869021,3149802.27943289,2015,1507,1,796,1507,6,2015,881,1,425,881,6,2015,395,1,746,395,11,2015,1132,1,-341,1132,8,131,Forest,3497,4074,-734,1365,1582,-146
3248416.2869021,3603942.27943289,1991,596,2,1228,298,3,0,0,0,0,0,0,1991,26,28,752,0,0,0,0,0,0,0,0,145,Forest,1597,2091,-29,1337,1510,-102
3593116.2869021,3225072.27943289,1996,1187,1,654,1187,8,1996,1152,1,209,1152,6,1996,791,1,816,791,17,1996,1342,1,-112,1342,8,148,Forest,1647,1953,31,2259,2332,-57
3253306.2869021,3655212.27943289,1985,868,2,1136,434,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,Forest,2808,4479,-450,2327,3205,-875
3451396.2869021,3257682.27943289,2016,654,3,720,218,2,0,0,0,0,0,0,0,0,0,0,0,0,2017,432,2,-143,216,2,152,Forest,1712,1950,-13,1845,2239,-357
3468556.2869021,3653082.27943289,1992,580,1,853,580,3,1989,199,1,300,199,1,1992,30,27,771,1,0,1985,353,3,-81,117,4,155,Forest,2676,3723,-741,1381,1932,-551
3514396.2869021,3338142.27943289,0,0,0,0,0,0,2015,442,4,90,110,4,0,0,0,0,0,0,2015,384,4,-123,96,3,157,Forest,1493,2036,-267,2155,2414,-164
3315346.2869021,3169782.27943289,2004,2477,6,643,412,8,2008,1295,1,534,1295,5,2004,679,5,772,135,11,2008,1837,1,-407,1837,5,161,Forest,1721,3123,-1249,1942,2427,-517
3488356.2869021,3813732.27943289,0,0,0,0,0,0,2009,364,2,511,182,1,1989,18,30,729,0,0,0,0,0,0,0,0,164,Forest,3461,3649,-444,988,3349,-2015
3336526.2869021,3275592.27943289,1987,489,4,1051,122,4,1987,373,3,393,124,2,0,0,0,0,0,0,0,0,0,0,0,0,165,Forest,1805,2032,55,1813,2194,-527
3385876.2869021,3371352.27943289,1998,688,4,781,172,3,1998,350,3,205,116,4,0,0,0,0,0,0,0,0,0,0,0,0,166,Forest,1917,2655,-669,1612,2371,-485
3436126.2869021,3766542.27943289,0,0,0,0,0,0,0,0,0,0,0,0,2012,51,1,841,51,2,2012,112,1,28,112,1,175,Forest,3109,3640,-592,2438,2672,-131
3689656.2869021,3305592.27943289,2013,211,6,1329,35,1,0,0,0,0,0,0,1992,68,1,740,68,1,1992,160,1,-501,160,2,177,Forest,2173,4736,-709,1869,2473,-460
3373456.2869021,3188682.27943289,2012,709,7,824,101,3,1990,354,29,243,12,3,1994,103,25,743,4,2,2017,588,2,-316,294,4,179,Forest,1996,2409,-84,1562,2479,-992
3631276.2869021,3218562.27943289,2013,264,4,949,66,0,2013,446,6,375,74,2,0,0,0,0,0,0,2017,532,2,-263,266,2,180,Forest,2691,3415,-591,1597,1890,-272
3512416.2869021,3241392.27943289,1987,576,3,1034,192,2,2011,823,2,481,411,4,2012,350,1,609,350,4,1993,600,1,-785,600,2,182,Forest,2710,3574,-437,2336,3912,-1612
3400606.2869021,3653622.27943289,0,0,0,0,0,0,0,0,0,0,0,0,2003,36,16,702,2,0,0,0,0,0,0,0,185,Forest,2347,3468,-850,1844,2269,-494
3561166.2869021,3151032.27943289,2004,1794,2,680,897,7,2004,1304,2,265,652,9,2004,615,2,786,307,14,2004,1729,2,-94,864,9,192,Forest,2828,3158,-280,2924,3055,-432
3619006.2869021,3232902.27943289,0,0,0,0,0,0,1985,352,1,884,352,2,1985,157,1,637,157,5,1985,426,1,-955,426,3,197,Forest,2457,3911,-1083,1766,1860,-75
3559576.2869021,3421632.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985,68,5,-1007,13,0,198,Forest,1950,2352,-116,1634,1952,-347
3515176.2869021,3358782.27943289,1992,365,1,447,365,2,1992,198,1,151,198,2,0,0,0,0,0,0,2002,125,1,-96,125,0,199,Forest,2486,3605,-1254,1098,1975,-749
3587266.2869021,3185322.27943289,0,0,0,0,0,0,0,0,0,0,0,0,1985,79,3,678,26,2,0,0,0,0,0,0,207,Forest,2815,3527,-788,1975,3023,-653
3582346.2869021,3200172.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,221,1,-799,221,2,208,Forest,2508,3370,-765,1717,2010,-361
3345346.2869021,3180342.27943289,1995,151,24,486,6,0,1995,187,24,110,7,1,1989,2,30,734,0,0,1989,332,30,96,11,3,211,Forest,1849,2366,-356,2001,2292,-344
3618826.2869021,3162552.27943289,0,0,0,0,0,0,1997,26,22,575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218,Forest,2010,2211,50,2365,2597,-277
3448216.2869021,3162912.27943289,2016,2186,1,512,2186,24,2016,1427,1,157,1427,24,2016,634,1,823,634,23,2016,2086,1,155,2086,33,227,Forest,2895,3937,-1150,1678,1801,-156
3516646.2869021,3190842.27943289,0,0,0,0,0,0,1985,54,23,543,2,0,1997,207,1,751,207,4,1985,406,1,-237,406,3,232,Forest,2410,4348,-1252,1597,2755,-1217
3377896.2869021,3345762.27943289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,241,4,155,60,2,250,Forest,2612,3219,-698,2556,2849,-471
