country_name;iso_code;country_name_short;project_id;country_area_km2;forest_area_km2;weight_area;weight_forest;timesync_n;val_forest_n;val_noforest_n;val_n;cal_forest_n;cal_noforest_n;cal_n;noforest_n;forest_n;total_n
Albania;AL;albania;1;28786,07;7716;0,005006774;0,268046315;415;7;18;25;408;1114;1522;1132;415;1547
Austria;AT;austria;2;83988,21;39600;0,014608108;0,471494749;1828;34;39;73;1794;2011;3805;2050;1828;3878
Belarus;BY;belarus;3;207575,27;80334;0,036103662;0,38701142;442;70;111;181;372;589;961;700;442;1142
Belgium;BE;belgium;4;30587,77;6834;0,005320145;0,223422629;334;6;21;27;328;1140;1468;1161;334;1495
Bosnia and Herzegovina;BA;bosniaherzegovina;5;51030,41;25599;0,008875743;0,50164206;393;22;22;44;371;369;740;391;393;784
Bulgaria;BG;bulgaria;6;110953,91;36250;0,019298264;0,326712236;418;31;65;96;387;798;1185;863;418;1281
Croatia;HR;croatia;7;57017,2;24901;0,009917028;0,436727865;433;22;28;50;411;530;941;558;433;991
Czech Republic;CZ;czechia;8;78842,74;26000;0,013713154;0,329770376;1401;23;46;69;1378;2801;4179;2847;1401;4248
Denmark;DK;denmark;9;43501,59;6120;0,007566251;0,140684513;401;5;33;38;396;2419;2815;2452;401;2853
Estonia;EE;estonia;10;45405,32;23066;0,007897368;0,508002146;377;20;19;39;357;346;703;365;377;742
Finland;FI;finland;11;338434;233320;0,058863981;0,689410638;450;203;91;294;247;111;358;202;450;652
France;FR;france;12;549006,24;246640;0,095488907;0,449248081;413;214;263;477;199;244;443;507;413;920
Germany;DE;germany;13;357454,99;114190;0,06217231;0,319452807;1227;99;212;311;1128;2403;3531;2615;1227;3842
Greece;GR;greece;14;124885,96;37600;0,021721472;0,301074676;412;33;76;109;379;880;1259;956;412;1368
Hungary;HU;hungary;15;93001,36;20990;0,016175769;0,225695624;349;18;63;81;331;1136;1467;1199;349;1548
Ireland;IE;ireland;16;70243,37;7540;0,012217462;0,107341091;298;7;54;61;291;2420;2711;2474;298;2772
Italy;IT;italy;17;300887,48;106736;0,052333497;0,354737259;363;93;169;262;270;491;761;660;363;1023
Latvia;LV;latvia;18;64549,9;28807;0,011227194;0,446274897;389;25;31;56;364;452;816;483;389;872
Lithuania;LT;lithuania;19;64941,46;21223;0,011295298;0,326802015;416;18;38;56;398;820;1218;858;416;1274
Moldova;MD;moldova;20;33847,27;3290;0,005887071;0,09720134;302;3;26;29;299;2777;3076;2803;302;3105
Montenegro;ME;montenegro;21;13764,39;6252;0,002394047;0,454215552;403;5;7;12;398;478;876;485;403;888
Netherlands;NL;netherlands;22;35162,75;3650;0,006115873;0,10380303;322;3;28;31;319;2754;3073;2782;322;3104
Norway;NO;norway;23;311654,47;121120;0,054206205;0,38863553;394;105;166;271;289;455;744;621;394;1015
Poland;PL;poland;24;311759,97;90000;0,054224554;0,288683631;1312;78;193;271;1234;3041;4275;3234;1312;4546
Portugal;PT;portugal;25;88700,69;31820;0,015427752;0,358734526;387;28;49;77;359;642;1001;691;387;1078
Romania;RO;romania;26;238289,83;69610;0,041445859;0,292123252;436;60;147;207;376;911;1287;1058;436;1494
Serbia;RS;serbia;28;88372,28;27200;0,015370631;0,307788822;334;24;53;77;310;697;1007;750;334;1084
Slovakia;SK;slovakia;29;49036,66;20006;0,008528969;0,407980478;1820;18;25;43;1802;2615;4417;2640;1820;4460
Slovenia;SI;slovenia;30;20221,19;12574;0,003517081;0,621822949;412;11;7;18;401;244;645;251;412;663
Spain;ES;spain;31;498518,52;184180;0,086707555;0,369454679;326;160;274;434;166;283;449;557;326;883
Sweden;SE;sweden;32;450040,79;280730;0,078275801;0,623787902;439;244;147;391;195;118;313;265;439;704
Switzerland;CH;switzerland;33;41239,21;12540;0,007172755;0,30407954;1128;11;25;36;1117;2556;3673;2581;1128;3709
The Former Yugoslav Republic of Macedonia;MK;macedonia;34;25438,31;10285;0,004424497;0,40431145;439;9;13;22;430;634;1064;647;439;1086
Ukraine;UA;ukraine;35;597120,26;105000;0,1038574;0,175843975;451;91;428;519;360;1687;2047;2115;451;2566
United Kingdom;GB;unitedkingdom;36;245164,44;28650;0,042641563;0,116860341;332;25;188;213;307;2320;2627;2508;332;2840
;;;;;;;;;;;;;;;;;
;;;;5749424,28;2100373;;;19996;1825;3175;5000;18171;43286;61457;46461;19996;66457
